BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,226.16,229.88,92.79,98.82,568.74,661.18,0.17,0.14,270.0,276.0,24.85,39.64,43.57,54.54,233.72,313.56,31.23,39.1,13.91,20.11,84.08,79.82,16.0,8.2,302.32,289.0,6.83,10.2,1,3,0,42,9,98,0.337,40,2,9,50,4,4,12,3,0
0,226.16,219.58,92.79,104.26,568.74,627.58,0.17,0.13,270.0,224.59,24.85,37.17,43.57,43.07,233.72,284.71,31.23,42.44,13.91,10.18,84.08,81.92,16.0,11.0,302.32,276.44,6.83,14.62,1,3,0,43,14,98,0.296,40,1,5,51,3,1,10,2,0
0,226.16,259.44,92.79,101.75,568.74,713.31,0.17,0.2,270.0,323.17,24.85,37.73,43.57,42.07,233.72,354.71,31.23,35.4,13.91,15.36,84.08,102.58,16.0,12.62,302.32,372.96,6.83,13.4,0,5,0,64,25,181,0.215,60,7,11,88,6,2,18,1,82.0
1,226.16,222.32,92.79,94.0,568.74,607.37,0.17,0.07,270.0,247.12,24.85,24.79,43.57,37.62,233.72,263.06,31.23,23.88,13.91,12.44,84.08,101.91,16.0,15.64,302.32,319.22,6.83,6.8,1,5,0,63,25,148,0.257,61,2,8,50,1,2,16,5,75.0
0,226.16,230.44,92.79,103.28,568.74,623.5,0.17,0.17,270.0,277.21,24.85,36.54,43.57,47.93,233.72,257.35,31.23,35.5,13.91,11.8,84.08,92.08,16.0,8.25,302.32,333.69,6.83,9.29,1,5,0,61,24,137,0.270,55,0,12,42,8,1,14,1,69.0
0,226.16,267.88,92.79,103.29,568.74,718.59,0.17,0.18,270.0,277.47,24.85,26.43,43.57,48.93,233.72,321.38,31.23,31.85,13.91,22.2,84.08,78.08,16.0,16.6,302.32,350.88,6.83,9.0,0,3,0,37,20,92,0.185,36,2,3,23,4,0,4,2,41.0
0,226.16,192.1,92.79,84.6,568.74,543.0,0.17,0.13,270.0,219.06,24.85,22.53,43.57,39.0,233.72,233.63,31.23,27.69,13.91,8.25,84.08,57.07,16.0,8.55,302.32,240.17,6.83,9.67,1,4,0,53,14,119,0.328,51,3,10,53,4,0,10,1,61.0
2,226.16,206.58,92.79,96.63,568.74,643.16,0.17,0.1,270.0,223.5,24.85,33.86,43.57,39.65,233.72,329.88,31.23,37.07,13.91,13.9,84.08,62.0,16.0,12.2,302.32,295.66,6.83,12.0,1,4,0,60,24,161,0.224,53,5,9,71,4,5,12,3,76.0
1,226.16,264.0,92.79,99.12,568.74,733.76,0.17,0.26,270.0,260.25,24.85,30.43,43.57,49.0,233.72,313.53,31.23,39.8,13.91,17.08,84.08,78.64,16.0,14.0,302.32,308.15,6.83,11.8,0,3,0,38,19,104,0.183,34,0,9,31,5,0,4,2,40.0
0,226.16,206.19,92.79,82.81,568.74,539.24,0.17,0.11,270.0,221.83,24.85,25.2,43.57,44.38,233.72,252.17,31.23,25.38,13.91,12.91,84.08,73.71,16.0,10.64,302.32,268.25,6.83,9.64,1,4,0,57,18,119,0.328,54,5,5,42,4,3,10,6,70.0
