BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
4,218.17,296.07,100.06,137.93,606.83,849.67,0.22,0.09,215.29,292.71,30.93,38.15,44.62,57.36,273.18,383.79,34.79,42.18,14.89,15.22,62.12,89.17,10.64,10.17,295.35,400.57,13.33,13.33,0,4,0,46,25,126,0.167,43,5,11,43,9,0,6,5,54.0
2,218.17,233.72,100.06,91.61,606.83,600.22,0.22,0.15,215.29,240.44,30.93,38.42,44.62,55.07,273.18,251.06,34.79,33.54,14.89,12.45,62.12,86.42,10.64,11.58,295.35,326.97,13.33,5.18,0,3,0,32,15,87,0.195,30,3,19,29,7,0,2,0,36.0
3,218.17,266.93,100.06,116.07,606.83,752.73,0.22,0.09,215.29,308.42,30.93,39.09,44.62,55.18,273.18,362.69,34.79,47.9,14.89,14.9,62.12,102.09,10.64,14.27,295.35,360.96,13.33,12.25,1,3,0,49,12,103,0.359,44,5,13,43,5,0,12,2,60.0
3,218.17,214.39,100.06,92.67,606.83,611.89,0.22,0.19,215.29,257.79,30.93,22.07,44.62,38.6,273.18,279.24,34.79,24.57,14.89,11.9,62.12,77.21,10.64,12.0,295.35,285.18,13.33,9.62,1,4,0,54,17,139,0.266,48,3,13,72,5,0,8,3,61.0
4,218.17,251.53,100.06,93.53,606.83,722.76,0.22,0.16,215.29,263.93,30.93,26.0,44.62,32.4,273.18,345.38,34.79,30.38,14.89,15.56,62.12,79.15,10.64,9.83,295.35,313.09,13.33,11.0,1,5,0,74,32,186,0.226,73/,7,12,90,5,2,12,3,89.0
2,218.17,190.05,100.06,80.0,606.83,512.9,0.22,0.15,215.29,219.0,30.93,39.85,44.62,64.25,273.18,253.76,34.79,32.62,14.89,15.73,62.12,66.69,10.64,15.12,295.35,325.91,13.33,8.71,0,3,0,25,21,93,0.043,24,1,11,33,12,1,8,4,31.0
1,218.17,243.58,100.06,100.11,606.83,687.95,0.22,0.22,215.29,328.92,30.93,45.5,44.62,70.31,273.18,344.44,34.79,46.45,14.89,10.1,62.12,124.5,10.64,22.18,295.35,346.19,13.33,10.44,0,4,0,42,29,136,0.096,39,4,14,56,2,4,2,3,51.0
1,218.17,299.65,100.06,122.71,606.83,811.76,0.22,0.2,215.29,338.93,30.93,51.73,44.62,59.57,273.18,358.38,34.79,41.58,14.89,20.56,62.12,96.27,10.64,13.0,295.35,372.16,13.33,9.44,0,3,0,35,28,111,0.063,32,4,7,51,4,1,10,2,45.0
1,218.17,223.79,100.06,94.89,606.83,630.16,0.22,0.21,215.29,266.87,30.93,36.0,44.62,38.44,273.18,288.83,34.79,47.83,14.89,9.42,62.12,77.14,10.64,15.64,295.35,300.62,13.33,11.11,1,3,0,41,7,74,0.459,39,14,10,35,2,1,16,1,64.0
1,218.17,238.25,100.06,105.19,606.83,673.5,0.22,0.18,215.29,255.5,30.93,30.0,44.62,43.21,273.18,303.8,34.79,33.25,14.89,12.9,62.12,65.08,10.64,13.21,295.35,307.03,13.33,9.58,1,3,0,43,16,111,0.243,40,4,10,54,3,0,20,2,57.0
2,218.17,178.71,100.06,67.71,606.83,449.05,0.22,0.11,215.29,205.0,30.93,23.14,44.62,32.18,273.18,202.17,34.79,31.09,14.89,10.73,62.12,68.92,10.64,10.62,295.35,257.92,13.33,10.33,0,5,0,65,31,162,0.210,57,12,11,56,6,0,10,2,82.0
1,218.17,226.16,100.06,92.79,606.83,568.74,0.22,0.17,215.29,270.0,30.93,24.85,44.62,43.57,273.18,233.72,34.79,31.23,14.89,13.91,62.12,84.08,10.64,16.0,295.35,302.32,13.33,6.83,0,5,0,52,27,155,0.161,48,4,17,61,0,3,22,3,70.0
1,218.17,212.06,100.06,104.22,606.83,603.61,0.22,0.19,215.29,240.2,30.93,36.14,44.62,49.43,273.18,259.12,34.79,44.2,14.89,11.1,62.12,91.15,10.64,12.64,295.35,295.62,13.33,5.0,0,3,0,27,19,115,0.070,24,3,9,59,8,3,6,0,36.0
3,218.17,184.58,100.06,89.89,606.83,551.37,0.22,0.15,215.29,206.69,30.93,34.77,44.62,38.71,273.18,229.5,34.79,30.5,14.89,12.64,62.12,93.93,10.64,4.5,295.35,267.0,13.33,10.4,0,5,0,77/,56/,221/,0.095,71,5,5,98,5,1,12,0,89.0
2,218.17,249.53,100.06,108.59,606.83,685.18,0.22,0.23,215.29,264.6,30.93,32.5,44.62,41.71,273.18,313.33,34.79,31.64,14.89,12.18,62.12,111.36,10.64,13.82,295.35,341.66,13.33,12.12,0,4,0,49,26,134,0.172,44,5,8,52,11,4,12,2,64.0
8/,218.17,250.41,100.06,112.65,606.83,729.59,0.22,0.17,215.29,288.71,30.93,47.5,44.62,49.17,273.18,333.62,34.79,53.33,14.89,11.56,62.12,112.5,10.64,14.9,295.35,344.31,13.33,10.0,0,5,0,56,27,169,0.172,51,8,8,75,8,2,22,5,77.0
4,218.17,205.95,100.06,103.25,606.83,585.35,0.22,0.11,215.29,241.31,30.93,30.4,44.62,39.94,273.18,245.16,34.79,35.31,14.89,11.45,62.12,72.0,10.64,12.5,295.35,272.06,13.33,7.92,1,3,0,45,9,93,0.387,44,5,9,49,5,1,10,2,56.0
1,218.17,286.53,100.06,114.18,606.83,753.65,0.22,0.18,215.29,325.43,30.93,63.0,44.62,98.18,273.18,352.93,34.79,41.38,14.89,19.44,62.12,105.09,10.64,19.75,295.35,446.71,13.33,7.67,0,3,0,28,23,103,0.049,29,2,3,48,7,0,6,1,33.0
1,218.17,245.53,100.06,109.12,606.83,697.18,0.22,0.15,215.29,276.86,30.93,34.92,44.62,54.15,273.18,298.94,34.79,38.08,14.89,13.36,62.12,102.0,10.64,12.77,295.35,313.22,13.33,13.33,1,4,0,57,24,139,0.237,56,8,7,62,7,1,10,0,71.0
0,218.17,254.38,100.06,105.69,606.83,653.88,0.22,0.2,215.29,293.08,30.93,39.67,44.62,58.36,273.18,279.8,34.79,45.11,14.89,22.33,62.12,119.55,10.64,14.0,295.35,385.89,13.33,6.38,0,3,0,28,21,105,0.067,26,4,1,37,3,2,6,0,37.0
4,218.17,270.71,100.06,106.65,606.83,740.82,0.22,0.17,215.29,302.5,30.93,29.36,44.62,45.77,273.18,349.07,34.79,35.83,14.89,15.27,62.12,108.0,10.64,16.09,295.35,372.3,13.33,11.38,0,3,0,40,16,105,0.229,38,3,6,37,4,3,10,1,51.0
2,218.17,249.53,100.06,108.59,606.83,685.18,0.22,0.23,215.29,264.6,30.93,32.5,44.62,41.71,273.18,313.33,34.79,31.64,14.89,12.18,62.12,111.36,10.64,13.82,295.35,341.66,13.33,12.12,0,3,0,35,19,104,0.154,36,6,7,39,10,0,6,3,44.0
3,218.17,184.58,100.06,89.89,606.83,551.37,0.22,0.15,215.29,206.69,30.93,34.77,44.62,38.71,273.18,229.5,34.79,30.5,14.89,12.64,62.12,93.93,10.64,4.5,295.35,267.0,13.33,10.4,1,3,0,52,15,92,0.402,51,8,7,41,1,2,10,0,67.0
1,218.17,250.41,100.06,112.65,606.83,729.59,0.22,0.17,215.29,288.71,30.93,47.5,44.62,49.17,273.18,333.62,34.79,53.33,14.89,11.56,62.12,112.5,10.64,14.9,295.35,344.31,13.33,10.0,1,5,0,62,31,169,0.183,60,6,13,81,9,4,8,0,76.0
3,218.17,205.95,100.06,103.25,606.83,585.35,0.22,0.11,215.29,241.31,30.93,30.4,44.62,39.94,273.18,245.16,34.79,35.31,14.89,11.45,62.12,72.0,10.64,12.5,295.35,272.06,13.33,7.92,1,3,0,50,21,127,0.228,46,3,3,53,7,1,17,1,62.5
2,218.17,245.53,100.06,109.12,606.83,697.18,0.22,0.15,215.29,276.86,30.93,34.92,44.62,54.15,273.18,298.94,34.79,38.08,14.89,13.36,62.12,102.0,10.64,12.77,295.35,313.22,13.33,13.33,0,4,0,55,29,150,0.173,51,3,13,68,2,1,13,1,65.5
