Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,56,24,149,0.215,55,6,9,63,4,0,20,1,72.0,0,Southern Miss.,254.88,190.4,121.18,80.25,716.24,577.45,0.13,0.11,269.13,220.81,35.71,19.88,45.5,29.76,323.53,274.05,38.92,27.86,10.91,12.5,111.17,43.18,12.45,8.67,337.16,234.32,9.29,13.83
1,4,0,51,22,130,0.223,48,6,8,50,7,1,21,3,0,1,San Francisco,254.88,224.22,121.18,96.39,716.24,667.11,0.13,0.16,269.13,222.71,35.71,31.0,45.5,48.21,323.53,305.76,38.92,32.15,10.91,12.0,111.17,91.38,12.45,13.82,337.16,289.71,9.29,12.29
0,3,0,30,25,87,0.057,30,4,5,31,7,2,12,2,0,5,Denver,254.88,217.25,121.18,96.05,716.24,581.45,0.13,0.19,269.13,269.0,35.71,47.36,45.5,59.08,323.53,271.18,38.92,36.08,10.91,14.36,111.17,100.5,12.45,17.31,337.16,340.31,9.29,9.11
1,4,0,53,25,150,0.187,50,5,7,68,4,1,18,3,68.0,1,New Hampshire,254.88,219.53,121.18,90.88,716.24,625.41,0.13,0.19,269.13,212.25,35.71,39.67,45.5,45.69,323.53,293.07,38.92,38.33,10.91,12.33,111.17,86.77,12.45,8.64,337.16,280.06,9.29,8.44
0,5,0,55,26,154,0.188,52,5,6,62,7,2,20,4,72.0,0,Brown,254.88,150.55,121.18,55.82,716.24,414.45,0.13,0.12,269.13,171.5,35.71,28.83,45.5,35.46,323.53,200.84,38.92,30.73,10.91,8.11,111.17,64.33,12.45,8.77,337.16,247.82,9.29,14.9
1,5,0,62,22,172,0.233,56,11,8,75,5,0,14,3,80.0,1,Holy Cross,254.88,187.48,121.18,86.05,716.24,567.86,0.13,0.13,269.13,226.88,35.71,31.33,45.5,44.47,323.53,285.61,38.92,29.53,10.91,15.64,111.17,64.92,12.45,8.89,337.16,248.42,9.29,9.3
1,3,0,41,13,102,0.275,35,7,10,47,4,0,14,0,55.0,2,Eastern Wash.,254.88,206.58,121.18,96.63,716.24,643.16,0.13,0.1,269.13,223.5,35.71,33.86,45.5,39.65,323.53,329.88,38.92,37.07,10.91,13.9,111.17,62.0,12.45,12.2,337.16,295.66,9.29,12.0
1,5,0,49,29,146,0.137,46,7,6,56,12,0,26,0,69.0,0,Gonzaga,254.88,196.9,121.18,83.05,716.24,564.2,0.13,0.13,269.13,258.0,35.71,39.92,45.5,39.35,323.53,263.5,38.92,36.71,10.91,11.17,111.17,64.73,12.45,9.64,337.16,261.95,9.29,13.89
0,3,0,31,19,105,0.114,30,4,8,42,8,2,10,0,42.0,0,New Mexico,254.88,245.53,121.18,109.12,716.24,697.18,0.13,0.15,269.13,276.86,35.71,34.92,45.5,54.15,323.53,298.94,38.92,38.08,10.91,13.36,111.17,102.0,12.45,12.77,337.16,313.22,9.29,13.33
0,3,0,40,24,111,0.144,38,7,5,36,4,2,6,0,52.0,0,Oregon St.,254.88,258.72,121.18,109.67,716.24,709.0,0.13,0.18,269.13,254.35,35.71,27.07,45.5,47.07,323.53,312.24,38.92,25.06,10.91,16.0,111.17,87.64,12.45,10.92,337.16,332.94,9.29,7.64
1,5,0,60,31,177,0.164,53,3,6,68,4,2,26,3,78.0,0,Montana St.,254.88,270.62,121.18,113.25,716.24,778.0,0.13,0.2,269.13,335.17,35.71,37.6,45.5,53.64,323.53,377.93,38.92,33.3,10.91,18.22,111.17,124.4,12.45,12.7,337.16,392.29,9.29,18.33
0,5,0,49,23,137,0.190,42,3,10,49,4,4,12,3,62.0,3,Penn,254.88,141.62,121.18,59.14,716.24,381.1,0.13,0.17,269.13,209.62,35.71,27.08,45.5,37.81,323.53,202.0,38.92,25.69,10.91,9.2,111.17,42.33,12.45,8.58,337.16,198.5,9.29,9.44
1,5,0,62,24,172,0.221,55,5,10,82,6,3,16,3,78.0,0,Cal St. Fullerton,254.88,197.95,121.18,85.53,716.24,604.58,0.13,0.18,269.13,231.07,35.71,25.25,45.5,35.69,323.53,291.56,38.92,24.69,10.91,10.92,111.17,63.57,12.45,7.73,337.16,244.56,9.29,12.12
1,4,0,51,16,148,0.236,47,4,8,66,3,2,20,3,67.0,2,UC Riverside,254.88,192.1,121.18,84.6,716.24,543.0,0.13,0.13,269.13,219.06,35.71,22.53,45.5,39.0,323.53,233.63,38.92,27.69,10.91,8.25,111.17,57.07,12.45,8.55,337.16,240.17,9.29,9.67
0,3,0,32,19,94,0.138,31,2,4,36,3,1,10,0,40.0,0,UTRGV,254.88,230.78,121.18,99.89,716.24,651.39,0.13,0.13,269.13,243.06,35.71,41.54,45.5,46.53,323.53,285.59,38.92,45.0,10.91,14.5,111.17,84.29,12.45,10.46,337.16,306.06,9.29,14.73
0,3,0,22,23,102,-0.010,20,4,3,39,5,0,8,0,30.0,0,New Mexico St.,254.88,176.22,121.18,75.65,716.24,466.87,0.13,0.3,269.13,205.94,35.71,35.0,45.5,45.5,323.53,217.05,38.92,34.62,10.91,18.22,111.17,127.5,12.45,12.7,337.16,280.06,9.29,13.75
0,3,0,37,16,101,0.208,36,5,6,43,6,1,0,1,43.0,1,Grand Canyon,254.88,264.0,121.18,99.12,716.24,733.76,0.13,0.26,269.13,260.25,35.71,30.43,45.5,49.0,323.53,313.53,38.92,39.8,10.91,17.08,111.17,78.64,12.45,14.0,337.16,308.15,9.29,11.8
0,5,0,60,30,158,0.190,57,8,12,57,7,2,20,5,80.0,0,CSU Bakersfield,254.88,207.3,121.18,94.45,716.24,601.05,0.13,0.19,269.13,257.13,35.71,31.33,45.5,38.75,323.53,293.65,38.92,37.69,10.91,10.18,111.17,101.54,12.45,10.9,337.16,299.22,9.29,9.73
1,4,0,51,23,138,0.203,48,7,9,51,8,0,24,0,70.0,0,Chicago St.,254.88,201.67,121.18,97.71,716.24,618.0,0.13,0.08,269.13,247.56,35.71,37.17,45.5,47.54,323.53,328.71,38.92,31.36,10.91,11.17,111.17,66.73,12.45,12.64,337.16,297.91,9.29,10.75
0,5,0,58,26,149,0.215,58,5,9,60,7,3,8,0,70.0,0,Kansas City,254.88,242.17,121.18,96.67,716.24,651.44,0.13,0.18,269.13,290.07,35.71,47.6,45.5,47.54,323.53,297.12,38.92,44.1,10.91,16.11,111.17,85.58,12.45,15.0,337.16,343.34,9.29,7.55
0,3,0,37,25,99,0.121,35,5,7,31,6,0,6,3,45.0,1,Utah Valley,254.88,217.79,121.18,100.89,716.24,605.47,0.13,0.15,269.13,257.93,35.71,39.0,45.5,46.0,323.53,273.88,38.92,31.12,10.91,9.1,111.17,101.71,12.45,8.33,337.16,339.83,9.29,16.5
0,3,0,30,22,110,0.073,26,1,7,38,6,2,10,3,38.0,2,UTRGV,254.88,230.78,121.18,99.89,716.24,651.39,0.13,0.13,269.13,243.06,35.71,41.54,45.5,46.53,323.53,285.59,38.92,45.0,10.91,14.5,111.17,84.29,12.45,10.46,337.16,306.06,9.29,14.73
0,3,0,25,25,97,0.000,23,6,3,30,3,0,4,2,33.0,0,New Mexico St.,254.88,176.22,121.18,75.65,716.24,466.87,0.13,0.3,269.13,205.94,35.71,35.0,45.5,45.5,323.53,217.05,38.92,34.62,10.91,18.22,111.17,127.5,12.45,12.7,337.16,280.06,9.29,13.75
0,3,0,40,25,116,0.129,39,2,7,52,7,3,12,0,51.0,0,Grand Canyon,254.88,264.0,121.18,99.12,716.24,733.76,0.13,0.26,269.13,260.25,35.71,30.43,45.5,49.0,323.53,313.53,38.92,39.8,10.91,17.08,111.17,78.64,12.45,14.0,337.16,308.15,9.29,11.8
1,4,0,65,24,146,0.281,64,4,5,53,8,0,14,0,76.0,0,CSU Bakersfield,254.88,207.3,121.18,94.45,716.24,601.05,0.13,0.19,269.13,257.13,35.71,31.33,45.5,38.75,323.53,293.65,38.92,37.69,10.91,10.18,111.17,101.54,12.45,10.9,337.16,299.22,9.29,9.73
1,5,0,50,27,171,0.135,50,8,4,85,7,0,22,4,69.0,2,Chicago St.,254.88,201.67,121.18,97.71,716.24,618.0,0.13,0.08,269.13,247.56,35.71,37.17,45.5,47.54,323.53,328.71,38.92,31.36,10.91,11.17,111.17,66.73,12.45,12.64,337.16,297.91,9.29,10.75
0,4,0,54,29,164,0.152,51,6,4,64,3,3,10,0,68.0,0,Kansas City,254.88,242.17,121.18,96.67,716.24,651.44,0.13,0.18,269.13,290.07,35.71,47.6,45.5,47.54,323.53,297.12,38.92,44.1,10.91,16.11,111.17,85.58,12.45,15.0,337.16,343.34,9.29,7.55
0,4,0,49,23,135,0.193,46,5,5,45,5,2,16,0,64.0,0,Utah Valley,254.88,217.79,121.18,100.89,716.24,605.47,0.13,0.15,269.13,257.93,35.71,39.0,45.5,46.0,323.53,273.88,38.92,31.12,10.91,9.1,111.17,101.71,12.45,8.33,337.16,339.83,9.29,16.5
0,4,0,46,25,138,0.152,42,6,5,47,6,2,6,2,57.0,0,Kansas City,254.88,242.17,121.18,96.67,716.24,651.44,0.13,0.18,269.13,290.07,35.71,47.6,45.5,47.54,323.53,297.12,38.92,44.1,10.91,16.11,111.17,85.58,12.45,15.0,337.16,343.34,9.29,7.55
