BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,221.31,265.25,92.56,101.38,562.75,659.81,0.21,0.24,255.54,331.17,32.18,33.2,47.29,50.38,234.07,304.64,30.55,35.11,11.0,13.38,80.75,116.73,20.92,15.11,299.93,367.79,10.14,8.55,0,3,0,31,22,91,0.099,29,4,6,37,7,1,6,6,39.0
1,221.31,266.84,92.56,96.95,562.75,677.42,0.21,0.25,255.54,299.44,32.18,34.4,47.29,51.6,234.07,298.72,30.55,40.91,11.0,10.3,80.75,82.71,20.92,15.64,299.93,348.22,10.14,5.75,0,3,0,27,13,95,0.147,26,5,6,38,4,2,10,3,39.0
1,221.31,261.5,92.56,112.11,562.75,720.89,0.21,0.09,255.54,314.71,32.18,41.27,47.29,48.85,234.07,328.53,30.55,37.7,11.0,18.25,80.75,97.09,20.92,14.55,299.93,343.56,10.14,19.17,0,5,0,64,16,134,0.358,54,10,14,57,7,1,20,1,85.0
0,221.31,267.88,92.56,103.29,562.75,718.59,0.21,0.18,255.54,277.47,32.18,26.43,47.29,48.93,234.07,321.38,30.55,31.85,11.0,22.2,80.75,78.08,20.92,16.6,299.93,350.88,10.14,9.0,0,3,0,40,14,97,0.268,38,5,12,32,1,1,8,10/,50.0
0,221.31,206.82,92.56,92.65,562.75,567.12,0.21,0.14,255.54,232.0,32.18,22.21,47.29,40.0,234.07,235.44,30.55,27.62,11.0,16.6,80.75,100.36,20.92,10.73,299.93,278.38,10.14,7.83,1,3,0,42,19,96,0.240,38,9,9,36,1,5,8,2,60.0
0,221.31,243.24,92.56,100.18,562.75,651.06,0.21,0.12,255.54,256.87,32.18,44.73,47.29,56.67,234.07,305.27,30.55,43.0,11.0,16.67,80.75,93.8,20.92,12.44,299.93,374.71,10.14,8.7,1,3,0,46,11,86,0.407,44,6,9,36,1,1,6,1,56.0
0,221.31,179.78,92.56,75.5,562.75,485.11,0.21,0.19,255.54,199.0,32.18,30.07,47.29,39.93,234.07,193.41,30.55,35.67,11.0,8.8,80.75,65.86,20.92,9.8,299.93,247.41,10.14,11.2,1,4,0,51,18,110,0.300,46,7,20,30,9,0,16,6,66.0
4,221.31,221.82,92.56,80.73,562.75,553.77,0.21,0.25,255.54,323.5,32.18,46.8,47.29,58.42,234.07,290.71,30.55,53.62,11.0,20.22,80.75,88.45,20.92,16.44,299.93,376.0,10.14,11.83,0,4,0,41,25,104,0.154,36,2,10,28,6,0,8,3,47.0
2,221.31,214.16,92.56,91.37,562.75,570.26,0.21,0.15,255.54,222.29,32.18,40.5,47.29,44.29,234.07,243.11,30.55,26.6,11.0,13.82,80.75,95.55,20.92,14.88,299.93,343.43,10.14,12.33,1,5,0,72,23,176,0.278,69,5,15,75,6,4,14,10/,88.0
3,221.31,198.53,92.56,85.26,562.75,545.47,0.21,0.13,255.54,191.89,32.18,25.94,47.29,36.33,234.07,235.06,30.55,39.45,11.0,10.08,80.75,70.0,20.92,12.79,299.93,268.39,10.14,12.46,0,4,0,58,27,133,0.233,53,4,15,45,10,3,10,4,70.0
