Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,0,36,16,101,0.198,33,1,12,43,4,2,6,0,0,2,Northern Ariz.,224.16,292.75,100.47,108.0,644.16,844.62,0.14,0.26,247.38,314.93,29.46,51.0,38.94,56.75,308.82,412.13,44.11,58.22,15.73,15.1,73.77,101.83,12.5,15.82,295.85,384.83,10.0,11.88
0,3,0,28,19,92,0.098,27,3,9,30,8,1,6,0,0,0,Oakland,224.16,196.38,100.47,83.81,644.16,571.29,0.14,-0.11,247.38,242.38,29.46,28.38,38.94,39.33,308.82,300.78,44.11,29.62,15.73,18.5,73.77,96.0,12.5,12.0,295.85,280.58,10.0,13.2
0,3,0,28,12,75,0.213,27,1,11,26,12,0,4,1,0,2,Michigan,224.16,221.67,100.47,83.57,644.16,560.43,0.14,0.31,247.38,306.93,29.46,42.83,38.94,56.64,308.82,289.06,44.11,56.11,15.73,11.9,73.77,91.38,12.5,13.8,295.85,278.7,10.0,9.17
0,3,0,20,25,92,-0.054,19,3,7,41,9,3,6,1,29.0,0,Louisville,224.16,236.37,100.47,106.68,644.16,629.26,0.14,0.17,247.38,263.19,29.46,30.13,38.94,44.47,308.82,274.82,44.11,36.08,15.73,15.38,73.77,102.23,12.5,12.92,295.85,323.09,10.0,10.43
0,3,0,34,24,129,0.078,32,0,7,60,3,5,8,1,43.0,0,Arizona St.,224.16,247.37,100.47,97.0,644.16,700.63,0.14,0.21,247.38,273.12,29.46,30.14,38.94,50.06,308.82,325.72,44.11,34.33,15.73,23.73,73.77,78.62,12.5,11.7,295.85,327.36,10.0,9.75
0,3,0,26,20,93,0.065,26,3,8,31,4,3,8,1,36.0,2,Western Ky.,224.16,280.12,100.47,101.06,644.16,710.81,0.14,0.2,247.38,277.73,29.46,56.5,38.94,81.6,308.82,344.0,44.11,67.0,15.73,23.75,73.77,115.22,12.5,15.75,295.85,361.7,10.0,14.67
0,4,0,47,18,138,0.210,39,8,12,59,10,3,10,4,63.0,0,Chattanooga,224.16,239.29,100.47,107.82,644.16,697.29,0.14,0.18,247.38,284.0,29.46,38.54,38.94,58.42,308.82,366.86,44.11,40.75,15.73,19.33,73.77,70.55,12.5,13.2,295.85,336.13,10.0,21.43
1,3,0,42,12,113,0.265,38,7,7,48,4,2,6,0,54.0,1,Manhattan,224.16,226.35,100.47,104.76,644.16,687.24,0.14,0.05,247.38,268.77,29.46,41.38,38.94,53.27,308.82,314.69,44.11,48.17,15.73,16.67,73.77,83.27,12.5,18.56,295.85,356.68,10.0,24.67
0,5,0,66,21,161,0.280,60,2,7,61,6,0,12,2,74.0,0,Evansville,224.16,285.44,100.47,122.81,644.16,860.25,0.14,0.17,247.38,307.57,29.46,37.0,38.94,52.75,308.82,457.07,44.11,35.27,15.73,10.5,73.77,110.6,12.5,15.0,295.85,400.61,10.0,5.56
1,5,0,62,31,169,0.183,58,6,7,75,8,2,22,1,81.0,0,Western Ill.,224.16,206.72,100.47,95.5,644.16,599.56,0.14,0.03,247.38,286.08,29.46,31.23,38.94,52.31,308.82,273.75,44.11,31.92,15.73,13.27,73.77,78.85,12.5,7.9,295.85,304.1,10.0,11.5
