Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,58,12,144,0.319,55,2,11,72,5,2,8,1,66.0,3,UNI,242.62,327.81,78.12,133.5,594.62,935.06,0.2,0.18,261.0,375.85,43.33,42.18,61.46,56.69,268.71,481.57,33.0,36.08,11.25,19.8,104.0,99.91,12.36,15.22,352.43,430.37,6.11,8.0
1,4,0,49,14,115,0.304,46,10,12,42,6,1,14,6,67.0,1,Southern California,242.62,285.72,78.12,107.17,594.62,755.0,0.2,0.2,261.0,294.94,43.33,41.31,61.46,68.69,268.71,341.88,33.0,39.43,11.25,14.55,104.0,141.27,12.36,19.2,352.43,441.13,6.11,12.71
1,3,0,56,9,133,0.353,53,6,14,54,4,1,18,0,72.0,0,Minnesota,242.62,267.44,78.12,96.72,594.62,727.61,0.2,0.19,261.0,321.57,43.33,39.09,61.46,42.54,268.71,332.71,33.0,40.0,11.25,15.89,104.0,118.92,12.36,13.54,352.43,362.35,6.11,6.33
0,5,0,65,18,152,0.309,60,4,9,46,4,0,18,3,78.0,1,Stanford,242.62,262.95,78.12,88.53,594.62,672.42,0.2,0.28,261.0,313.47,43.33,34.0,61.46,51.5,268.71,296.67,33.0,25.38,11.25,11.56,104.0,135.83,12.36,19.2,352.43,351.28,6.11,9.0
1,4,0,62,15,144,0.326,59,4,14,65,5,0,18,3,75.0,0,BYU,242.62,233.44,78.12,91.89,594.62,599.44,0.2,0.13,261.0,242.06,43.33,35.46,61.46,51.54,268.71,265.12,33.0,33.33,11.25,11.25,104.0,119.17,12.36,17.78,352.43,341.75,6.11,11.57
1,3,0,47,8,91,0.429,44,5,11,42,1,0,12,2,58.0,1,Wichita St.,242.62,214.39,78.12,92.67,594.62,611.89,0.2,0.19,261.0,257.79,43.33,22.07,61.46,38.6,268.71,279.24,33.0,24.57,11.25,11.9,104.0,77.21,12.36,12.0,352.43,285.18,6.11,9.62
0,5,0,60,20,161,0.248,57,4,12,66,2,1,14,1,72.0,0,Rice,242.62,240.78,78.12,92.06,594.62,648.11,0.2,0.21,261.0,288.79,43.33,26.93,61.46,41.43,268.71,331.12,33.0,31.82,11.25,19.78,104.0,68.31,12.36,13.2,352.43,333.31,6.11,8.78
1,3,0,44,10,85,0.400,40,2,10,23,5,2,16,2,56.0,0,Texas A&M,242.62,247.79,78.12,103.47,594.62,629.0,0.2,0.17,261.0,307.71,43.33,37.42,61.46,54.86,268.71,274.12,33.0,28.69,11.25,14.7,104.0,103.92,12.36,14.5,352.43,325.0,6.11,9.0
1,4,0,57,15,135,0.311,56,5,13,51,2,3,4,2,67.0,0,Iowa St.,242.62,234.33,78.12,88.83,594.62,639.0,0.2,0.21,261.0,276.71,43.33,34.08,61.46,52.36,268.71,325.13,33.0,27.79,11.25,12.44,104.0,87.25,12.36,12.73,352.43,322.56,6.11,12.25
1,3,0,48,7,90,0.456,42,4,9,37,3,1,12,0,59.0,0,Texas Tech,242.62,183.56,78.12,74.48,594.62,497.68,0.2,0.14,261.0,267.31,43.33,28.93,61.46,38.18,268.71,234.55,33.0,31.23,11.25,17.08,104.0,86.15,12.36,10.67,352.43,261.19,6.11,9.6
1,3,0,42,11,85,0.365,41,5,12,23,1,2,12,2,55.0,1,TCU,242.62,224.72,78.12,101.11,594.62,604.33,0.2,0.21,261.0,238.38,43.33,27.93,61.46,51.88,268.71,267.19,33.0,31.08,11.25,12.2,104.0,101.67,12.36,13.25,352.43,317.81,6.11,7.71
1,3,0,43,13,120,0.250,43,7,12,66,7,2,16,1,60.0,2,Kansas St.,242.62,225.0,78.12,85.68,594.62,633.21,0.2,0.13,261.0,282.93,43.33,33.69,61.46,47.19,268.71,342.87,33.0,34.6,11.25,11.57,104.0,91.38,12.36,12.2,352.43,320.53,6.11,7.3
1,3,0,40,12,99,0.283,37,11,9,37,3,2,13,1,59.5,0,Oklahoma,242.62,222.63,78.12,99.05,594.62,646.84,0.2,0.19,261.0,244.88,43.33,32.5,61.46,48.93,268.71,335.12,33.0,30.5,11.25,12.5,104.0,106.5,12.36,8.45,352.43,318.18,6.11,7.17
1,3,0,44,11,93,0.355,41,6,4,38,3,1,23,3,62.5,0,West Virginia,242.62,222.32,78.12,94.0,594.62,607.37,0.2,0.07,261.0,247.12,43.33,24.79,61.46,37.62,268.71,263.06,33.0,23.88,11.25,12.44,104.0,101.91,12.36,15.64,352.43,319.22,6.11,6.8
1,3,0,34,8,76,0.342,32,9,6,31,1,2,20,1,55.0,0,Baylor,242.62,265.25,78.12,101.38,594.62,659.81,0.2,0.24,261.0,331.17,43.33,33.2,61.46,50.38,268.71,304.64,33.0,35.11,11.25,13.38,104.0,116.73,12.36,15.11,352.43,367.79,6.11,8.55
1,3,0,36,6,80,0.375,35,5,7,39,3,1,22,2,53.0,0,Kansas,242.62,206.82,78.12,92.65,594.62,567.12,0.2,0.14,261.0,232.0,43.33,22.21,61.46,40.0,268.71,235.44,33.0,27.62,11.25,16.6,104.0,100.36,12.36,10.73,352.43,278.38,6.11,7.83
1,3,0,42,9,83,0.398,38,4,8,29,7,1,16,0,55.0,0,Texas Tech,242.62,183.56,78.12,74.48,594.62,497.68,0.2,0.14,261.0,267.31,43.33,28.93,61.46,38.18,268.71,234.55,33.0,31.23,11.25,17.08,104.0,86.15,12.36,10.67,352.43,261.19,6.11,9.6
1,3,0,47,9,99,0.384,44,2,11,38,0,0,10,1,54.0,0,West Virginia,242.62,222.32,78.12,94.0,594.62,607.37,0.2,0.07,261.0,247.12,43.33,24.79,61.46,37.62,268.71,263.06,33.0,23.88,11.25,12.44,104.0,101.91,12.36,15.64,352.43,319.22,6.11,6.8
1,4,0,53,16,134,0.276,49,10,10,48,4,1,18,2,73.0,0,Oklahoma,242.62,222.63,78.12,99.05,594.62,646.84,0.2,0.19,261.0,244.88,43.33,32.5,61.46,48.93,268.71,335.12,33.0,30.5,11.25,12.5,104.0,106.5,12.36,8.45,352.43,318.18,6.11,7.17
1,3,0,45,9,104,0.346,39,7,11,46,2,1,20,1,63.0,0,Kansas St.,242.62,225.0,78.12,85.68,594.62,633.21,0.2,0.13,261.0,282.93,43.33,33.69,61.46,47.19,268.71,342.87,33.0,34.6,11.25,11.57,104.0,91.38,12.36,12.2,352.43,320.53,6.11,7.3
1,3,0,36,10,79,0.329,35,8,13,32,4,4,16,2,56.0,0,TCU,242.62,224.72,78.12,101.11,594.62,604.33,0.2,0.21,261.0,238.38,43.33,27.93,61.46,51.88,268.71,267.19,33.0,31.08,11.25,12.2,104.0,101.67,12.36,13.25,352.43,317.81,6.11,7.71
0,5,0,59,24,180,0.194,56,3,16,63,3,2,27,0,77.5,3,Baylor,242.62,265.25,78.12,101.38,594.62,659.81,0.2,0.24,261.0,331.17,43.33,33.2,61.46,50.38,268.71,304.64,33.0,35.11,11.25,13.38,104.0,116.73,12.36,15.11,352.43,367.79,6.11,8.55
1,4,0,59,19,146,0.274,54,10,12,51,2,1,22,2,81.0,0,Kansas,242.62,206.82,78.12,92.65,594.62,567.12,0.2,0.14,261.0,232.0,43.33,22.21,61.46,40.0,268.71,235.44,33.0,27.62,11.25,16.6,104.0,100.36,12.36,10.73,352.43,278.38,6.11,7.83
1,4,0,52,11,138,0.297,49,4,10,69,1,1,25,1,69.5,1,Iowa St.,242.62,234.33,78.12,88.83,594.62,639.0,0.2,0.21,261.0,276.71,43.33,34.08,61.46,52.36,268.71,325.13,33.0,27.79,11.25,12.44,104.0,87.25,12.36,12.73,352.43,322.56,6.11,12.25
1,5,0,69,13,162,0.346,65,1,11,58,5,1,27,5,84.5,1,UC Santa Barbara,242.62,212.85,78.12,83.4,594.62,555.2,0.2,0.23,261.0,283.43,43.33,29.17,61.46,43.5,268.71,270.94,33.0,31.0,11.25,17.33,104.0,79.21,12.36,11.22,352.43,274.92,6.11,9.22
0,5,0,65,18,147,0.320,62,8,15,52,5,1,20,4,84.0,2,Louisville,242.62,236.37,78.12,106.68,594.62,629.26,0.2,0.17,261.0,263.19,43.33,30.13,61.46,44.47,268.71,274.82,33.0,36.08,11.25,15.38,104.0,102.23,12.36,12.92,352.43,323.09,6.11,10.43
