BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,199.6,182.62,95.45,76.81,591.85,522.43,0.15,0.13,246.53,222.38,46.0,33.5,60.38,31.12,296.18,244.05,40.0,35.45,18.9,15.82,67.67,67.69,18.36,14.6,321.19,303.06,20.0,16.0,0,4,0,44,27,147,0.116,38,0,12,67,9,4,8,3,52.0
0,199.6,177.1,95.45,82.75,591.85,544.95,0.15,0.12,246.53,222.93,46.0,30.07,60.38,39.2,296.18,273.83,40.0,30.29,18.9,12.44,67.67,65.69,18.36,12.92,321.19,259.88,20.0,14.56,0,4,0,36,24,138,0.087,33,11,13,50,8,3,8,6,54.0
0,199.6,238.24,95.45,97.94,591.85,688.06,0.15,0.15,246.53,248.27,46.0,37.31,60.38,50.54,296.18,347.6,40.0,39.21,18.9,12.67,67.67,65.57,18.36,11.0,321.19,308.88,20.0,15.5,0,4,0,51,32,170,0.112,47,6,15,72,10,2,2,0,60.0
0,199.6,109.71,95.45,64.67,591.85,323.05,0.15,0.06,246.53,190.27,46.0,35.0,60.38,32.71,296.18,149.76,40.0,36.13,18.9,9.4,67.67,34.07,18.36,7.09,321.19,171.56,20.0,5.5,1,3,0,38,14,105,0.229,32,11,4,39,4,2,10,0,56.0
0,199.6,249.31,95.45,111.75,591.85,692.56,0.15,0.16,246.53,278.15,46.0,47.36,60.38,37.5,296.18,314.0,40.0,38.46,18.9,15.33,67.67,81.58,18.36,9.6,321.19,342.47,20.0,9.88,0,3,0,31,24,112,0.062,29,3,10,36,6,1,2,3,36.0
0,199.6,196.95,95.45,93.21,591.85,587.32,0.15,0.15,246.53,221.0,46.0,24.5,60.38,32.4,296.18,267.67,40.0,27.14,18.9,10.54,67.67,64.81,18.36,10.93,321.19,263.31,20.0,18.12,0,3,0,34,15,123,0.154,30,3,13,56,7,0,8,1,41.0
2,199.6,170.9,95.45,87.7,591.85,582.7,0.15,0.08,246.53,181.56,46.0,31.5,60.38,31.22,296.18,215.11,40.0,32.31,18.9,20.17,67.67,42.47,18.36,10.36,321.19,255.5,20.0,10.71,1,5,0,66,27,162,0.241,57,16/,12,65,6,3,4,1,87.0
0,199.6,268.24,95.45,127.29,591.85,720.29,0.15,0.15,246.53,284.87,46.0,49.6,60.38,76.91,296.18,315.53,40.0,45.4,18.9,26.3,67.67,86.0,18.36,9.0,321.19,342.12,20.0,9.83,0,3,0,24,19,92,0.054,23,1,5,29,6,3,6,0,31.0
0,199.6,164.19,95.45,81.57,591.85,498.71,0.15,0.04,246.53,211.4,46.0,49.2,60.38,49.67,296.18,323.36,40.0,43.45,18.9,23.5,67.67,57.77,18.36,15.6,321.19,276.8,20.0,15.27,1,5,0,59,34,183,0.137,54,12,10,84,6,6,6,0,80.0
1,199.6,231.05,95.45,101.79,591.85,672.95,0.15,0.18,246.53,316.54,46.0,48.92,60.38,53.83,296.18,350.44,40.0,47.14,18.9,13.3,67.67,71.21,18.36,18.45,321.19,314.31,20.0,22.29,0,4,0,56,28,160,0.175,53,10,4,71,11,1,8,1,71.0
