Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,41,12,99,0.293,36,3,6,41,2,4,16,1,56.0,3,Quinnipiac,185.33,246.06,72.62,114.35,492.04,742.53,0.29,0.12,230.83,244.31,32.14,31.69,36.27,36.07,280.67,337.69,38.0,40.9,11.56,17.8,110.62,104.91,15.11,13.33,286.05,334.38,12.83,11.6
1,3,0,42,19,102,0.225,40,2,5,42,4,1,14,0,52.0,0,Seton Hall,185.33,229.61,72.62,95.72,492.04,675.94,0.29,0.07,230.83,251.87,32.14,39.58,36.27,46.92,280.67,324.69,38.0,47.82,11.56,13.6,110.62,75.64,15.11,12.67,286.05,344.0,12.83,9.38
1,3,0,43,10,98,0.337,40,7,7,50,3,2,7,1,55.5,0,Morgan St.,185.33,228.61,72.62,99.5,492.04,655.94,0.29,0.21,230.83,295.23,32.14,53.4,36.27,64.36,280.67,338.8,38.0,40.75,11.56,11.27,110.62,63.67,15.11,15.5,286.05,368.18,12.83,14.88
0,4,0,55,27,166,0.169,50,5,6,70,9,1,15,0,68.5,0,Rutgers,185.33,227.06,72.62,105.5,492.04,630.25,0.29,0.18,230.83,260.77,32.14,39.08,36.27,42.93,280.67,280.5,38.0,40.77,11.56,12.27,110.62,97.58,15.11,13.42,286.05,318.75,12.83,9.89
1,4,0,48,15,112,0.295,46,7,8,45,3,1,13,1,62.5,1,Virginia,185.33,210.11,72.62,91.37,492.04,567.89,0.29,0.15,230.83,220.65,32.14,31.08,36.27,37.82,280.67,239.39,38.0,37.45,11.56,13.7,110.62,107.73,15.11,13.62,286.05,283.38,12.83,10.1
1,3,0,40,14,102,0.255,39,8,6,44,3,0,9,1,52.5,1,Princeton,185.33,210.94,72.62,73.22,492.04,529.56,0.29,0.17,230.83,234.2,32.14,29.09,36.27,42.82,280.67,256.93,38.0,25.17,11.56,12.9,110.62,57.92,15.11,9.0,286.05,308.17,12.83,8.0
1,3,0,39,5,81,0.420,34,7,7,45,3,1,17,0,55.5,0,Youngstown St.,185.33,177.1,72.62,82.75,492.04,544.95,0.29,0.12,230.83,222.93,32.14,30.07,36.27,39.2,280.67,273.83,38.0,30.29,11.56,12.44,110.62,65.69,15.11,12.92,286.05,259.88,12.83,14.56
0,5,0,69,25,177,0.249,62,7,5,69,10,0,26,2,89.0,1,Coastal Carolina,185.33,259.12,72.62,91.94,492.04,654.53,0.29,0.2,230.83,314.77,32.14,43.21,36.27,62.93,280.67,304.21,38.0,57.89,11.56,19.73,110.62,78.31,15.11,13.55,286.05,362.53,12.83,17.5
1,3,0,36,15,106,0.198,32,3,4,53,5,1,19,0,49.5,2,Loyola Maryland,185.33,238.0,72.62,102.0,492.04,695.05,0.29,0.16,230.83,279.06,32.14,40.18,36.27,51.0,280.67,393.62,38.0,42.0,11.56,12.8,110.62,86.17,15.11,11.8,286.05,367.07,12.83,18.62
1,3,0,42,18,95,0.253,40,6,3,43,1,1,20,2,59.0,0,NJIT,185.33,211.29,72.62,100.18,492.04,616.18,0.29,0.14,230.83,237.43,32.14,32.31,36.27,46.0,280.67,256.25,38.0,41.85,11.56,11.75,110.62,75.83,15.11,13.67,286.05,266.56,12.83,13.11
1,3,0,50,19,121,0.256,47,5,7,68,2,2,12,0,63.0,0,New Hampshire,185.33,219.53,72.62,90.88,492.04,625.41,0.29,0.19,230.83,212.25,32.14,39.67,36.27,45.69,280.67,293.07,38.0,38.33,11.56,12.33,110.62,86.77,15.11,8.64,286.05,280.06,12.83,8.44
1,3,0,41,10,106,0.292,41,5,4,49,7,2,19,2,57.5,0,Delaware,185.33,205.42,72.62,86.74,492.04,545.32,0.29,0.16,230.83,225.88,32.14,43.73,36.27,43.14,280.67,242.71,38.0,31.2,11.56,11.56,110.62,81.62,15.11,8.88,286.05,305.12,12.83,13.8
