Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,0,59,20,162,0.241,55,5,10,64,10,5,20,0,79.0,0,Pepperdine,297.88,245.78,135.12,92.44,897.59,654.33,0.14,0.21,334.93,295.0,38.17,44.91,52.0,59.92,424.75,348.0,34.57,37.45,22.67,15.0,111.15,102.67,19.0,11.89,394.22,367.3,9.78,11.0
0,4,0,46,18,138,0.203,44,5,12,45,6,1,10,0,57.0,0,Illinois St.,297.88,269.53,135.12,119.89,897.59,757.47,0.14,0.22,334.93,320.67,38.17,43.08,52.0,61.17,424.75,367.88,34.57,32.13,22.67,12.8,111.15,129.5,19.0,14.83,394.22,384.85,9.78,10.0
0,4,0,53,29,161,0.149,50,4,6,63,2,1,14,2,0,0,North Texas,297.88,251.53,135.12,93.53,897.59,722.76,0.14,0.16,334.93,263.93,38.17,26.0,52.0,32.4,424.75,345.38,34.57,30.38,22.67,15.56,111.15,79.15,19.0,9.83,394.22,313.09,9.78,11.0
0,3,0,36,18,127,0.142,32,1,6,55,5,0,6,3,40.0,0,South Dakota,297.88,272.61,135.12,105.17,897.59,733.67,0.14,0.28,334.93,352.85,38.17,45.0,52.0,51.14,424.75,394.0,34.57,45.3,22.67,14.22,111.15,125.64,19.0,16.33,394.22,368.44,9.78,13.86
1,4,0,56,23,158,0.209,51,2,7,75,7,2,8,3,64.0,2,Louisiana Tech,297.88,228.35,135.12,89.71,897.59,656.18,0.14,0.12,334.93,220.69,38.17,33.08,52.0,45.85,424.75,298.69,34.57,33.83,22.67,14.08,111.15,62.54,19.0,13.0,394.22,274.97,9.78,9.78
1,4,0,47,19,150,0.187,45,7,7,70,5,5,15,4,66.5,0,Kansas City,297.88,242.17,135.12,96.67,897.59,651.44,0.14,0.18,334.93,290.07,38.17,47.6,52.0,47.54,424.75,297.12,34.57,44.1,22.67,16.11,111.15,85.58,19.0,15.0,394.22,343.34,9.78,7.55
1,4,0,63,21,162,0.259,61,7,8,62,2,2,14,2,79.0,0,Oral Roberts,297.88,270.41,135.12,113.06,897.59,783.65,0.14,0.19,334.93,358.17,38.17,37.62,52.0,45.43,424.75,395.13,34.57,50.6,22.67,11.7,111.15,80.15,19.0,16.92,394.22,351.5,9.78,11.8
1,3,0,43,13,99,0.303,42,4,9,44,4,1,6,3,51.0,0,Houston Baptist,297.88,219.65,135.12,93.85,897.59,667.05,0.14,0.19,334.93,289.71,38.17,35.92,52.0,63.08,424.75,365.24,34.57,47.89,22.67,10.6,111.15,87.31,19.0,8.73,394.22,306.71,9.78,18.0
0,4,0,41,27,137,0.102,37,9,9,61,6,4,18,2,63.0,0,UTSA,297.88,226.21,135.12,86.68,897.59,623.95,0.14,0.2,334.93,254.56,38.17,44.5,52.0,63.0,424.75,282.56,34.57,44.45,22.67,13.8,111.15,72.33,19.0,11.25,394.22,301.5,9.78,13.2
1,4,0,46,29,164,0.104,39,8,4,69,4,3,19,0,66.5,0,SIUE,297.88,207.9,135.12,95.85,897.59,626.6,0.14,0.15,334.93,236.94,38.17,34.42,52.0,42.0,424.75,326.35,34.57,27.4,22.67,17.1,111.15,81.62,19.0,9.8,394.22,310.06,9.78,9.5
1,4,0,61,14,133,0.353,55,5,9,52,5,3,16,3,77.0,4,Samford,297.88,246.72,135.12,100.11,897.59,683.94,0.14,0.12,334.93,293.0,38.17,53.0,52.0,64.55,424.75,368.07,34.57,50.7,22.67,25.12,111.15,105.0,19.0,22.22,394.22,406.93,9.78,12.6
0,3,0,24,13,76,0.145,23,4,6,25,12,1,2,3,30.0,3,Western Ky.,297.88,280.12,135.12,101.06,897.59,710.81,0.14,0.2,334.93,277.73,38.17,56.5,52.0,81.6,424.75,344.0,34.57,67.0,22.67,23.75,111.15,115.22,19.0,15.75,394.22,361.7,9.78,14.67
0,3,0,40,19,115,0.183,37,2,5,58,10,3,12,1,51.0,0,Northern Ky.,297.88,286.94,135.12,114.29,897.59,840.76,0.14,0.21,334.93,325.0,38.17,53.33,52.0,56.17,424.75,462.07,34.57,39.8,22.67,17.0,111.15,131.73,19.0,12.55,394.22,445.39,9.78,10.71
1,5,0,59,34,185,0.135,54,2,6,89,5,0,16,1,69.0,0,Wichita St.,297.88,214.39,135.12,92.67,897.59,611.89,0.14,0.19,334.93,257.79,38.17,22.07,52.0,38.6,424.75,279.24,34.57,24.57,22.67,11.9,111.15,77.21,19.0,12.0,394.22,285.18,9.78,9.62
