Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,0,42,16,108,0.241,39,4,11,44,6,0,16,3,54.0,1,Ball St.,204.72,255.35,87.94,97.8,577.56,728.0,0.13,0.27,263.15,278.24,36.62,35.54,41.67,39.15,274.5,361.72,34.38,39.27,11.67,16.08,82.91,82.58,11.25,14.82,305.77,342.69,13.5,8.55
0,4,0,56,17,152,0.257,52,8,12,61,3,0,4,2,0,4,South Fla.,204.72,232.17,87.94,95.44,577.56,646.22,0.13,0.14,263.15,263.47,36.62,32.69,41.67,39.33,274.5,291.24,34.38,42.36,11.67,11.17,82.91,81.17,11.25,10.82,305.77,299.35,13.5,12.36
1,3,0,43,13,86,0.349,40,6,10,28,3,1,6,0,53.0,0,Alabama St.,204.72,241.0,87.94,108.33,577.56,653.24,0.13,0.11,263.15,250.0,36.62,50.17,41.67,43.19,274.5,292.05,34.38,37.38,11.67,27.27,82.91,64.15,11.25,10.25,305.77,340.5,13.5,16.0
1,4,0,55,17,146,0.260,54,6,7,69,5,2,12,0,69.0,2,Jacksonville St.,204.72,255.29,87.94,105.41,577.56,672.41,0.13,0.17,263.15,283.86,36.62,27.5,41.67,43.69,274.5,280.75,34.38,28.75,11.67,20.67,82.91,83.64,11.25,15.44,305.77,335.97,13.5,14.5
0,4,0,45,22,142,0.162,42,8,5,66,12,3,16,3,64.0,2,Samford,204.72,246.72,87.94,100.11,577.56,683.94,0.13,0.12,263.15,293.0,36.62,53.0,41.67,64.55,274.5,368.07,34.38,50.7,11.67,25.12,82.91,105.0,11.25,22.22,305.77,406.93,13.5,12.6
0,3,0,38,30,119,0.067,36,3,6,41,1,1,16,0,50.0,1,Alabama,204.72,176.23,87.94,73.77,577.56,478.59,0.13,0.2,263.15,199.61,36.62,20.05,41.67,33.21,274.5,202.14,34.38,24.94,11.67,18.27,82.91,71.79,11.25,8.43,305.77,230.78,13.5,8.5
1,3,0,37,13,94,0.255,33,5,9,56,3,0,8,2,46.0,1,Alcorn,204.72,142.81,87.94,79.52,577.56,446.9,0.13,0.08,263.15,153.65,36.62,29.71,41.67,40.62,274.5,204.63,34.38,32.47,11.67,16.75,82.91,45.62,11.25,8.5,305.77,196.68,13.5,14.4
1,4,0,48,25,141,0.163,46,11,9,73,6,2,16,0,69.0,2,Georgia St.,204.72,212.11,87.94,103.22,577.56,636.94,0.13,0.11,263.15,236.2,36.62,39.0,41.67,49.5,274.5,290.65,34.38,38.17,11.67,15.91,82.91,67.53,11.25,10.85,305.77,275.15,13.5,11.0
1,5,0,57,33,156,0.154,56,4,10,74,10,5,14,0,73.0,0,ETSU,204.72,313.4,87.94,125.27,577.56,832.47,0.13,0.23,263.15,311.07,36.62,42.08,41.67,56.57,274.5,363.29,34.38,39.25,11.67,18.73,82.91,88.33,11.25,23.17,305.77,401.29,13.5,8.75
1,3,0,35,9,91,0.286,31,10,6,41,6,2,16,0,55.0,1,North Florida,204.72,283.0,87.94,111.53,577.56,764.47,0.13,0.15,263.15,299.33,36.62,38.57,41.67,59.43,274.5,359.6,34.38,40.0,11.67,15.44,82.91,84.77,11.25,16.4,305.77,344.68,13.5,18.0
1,4,0,50,21,139,0.209,44,6,10,53,3,4,20,2,70.0,2,Jackson St.,204.72,204.14,87.94,101.59,577.56,600.68,0.13,0.14,263.15,248.81,36.62,32.4,41.67,43.4,274.5,311.47,34.38,40.15,11.67,31.27,82.91,52.6,11.25,10.27,305.77,282.45,13.5,10.3
0,5,0,63,29,191,0.178,60,9,10,78,5,0,8,1,76.0,1,Mississippi St.,204.72,246.65,87.94,111.18,577.56,705.94,0.13,0.24,263.15,274.43,36.62,31.54,41.67,43.77,274.5,361.86,34.38,40.91,11.67,22.8,82.91,84.45,11.25,10.8,305.77,338.43,13.5,8.57
0,3,0,35,20,121,0.124,34,9,5,53,2,1,12,0,51.0,0,North Texas,204.72,251.53,87.94,93.53,577.56,722.76,0.13,0.16,263.15,263.93,36.62,26.0,41.67,32.4,274.5,345.38,34.38,30.38,11.67,15.56,82.91,79.15,11.25,9.83,305.77,313.09,13.5,11.0
