BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,180.43,258.72,79.43,109.67,500.57,709.0,0.14,0.18,182.53,254.35,26.31,27.07,35.22,47.07,216.89,312.24,28.11,25.06,13.38,16.0,77.42,87.64,9.85,10.92,236.87,332.94,11.57,7.64,0,3,0,27,17,107,0.093,25,2,6,31,4,0,11,0,0
1,180.43,293.73,79.43,121.8,500.57,797.67,0.14,0.13,182.53,292.36,26.31,37.42,35.22,57.83,216.89,354.36,28.11,33.0,13.38,14.82,77.42,96.08,9.85,16.0,236.87,386.39,11.57,11.62,0,3,0,28,18,81,0.123,21,3,9,25,7,0,2,2,0
1,180.43,273.5,79.43,110.72,500.57,723.61,0.14,0.19,182.53,307.6,26.31,36.23,35.22,35.62,216.89,305.24,28.11,33.23,13.38,16.1,77.42,87.4,9.85,14.46,236.87,348.53,11.57,9.91,0,3,0,37,15,114,0.193,31,3,7,45,10,0,11,1,0
1,180.43,286.53,79.43,114.18,500.57,753.65,0.14,0.18,182.53,325.43,26.31,63.0,35.22,98.18,216.89,352.93,28.11,41.38,13.38,19.44,77.42,105.09,9.85,19.75,236.87,446.71,11.57,7.67,1,4,0,44,14,128,0.234,41,10,7,55,11,2,12,1,62.0
1,180.43,216.58,79.43,94.21,500.57,591.58,0.14,0.15,182.53,255.47,26.31,26.0,35.22,42.47,216.89,263.59,28.11,27.58,13.38,17.25,77.42,95.5,9.85,15.18,236.87,310.88,11.57,14.5,0,4,0,54,26,130,0.215,50,2,6,46,11,1,10,0,62.0
1,180.43,224.55,79.43,80.9,500.57,571.9,0.14,0.18,182.53,295.57,26.31,28.71,35.22,39.73,216.89,252.11,28.11,24.0,13.38,14.7,77.42,91.92,9.85,14.91,236.87,321.32,11.57,16.57,0,3,0,27,16,86,0.128,23,3,5,23,11,0,8,2,34.0
1,180.43,230.95,79.43,105.68,500.57,676.95,0.14,0.18,182.53,255.0,26.31,28.14,35.22,43.8,216.89,299.17,28.11,35.25,13.38,12.5,77.42,75.08,9.85,13.1,236.87,297.88,11.57,14.5,0,5,0,53,23,148,0.203,49,3,14,51,4,3,10,3,64.0
1,180.43,205.95,79.43,103.25,500.57,585.35,0.14,0.11,182.53,241.31,26.31,30.4,35.22,39.94,216.89,245.16,28.11,35.31,13.38,11.45,77.42,72.0,9.85,12.5,236.87,272.06,11.57,7.92,1,5,0,53,29,176,0.136,46,5,8,62,2,0,22,4,69.0
0,180.43,237.25,79.43,102.55,500.57,677.55,0.14,0.24,182.53,318.64,26.31,56.2,35.22,45.14,216.89,372.44,28.11,44.67,13.38,26.25,77.42,108.82,9.85,15.2,236.87,379.13,11.57,10.09,0,3,0,40,20,99,0.202,38,2,5,23,9,0,6,0,45.0
0,180.43,245.78,79.43,92.44,500.57,654.33,0.14,0.21,182.53,295.0,26.31,44.91,35.22,59.92,216.89,348.0,28.11,37.45,13.38,15.0,77.42,102.67,9.85,11.89,236.87,367.3,11.57,11.0,0,3,0,36,17,119,0.160,34,5,5,49,10,1,8,2,46.0
1,180.43,236.67,79.43,103.5,500.57,741.06,0.14,0.11,182.53,283.79,26.31,35.67,35.22,39.75,216.89,357.76,28.11,35.54,13.38,11.4,77.42,86.29,9.85,9.09,236.87,290.44,11.57,7.88,1,4,0,64,22,150,0.280,62,4,11,57,6,2,16,3,78.0
1,180.43,249.53,79.43,108.59,500.57,685.18,0.14,0.23,182.53,264.6,26.31,32.5,35.22,41.71,216.89,313.33,28.11,31.64,13.38,12.18,77.42,111.36,9.85,13.82,236.87,341.66,11.57,12.12,0,3,0,32,23,111,0.081,29,5,7,31,4,1,16,3,46.0
0,180.43,233.72,79.43,91.61,500.57,600.22,0.14,0.15,182.53,240.44,26.31,38.42,35.22,55.07,216.89,251.06,28.11,33.54,13.38,12.45,77.42,86.42,9.85,11.58,236.87,326.97,11.57,5.18,0,5,0,50,23,133,0.203,44,7,15,48,10,0,10,2,62.0
2,180.43,212.85,79.43,83.4,500.57,555.2,0.14,0.23,182.53,283.43,26.31,29.17,35.22,43.5,216.89,270.94,28.11,31.0,13.38,17.33,77.42,79.21,9.85,11.22,236.87,274.92,11.57,9.22,0,3,0,25,20,99,0.051,22,3,7,38,1,1,19,0,38.5
2,180.43,190.05,79.43,80.0,500.57,512.9,0.14,0.15,182.53,219.0,26.31,39.85,35.22,64.25,216.89,253.76,28.11,32.62,13.38,15.73,77.42,66.69,9.85,15.12,236.87,325.91,11.57,8.71,0,3,0,33,23,136,0.074,29,4,1,55,5,1,18,3,47.0
0,180.43,246.89,79.43,97.67,500.57,671.44,0.14,0.25,182.53,271.73,26.31,34.08,35.22,49.79,216.89,311.81,28.11,26.77,13.38,16.09,77.42,96.62,9.85,12.57,236.87,345.53,11.57,6.0,1,5,0,51,19,130,0.246,36,6,9,46,10,3,11,0,65.5
1,180.43,197.95,79.43,85.53,500.57,604.58,0.14,0.18,182.53,231.07,26.31,25.25,35.22,35.69,216.89,291.56,28.11,24.69,13.38,10.92,77.42,63.57,9.85,7.73,236.87,244.56,11.57,12.12,0,4,0,60,28,167,0.192,58,3,14,74,7,1,12,0,70.0
1,180.43,226.94,79.43,90.67,500.57,617.33,0.14,0.15,182.53,223.06,26.31,29.92,35.22,45.64,216.89,267.41,28.11,26.93,13.38,14.08,77.42,67.64,9.85,7.82,236.87,300.94,11.57,9.5,0,5,0,43,30,142,0.092,41,3,5,52,10,6,12,0,58.0
2,180.43,206.19,79.43,82.81,500.57,539.24,0.14,0.11,182.53,221.83,26.31,25.2,35.22,44.38,216.89,252.17,28.11,25.38,13.38,12.91,77.42,73.71,9.85,10.64,236.87,268.25,11.57,9.64,0,3,0,19,15,89,0.045,18,2,8,38,4,1,8,3,26.0
1,180.43,246.89,79.43,97.67,500.57,671.44,0.14,0.25,182.53,271.73,26.31,34.08,35.22,49.79,216.89,311.81,28.11,26.77,13.38,16.09,77.42,96.62,9.85,12.57,236.87,345.53,11.57,6.0,0,3,0,40,23,107,0.159,39,3,6,50,12/,0,6,1,46.0
1,180.43,197.95,79.43,85.53,500.57,604.58,0.14,0.18,182.53,231.07,26.31,25.25,35.22,35.69,216.89,291.56,28.11,24.69,13.38,10.92,77.42,63.57,9.85,7.73,236.87,244.56,11.57,12.12,0,4,0,58,32,179,0.145,59,5,6,77,6,1,4,2,66.0
0,180.43,192.1,79.43,84.6,500.57,543.0,0.14,0.13,182.53,219.06,26.31,22.53,35.22,39.0,216.89,233.63,28.11,27.69,13.38,8.25,77.42,57.07,9.85,8.55,236.87,240.17,11.57,9.67,0,5,0,57,20,142,0.261,56,2,6,57,4,0,4,2,61.0
0,180.43,206.19,79.43,82.81,500.57,539.24,0.14,0.11,182.53,221.83,26.31,25.2,35.22,44.38,216.89,252.17,28.11,25.38,13.38,12.91,77.42,73.71,9.85,10.64,236.87,268.25,11.57,9.64,0,3,0,26,23,93,0.032,25,5,4,28,2,0,4,1,33.0
