Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,43,12,91,0.341,40,5,6,37,2,1,16,0,0,0,LIU,212.85,238.25,83.4,105.19,555.2,673.5,0.23,0.18,283.43,255.5,29.17,30.0,43.5,43.21,270.94,303.8,31.0,33.25,17.33,12.9,79.21,65.08,11.22,13.21,274.92,307.03,9.22,9.58
1,5,0,64,38,200,0.130,61,6,7,92,2,3,20,1,0,3,Wyoming,212.85,270.71,83.4,106.65,555.2,740.82,0.23,0.17,283.43,302.5,29.17,29.36,43.5,45.77,270.94,349.07,31.0,35.83,17.33,15.27,79.21,108.0,11.22,16.09,274.92,372.3,9.22,11.38
0,4,0,51,30,146,0.144,47,3,12,48,5,1,20,2,0,0,Colorado,212.85,222.94,83.4,92.94,555.2,586.67,0.23,0.2,283.43,240.93,29.17,34.0,43.5,57.55,270.94,257.31,31.0,33.83,17.33,14.91,79.21,104.18,11.22,14.5,274.92,300.56,9.22,7.14
1,4,0,58,18,153,0.261,54,5,15,69,4,0,11,3,68.5,3,NC State,212.85,244.74,83.4,100.89,555.2,677.84,0.23,0.16,283.43,288.33,29.17,31.83,43.5,48.14,270.94,340.12,31.0,32.33,17.33,12.83,79.21,106.58,11.22,14.0,274.92,388.27,9.22,15.11
1,4,0,48,16,118,0.271,47,8,9,64,3,1,16,3,65.0,1,Navy,212.85,192.95,83.4,78.68,555.2,527.05,0.23,0.14,283.43,230.59,29.17,38.43,43.5,45.0,270.94,247.47,31.0,38.62,17.33,16.7,79.21,66.33,11.22,12.7,274.92,270.84,9.22,9.3
1,5,0,65,36,193,0.150,60,5,10,77,3,2,19,1,81.5,0,VCU,212.85,234.28,83.4,92.56,555.2,611.11,0.23,0.09,283.43,281.57,29.17,31.85,43.5,54.23,270.94,269.19,31.0,44.0,17.33,17.38,79.21,151.4,11.22,16.89,274.92,307.97,9.22,11.83
1,4,0,58,21,146,0.253,53,2,9,63,4,4,20,0,74.0,0,San Diego,212.85,259.06,83.4,96.18,555.2,653.41,0.23,0.21,283.43,272.0,29.17,38.73,43.5,48.93,270.94,299.53,31.0,40.5,17.33,15.55,79.21,99.45,11.22,12.45,274.92,362.5,9.22,6.12
1,3,0,50,20,127,0.236,48,3,2,62,4,1,20,0,64.0,0,La Salle,212.85,251.88,83.4,102.29,555.2,713.82,0.23,0.16,283.43,267.27,29.17,35.15,43.5,51.12,270.94,349.2,31.0,37.55,17.33,14.71,79.21,101.8,11.22,12.8,274.92,327.8,9.22,13.0
1,4,0,60,14,125,0.368,59,11,8,55,2,3,18,1,83.0,0,Harvard,212.85,179.78,83.4,75.5,555.2,485.11,0.23,0.19,283.43,199.0,29.17,30.07,43.5,39.93,270.94,193.41,31.0,35.67,17.33,8.8,79.21,65.86,11.22,9.8,274.92,247.41,9.22,11.2
1,3,0,50,9,104,0.394,47,3,5,42,0,0,14,0,60.0,1,UCLA,212.85,261.81,83.4,95.56,555.2,677.56,0.23,0.33,283.43,280.07,29.17,29.75,43.5,54.31,270.94,298.8,31.0,28.5,17.33,18.56,79.21,96.0,11.22,16.4,274.92,337.6,9.22,6.75
1,5,0,63,30,163,0.202,59,3,10,67,5,1,20,1,77.0,0,Pepperdine,212.85,245.78,83.4,92.44,555.2,654.33,0.23,0.21,283.43,295.0,29.17,44.91,43.5,59.92,270.94,348.0,31.0,37.45,17.33,15.0,79.21,102.67,11.22,11.89,274.92,367.3,9.22,11.0
1,5,0,73,24,157,0.312,65,4,10,55,8,3,10,0,85.0,0,CSUN,212.85,226.94,83.4,90.67,555.2,617.33,0.23,0.15,283.43,223.06,29.17,29.92,43.5,45.64,270.94,267.41,31.0,26.93,17.33,14.08,79.21,67.64,11.22,7.82,274.92,300.94,9.22,9.5
1,3,0,44,13,102,0.304,40,1,10,46,3,3,10,1,53.0,0,UC Irvine,212.85,180.43,83.4,79.43,555.2,500.57,0.23,0.14,283.43,182.53,29.17,26.31,43.5,35.22,270.94,216.89,31.0,28.11,17.33,13.38,79.21,77.42,11.22,9.85,274.92,236.87,9.22,11.57
1,3,0,44,9,109,0.321,43,3,3,48,3,6,8,1,57.0,0,Cal St. Fullerton,212.85,197.95,83.4,85.53,555.2,604.58,0.23,0.18,283.43,231.07,29.17,25.25,43.5,35.69,270.94,291.56,31.0,24.69,17.33,10.92,79.21,63.57,11.22,7.73,274.92,244.56,9.22,12.12
1,3,0,36,8,73,0.384,33,6,2,44,3,2,10,1,49.0,1,UC Davis,212.85,233.72,83.4,91.61,555.2,600.22,0.23,0.15,283.43,240.44,29.17,38.42,43.5,55.07,270.94,251.06,31.0,33.54,17.33,12.45,79.21,86.42,11.22,11.58,274.92,326.97,9.22,5.18
