Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,0,33,21,112,0.107,30,4,10,42,13,2,10,1,0,3,Virginia Tech,223.94,230.95,100.19,105.68,647.5,676.95,0.11,0.18,234.0,255.0,46.3,28.14,41.45,43.8,305.57,299.17,41.92,35.25,17.0,12.5,81.46,75.08,12.67,13.1,316.29,297.88,7.0,14.5
0,3,0,16,24,89,-0.090,15,1,3,28,6,2,6,1,0,1,Northwestern,223.94,183.75,100.19,76.88,647.5,491.21,0.11,0.16,234.0,201.85,46.3,26.69,41.45,47.62,305.57,247.95,41.92,35.15,17.0,29.22,81.46,88.0,12.67,9.83,316.29,295.39,7.0,7.54
0,3,0,37,20,117,0.145,35,2,4,48,4,4,2,2,44.0,0,Ga. Southern,223.94,170.0,100.19,74.0,647.5,504.48,0.11,0.11,234.0,250.46,46.3,31.0,41.45,38.27,305.57,277.35,41.92,37.46,17.0,14.45,81.46,67.25,12.67,7.91,316.29,251.89,7.0,8.8
1,5,0,50,27,164,0.140,47,9,6,76,11,2,20,0,71.0,1,Norfolk St.,223.94,125.19,100.19,63.71,647.5,388.33,0.11,0.1,234.0,173.43,46.3,36.0,41.45,44.64,305.57,193.11,41.92,40.62,17.0,10.0,81.46,41.06,12.67,8.5,316.29,182.61,7.0,15.56
0,3,0,30,17,112,0.116,30,2,6,42,3,0,12,0,38.0,1,George Washington,223.94,198.17,100.19,96.5,647.5,574.33,0.11,0.18,234.0,272.58,46.3,51.44,41.45,50.36,305.57,269.94,41.92,49.89,17.0,8.5,81.46,102.33,12.67,15.09,316.29,283.41,7.0,10.2
0,5,0,58,22,168,0.214,57,6,6,64,8,1,13,1,71.5,1,East Carolina,223.94,259.35,100.19,96.94,647.5,713.53,0.11,0.24,234.0,314.77,46.3,34.25,41.45,42.93,305.57,330.81,41.92,33.0,17.0,15.82,81.46,68.77,12.67,13.36,316.29,323.16,7.0,10.2
1,4,0,57,17,129,0.310,50,3,10,54,8,0,20,0,70.0,1,N.C. A&T,223.94,227.94,100.19,105.78,647.5,641.94,0.11,0.17,234.0,252.87,46.3,32.93,41.45,45.56,305.57,302.88,41.92,35.67,17.0,13.45,81.46,91.92,12.67,12.33,316.29,311.47,7.0,12.22
1,4,0,70,18,168,0.310,62,11,6,59,4,3,4,9/,86.0,0,Alabama A&M,223.94,217.95,100.19,86.84,647.5,600.37,0.11,0.21,234.0,282.69,46.3,36.77,41.45,35.77,305.57,295.25,41.92,37.0,17.0,20.55,81.46,61.67,12.67,15.0,316.29,274.81,7.0,11.14
0,4,0,49,18,145,0.214,45,2,7,52,6,2,14,0,60.0,0,UNC Asheville,223.94,181.83,100.19,77.94,647.5,536.11,0.11,0.12,234.0,214.36,46.3,24.71,41.45,29.4,305.57,256.12,41.92,28.92,17.0,15.89,81.46,53.15,12.67,5.38,316.29,237.15,7.0,11.67
1,3,0,44,23,107,0.196,43,7,4,52,4,0,12,0,57.0,0,Gardner-Webb,223.94,143.53,100.19,75.47,647.5,447.58,0.11,0.16,234.0,138.89,46.3,26.71,41.45,25.8,305.57,193.72,41.92,27.19,17.0,20.29,81.46,54.71,12.67,11.8,316.29,201.42,7.0,9.1
