BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,276.0,217.06,127.69,86.89,774.75,611.06,0.09,0.15,273.53,244.53,30.29,29.67,35.0,31.17,336.0,296.19,36.85,36.11,16.22,22.12,112.27,104.45,21.1,14.18,342.0,272.88,7.78,10.86,0,3,0,36,21,104,0.144,34,1,5,40,5,2,8,1,0
1,276.0,243.58,127.69,100.11,774.75,687.95,0.09,0.22,273.53,328.92,30.29,45.5,35.0,70.31,336.0,344.44,36.85,46.45,16.22,10.1,112.27,124.5,21.1,22.18,342.0,346.19,7.78,10.44,0,5,0,52,25,151,0.179,45,5,5,53,9,1,10,2,0
1,276.0,218.76,127.69,98.29,774.75,619.19,0.09,0.06,273.53,287.0,30.29,36.92,35.0,47.4,336.0,294.11,36.85,35.31,16.22,22.82,112.27,113.73,21.1,12.45,342.0,321.06,7.78,9.83,0,3,0,35,24,114,0.096,32,1,7,44,10,0,8,1,0
0,276.0,219.11,127.69,96.22,774.75,599.61,0.09,0.06,273.53,263.14,30.29,26.0,35.0,42.15,336.0,278.5,36.85,27.5,16.22,18.22,112.27,75.69,21.1,13.08,342.0,305.93,7.78,13.17,1,4,0,49,13,122,0.295,45,5,3,51,9,1,26,0,0
1,276.0,239.82,127.69,114.35,774.75,778.24,0.09,0.12,273.53,239.47,30.29,38.53,35.0,43.33,336.0,324.25,36.85,48.08,16.22,28.2,112.27,56.67,21.1,13.31,342.0,324.44,7.78,9.55,1,4,0,58,17,123,0.333,53,3,10,59,1,1,22,0,73.0
0,276.0,143.53,127.69,75.47,774.75,447.58,0.09,0.16,273.53,138.89,30.29,26.71,35.0,25.8,336.0,193.72,36.85,27.19,16.22,20.29,112.27,54.71,21.1,11.8,342.0,201.42,7.78,9.1,1,4,0,41,22,125,0.152,38,10,8,52,5,3,8,1,58.0
0,276.0,216.89,127.69,94.63,774.75,600.79,0.09,0.21,273.53,253.93,30.29,30.86,35.0,47.0,336.0,310.12,36.85,36.0,16.22,11.45,112.27,76.38,21.1,14.5,342.0,323.38,7.78,11.38,0,4,0,40,30,149,0.067,36,4,8,73,14/,0,34/,1,61.0
0,276.0,217.06,127.69,86.89,774.75,611.06,0.09,0.15,273.53,244.53,30.29,29.67,35.0,31.17,336.0,296.19,36.85,36.11,16.22,22.12,112.27,104.45,21.1,14.18,342.0,272.88,7.78,10.86,0,3,0,35,31,121,0.033,35,1,2,41,3,0,2,4,37.0
2,276.0,268.24,127.69,127.29,774.75,720.29,0.09,0.15,273.53,284.87,30.29,49.6,35.0,76.91,336.0,315.53,36.85,45.4,16.22,26.3,112.27,86.0,21.1,9.0,342.0,342.12,7.78,9.83,0,3,0,25,18,103,0.068,24,3,8,41,8,0,16,0,36.0
0,276.0,247.06,127.69,105.0,774.75,690.71,0.09,0.1,273.53,279.86,30.29,42.92,35.0,61.69,336.0,323.19,36.85,37.6,16.22,12.8,112.27,90.55,21.1,18.78,342.0,358.93,7.78,7.75,0,3,0,37,21,120,0.133,31,4,5,36,2,0,8,2,45.0
4,276.0,294.65,127.69,122.47,774.75,903.47,0.09,0.11,273.53,360.62,30.29,46.0,35.0,69.55,336.0,477.0,36.85,38.33,16.22,14.62,112.27,104.0,21.1,14.82,342.0,416.63,7.78,9.33,0,5,0,49,21,151,0.185,45,9,7,64,5,0,26,6,71.0
1,276.0,285.44,127.69,122.81,774.75,860.25,0.09,0.17,273.53,307.57,30.29,37.0,35.0,52.75,336.0,457.07,36.85,35.27,16.22,10.5,112.27,110.6,21.1,15.0,342.0,400.61,7.78,5.56,0,4,0,43,21,145,0.152,41,4,5,59,7,3,22,2,61.0
0,276.0,264.31,127.69,121.44,774.75,721.81,0.09,0.21,273.53,279.64,30.29,47.82,35.0,81.64,336.0,325.36,36.85,44.67,16.22,21.83,112.27,79.0,21.1,24.7,342.0,357.93,7.78,16.67,0,3,0,36,24,105,0.114,33,2,4,44,4,1,12,2,45.0
0,276.0,206.62,127.69,95.88,774.75,635.0,0.09,0.1,273.53,235.0,30.29,35.8,35.0,40.33,336.0,291.67,36.85,40.1,16.22,8.7,112.27,60.36,21.1,9.86,342.0,277.93,7.78,15.89,1,4,0,58,21,133,0.278,54,7,5,59,3,3,10,4,73.0
0,276.0,252.84,127.69,104.0,774.75,752.53,0.09,0.18,273.53,313.86,30.29,64.33,35.0,61.64,336.0,381.41,36.85,64.5,16.22,16.3,112.27,107.83,21.1,10.83,342.0,364.26,7.78,11.33,0,4,0,43,28,144,0.104,43,7,6,54,11,0,2,1,51.0
1,276.0,255.29,127.69,105.41,774.75,672.41,0.09,0.17,273.53,283.86,30.29,27.5,35.0,43.69,336.0,280.75,36.85,28.75,16.22,20.67,112.27,83.64,21.1,15.44,342.0,335.97,7.78,14.5,1,4,0,62,16,153,0.301,58,6,3,70,4,1,12,1,75.0
1,276.0,250.61,127.69,105.72,774.75,699.33,0.09,0.06,273.53,245.06,30.29,29.87,35.0,50.86,336.0,313.47,36.85,31.92,16.22,11.82,112.27,60.08,21.1,8.9,342.0,308.03,7.78,13.38,0,3,0,27,21,98,0.061,23,1,3,37,5,1,12,0,35.0
0,276.0,253.44,127.69,108.78,774.75,715.0,0.09,0.14,273.53,264.06,30.29,35.92,35.0,32.0,336.0,328.47,36.85,31.79,16.22,16.75,112.27,84.67,21.1,8.15,342.0,322.5,7.78,15.17,0,4,0,54,33,160,0.131,52,5,6,59,4,0,20,4,69.0
0,276.0,207.9,127.69,95.85,774.75,626.6,0.09,0.15,273.53,236.94,30.29,34.42,35.0,42.0,336.0,326.35,36.85,27.4,16.22,17.1,112.27,81.62,21.1,9.8,342.0,310.06,7.78,9.5,0,3,0,30,29,123,0.008,27,4,4,52,3,3,6,4,40.0
0,276.0,203.94,127.69,97.89,774.75,623.61,0.09,0.12,273.53,242.86,30.29,34.38,35.0,43.93,336.0,332.73,36.85,37.69,16.22,11.55,112.27,73.0,21.1,13.45,342.0,292.69,7.78,13.56,1,3,0,46,14,89,0.360,42,4,2,32,3,2,4,0,54.0
1,276.0,229.19,127.69,116.94,774.75,714.56,0.09,0.11,273.53,256.23,30.29,24.77,35.0,42.77,336.0,335.73,36.85,24.62,16.22,16.3,112.27,75.09,21.1,8.67,342.0,326.07,7.78,18.71,1,3,0,45,7,96,0.396,43,1,4,39,3,0,18,5,55.0
1,276.0,261.5,127.69,112.11,774.75,720.89,0.09,0.09,273.53,314.71,30.29,41.27,35.0,48.85,336.0,328.53,36.85,37.7,16.22,18.25,112.27,97.09,21.1,14.55,342.0,343.56,7.78,19.17,0,3,0,32,23,100,0.090,32,2,2,30,6,3,6,3,40.0
0,276.0,286.2,127.69,130.27,774.75,800.47,0.09,0.12,273.53,305.31,30.29,32.0,35.0,54.38,336.0,354.79,36.85,35.62,16.22,12.3,112.27,92.42,21.1,15.18,342.0,387.0,7.78,20.33,0,4,0,60,23,146,0.253,50,3,6,46,4,1,18,4,73.0
0,276.0,267.0,127.69,115.6,774.75,749.4,0.09,0.11,273.53,266.57,30.29,33.5,35.0,41.62,336.0,332.79,36.85,40.5,16.22,10.88,112.27,80.08,21.1,15.58,342.0,331.75,7.78,19.6,1,3,0,45,11,97,0.351,39,3,5,35,4,2,12,2,56.0
0,276.0,191.26,127.69,87.05,774.75,563.42,0.09,0.21,273.53,225.93,30.29,24.14,35.0,41.31,336.0,277.29,36.85,25.87,16.22,11.0,112.27,69.77,21.1,10.64,342.0,247.97,7.78,17.75,1,4,0,64,17,133,0.353,60,3,4,53,5,1,14,2,75.0
0,276.0,252.84,127.69,104.0,774.75,752.53,0.09,0.18,273.53,313.86,30.29,64.33,35.0,61.64,336.0,381.41,36.85,64.5,16.22,16.3,112.27,107.83,21.1,10.83,342.0,364.26,7.78,11.33,0,5,0,64,48/,207,0.077,61,4,4,93,5,0,14,3,75.0
0,276.0,224.16,127.69,100.47,774.75,644.16,0.09,0.14,273.53,247.38,30.29,29.46,35.0,38.94,336.0,308.82,36.85,44.11,16.22,15.73,112.27,73.77,21.1,12.5,342.0,295.85,7.78,10.0,1,4,0,52,16,127,0.283,50,4,4,60,7,3,14,1,66.0
1,276.0,253.44,127.69,108.78,774.75,715.0,0.09,0.14,273.53,264.06,30.29,35.92,35.0,32.0,336.0,328.47,36.85,31.79,16.22,16.75,112.27,84.67,21.1,8.15,342.0,322.5,7.78,15.17,0,5,0,62,28,166,0.205,57,7,7,61,7,1,24,1,82.0
0,276.0,250.61,127.69,105.72,774.75,699.33,0.09,0.06,273.53,245.06,30.29,29.87,35.0,50.86,336.0,313.47,36.85,31.92,16.22,11.82,112.27,60.08,21.1,8.9,342.0,308.03,7.78,13.38,1,5,0,64,30,182,0.187,60,3,8,86,7,3,22,2,81.0
0,276.0,203.94,127.69,97.89,774.75,623.61,0.09,0.12,273.53,242.86,30.29,34.38,35.0,43.93,336.0,332.73,36.85,37.69,16.22,11.55,112.27,73.0,21.1,13.45,342.0,292.69,7.78,13.56,1,3,0,39,13,115,0.226,38,2,3,43,6,0,10,0,46.0
0,276.0,207.9,127.69,95.85,774.75,626.6,0.09,0.15,273.53,236.94,30.29,34.42,35.0,42.0,336.0,326.35,36.85,27.4,16.22,17.1,112.27,81.62,21.1,9.8,342.0,310.06,7.78,9.5,1,3,0,44,17,140,0.193,36,4,6,65,2,2,14,2,57.0
1,276.0,250.61,127.69,105.72,774.75,699.33,0.09,0.06,273.53,245.06,30.29,29.87,35.0,50.86,336.0,313.47,36.85,31.92,16.22,11.82,112.27,60.08,21.1,8.9,342.0,308.03,7.78,13.38,0,3,0,33,18,105,0.143,32,1,4,36,7,1,12,4,41.0
