Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,55,23,155,0.206,52,5,4,74,4,6,6,3,0,0,Delaware,222.32,205.42,94.0,86.74,607.37,545.32,0.07,0.16,247.12,225.88,24.79,43.73,37.62,43.14,263.06,242.71,23.88,31.2,12.44,11.56,101.91,81.62,15.64,8.88,319.22,305.12,6.8,13.8
1,3,0,44,14,93,0.323,42,3,7,47,2,0,16,1,55.0,0,Coppin St.,222.32,222.11,94.0,97.67,607.37,611.28,0.07,0.16,247.12,219.76,24.79,37.56,37.62,50.0,263.06,262.76,23.88,36.69,12.44,10.2,101.91,81.0,15.64,16.0,319.22,300.41,6.8,7.73
1,3,0,37,9,84,0.333,35,4,7,43,9,1,6,1,45.0,0,Binghamton,222.32,137.71,94.0,68.76,607.37,408.88,0.07,0.03,247.12,162.77,24.79,28.92,37.62,46.92,263.06,179.33,23.88,33.0,12.44,7.78,101.91,53.83,15.64,7.0,319.22,201.93,6.8,9.67
1,3,0,39,15,93,0.258,33,5,7,28,4,2,16,3,54.0,0,Arkansas,222.32,230.44,94.0,103.28,607.37,623.5,0.07,0.17,247.12,277.21,24.79,36.54,37.62,47.93,263.06,257.35,23.88,35.5,12.44,11.8,101.91,92.08,15.64,8.25,319.22,333.69,6.8,9.29
0,5,0,65,25,156,0.256,61,1,11,47,2,2,16,4,76.0,0,San Diego St.,222.32,226.16,94.0,92.79,607.37,568.74,0.07,0.17,247.12,270.0,24.79,24.85,37.62,43.57,263.06,233.72,23.88,31.23,12.44,13.91,101.91,84.08,15.64,16.0,319.22,302.32,6.8,6.83
0,4,0,41,29,165,0.073,38,4,6,67,8,4,12,1,55.0,0,Arizona,222.32,267.88,94.0,103.29,607.37,718.59,0.07,0.18,247.12,277.47,24.79,26.43,37.62,48.93,263.06,321.38,23.88,31.85,12.44,22.2,101.91,78.08,15.64,16.6,319.22,350.88,6.8,9.0
0,4,0,39,21,142,0.127,36,4,6,54,6,3,8,4,50.0,0,Hawaii,222.32,246.89,94.0,97.67,607.37,671.44,0.07,0.25,247.12,271.73,24.79,34.08,37.62,49.79,263.06,311.81,23.88,26.77,12.44,16.09,101.91,96.62,15.64,12.57,319.22,345.53,6.8,6.0
0,3,0,33,18,105,0.143,28,2,6,37,8,1,12,2,42.0,0,UCLA,222.32,261.81,94.0,95.56,607.37,677.56,0.07,0.33,247.12,280.07,24.79,29.75,37.62,54.31,263.06,298.8,23.88,28.5,12.44,18.56,101.91,96.0,15.64,16.4,319.22,337.6,6.8,6.75
1,3,0,41,15,110,0.236,37,4,8,49,4,2,18,2,56.0,0,Utah Valley,222.32,217.79,94.0,100.89,607.37,605.47,0.07,0.15,247.12,257.93,24.79,39.0,37.62,46.0,263.06,273.88,23.88,31.12,12.44,9.1,101.91,101.71,15.64,8.33,319.22,339.83,6.8,16.5
1,3,0,46,20,120,0.217,39,6,4,44,2,0,9,0,56.5,0,Duquesne,222.32,217.69,94.0,93.69,607.37,631.19,0.07,0.05,247.12,269.5,24.79,40.2,37.62,39.08,263.06,342.46,23.88,48.0,12.44,8.45,101.91,74.5,15.64,11.5,319.22,274.27,6.8,14.0
