BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,214.39,187.48,92.67,86.05,611.89,567.86,0.19,0.13,257.79,226.88,22.07,31.33,38.6,44.47,279.24,285.61,24.57,29.53,11.9,15.64,77.21,64.92,12.0,8.89,285.18,248.42,9.62,9.3,1,3,0,45,10,121,0.289,41,4,8,60,2,0,10,0,54.0
3,214.39,235.28,92.67,99.33,611.89,630.22,0.19,0.21,257.79,259.4,22.07,39.17,38.6,51.69,279.24,284.19,24.57,33.08,11.9,12.56,77.21,69.29,12.0,12.09,285.18,344.57,9.62,9.3,1,5,0,49,24,141,0.177,45,5,7,64,6,3,16,3,65.0
0,214.39,210.68,92.67,76.77,611.89,525.82,0.19,0.1,257.79,312.64,22.07,29.93,38.6,45.75,279.24,255.28,24.57,24.71,11.9,17.56,77.21,107.91,12.0,13.33,285.18,305.53,9.62,6.86,0,3,0,22,20,78,0.026,21,0,4,23,6,1,2,2,24.0
0,214.39,218.17,92.67,100.06,611.89,606.83,0.19,0.22,257.79,215.29,22.07,30.93,38.6,44.62,279.24,273.18,24.57,34.79,11.9,14.89,77.21,62.12,12.0,10.64,285.18,295.35,9.62,13.33,0,4,0,37,21,137,0.117,36,5,8,64,3,0,12,3,48.0
2,214.39,190.05,92.67,80.0,611.89,512.9,0.19,0.15,257.79,219.0,22.07,39.85,38.6,64.25,279.24,253.76,24.57,32.62,11.9,15.73,77.21,66.69,12.0,15.12,285.18,325.91,9.62,8.71,0,5,0,66,15,159,0.321,65,6,17/,66,13/,6,12,4,84.0
3,214.39,251.53,92.67,93.53,611.89,722.76,0.19,0.16,257.79,263.93,22.07,26.0,38.6,32.4,279.24,345.38,24.57,30.38,11.9,15.56,77.21,79.15,12.0,9.83,285.18,313.09,9.62,11.0,1,4,0,62,14,159,0.302,56,4,5,70,3,2,12,3,74.0
1,214.39,233.44,92.67,91.89,611.89,599.44,0.19,0.13,257.79,242.06,22.07,35.46,38.6,51.54,279.24,265.12,24.57,33.33,11.9,11.25,77.21,119.17,12.0,17.78,285.18,341.75,9.62,11.57,0,4,0,39,24,135,0.111,39,5,5,53,7,0,18,0,53.0
0,214.39,234.28,92.67,92.56,611.89,611.11,0.19,0.09,257.79,281.57,22.07,31.85,38.6,54.23,279.24,269.19,24.57,44.0,11.9,17.38,77.21,151.4,12.0,16.89,285.18,307.97,9.62,11.83,0,3,0,33,18,94,0.160,30,0,5,29,1,0,4,3,35.0
2,214.39,242.62,92.67,78.12,611.89,594.62,0.19,0.2,257.79,261.0,22.07,43.33,38.6,61.46,279.24,268.71,24.57,33.0,11.9,11.25,77.21,104.0,12.0,12.36,285.18,352.43,9.62,6.11,0,3,0,16,14,78,0.026,16,1,6,34,5,1,2,1,19.0
1,214.39,259.88,92.67,106.5,611.89,712.12,0.19,0.23,257.79,259.0,22.07,40.42,38.6,52.57,279.24,345.71,24.57,41.2,11.9,14.75,77.21,108.6,12.0,19.8,285.18,353.6,9.62,11.4,0,3,0,24,23,92,0.011,24,1,3,41,2,2,14,3,34.0
1,214.39,270.71,92.67,106.65,611.89,740.82,0.19,0.17,257.79,302.5,22.07,29.36,38.6,45.77,279.24,349.07,24.57,35.83,11.9,15.27,77.21,108.0,12.0,16.09,285.18,372.3,9.62,11.38,0,4,0,45,23,142,0.155,40,8,9,59,4,1,22,3,65.0
2,214.39,289.12,92.67,114.81,611.89,766.44,0.19,0.18,257.79,330.46,22.07,37.6,38.6,72.8,279.24,345.67,24.57,41.89,11.9,14.5,77.21,116.45,12.0,24.75,285.18,372.47,9.62,11.2,0,3,0,22,22,95,0,20,0,8,40,4,0,4,2,24.0
0,214.39,297.88,92.67,135.12,611.89,897.59,0.19,0.14,257.79,334.93,22.07,38.17,38.6,52.0,279.24,424.75,24.57,34.57,11.9,22.67,77.21,111.15,12.0,19.0,285.18,394.22,9.62,9.78,0,5,0,58,24,183,0.186,56,5,10,82,2,3,16,1,74.0
1,214.39,274.68,92.67,92.21,611.89,666.84,0.19,0.17,257.79,350.43,22.07,42.58,38.6,55.15,279.24,322.38,24.57,30.38,11.9,12.36,77.21,91.45,12.0,19.12,285.18,424.6,9.62,16.0,0,3,0,33,13,98,0.204,30,1,5,34,7,0,12,4,40.0
0,214.39,216.89,92.67,94.63,611.89,600.79,0.19,0.21,257.79,253.93,22.07,30.86,38.6,47.0,279.24,310.12,24.57,36.0,11.9,11.45,77.21,76.38,12.0,14.5,285.18,323.38,9.62,11.38,1,5,0,61,26,157,0.223,57,8,13,77,6,1,30,3,85.0
2,214.39,270.75,92.67,108.25,611.89,756.75,0.19,0.12,257.79,291.5,22.07,34.4,38.6,44.09,279.24,365.87,24.57,36.7,11.9,13.78,77.21,110.64,12.0,12.8,285.18,374.96,9.62,9.83,0,3,0,34,17,102,0.167,34,3,2,31,4,1,8,5,42.0
1,214.39,217.21,92.67,95.04,611.89,651.04,0.19,0.12,257.79,303.56,22.07,36.14,38.6,46.0,279.24,353.63,24.57,43.55,11.9,26.64,77.21,93.69,12.0,12.09,285.18,339.86,9.62,16.43,0,4,0,49,29,152,0.132,46,1,12,79,5,4,0,0,54.0
0,214.39,232.86,92.67,103.9,611.89,674.71,0.19,0.16,257.79,239.11,22.07,41.38,38.6,44.81,279.24,325.16,24.57,37.79,11.9,16.4,77.21,111.57,12.0,15.92,285.18,354.06,9.62,15.7,0,5,0,59,36,201,0.114,53,9,8,85,4,2,20,0,80.0
0,214.39,261.79,92.67,91.37,611.89,706.79,0.19,0.2,257.79,312.6,22.07,28.85,38.6,49.38,279.24,344.53,24.57,40.12,11.9,16.67,77.21,153.2,12.0,18.8,285.18,368.53,9.62,12.22,0,4,0,47,30,140,0.121,45,2,6,57,6,0,20,0,59.0
2,214.39,232.17,92.67,95.44,611.89,646.22,0.19,0.14,257.79,263.47,22.07,32.69,38.6,39.33,279.24,291.24,24.57,42.36,11.9,11.17,77.21,81.17,12.0,10.82,285.18,299.35,9.62,12.36,1,3,0,41,4,102,0.363,36,3,6,52,1,1,8,0,49.0
0,214.39,221.53,92.67,99.59,611.89,642.0,0.19,0.18,257.79,237.2,22.07,26.23,38.6,37.14,279.24,294.62,24.57,30.92,11.9,15.67,77.21,65.15,12.0,14.0,285.18,281.56,9.62,10.08,1,4,0,49,18,145,0.214,49,4,0,73,3,3,20,4,66.0
0,214.39,221.12,92.67,88.25,611.89,627.31,0.19,0.19,257.79,238.29,22.07,24.15,38.6,30.93,279.24,293.4,24.57,25.46,11.9,8.8,77.21,63.77,12.0,10.27,285.18,272.8,9.62,15.14,0,3,0,34,19,110,0.136,32,2,0,40,4,1,10,2,42.0
1,214.39,232.86,92.67,103.9,611.89,674.71,0.19,0.16,257.79,239.11,22.07,41.38,38.6,44.81,279.24,325.16,24.57,37.79,11.9,16.4,77.21,111.57,12.0,15.92,285.18,354.06,9.62,15.7,1,3,0,37,13,111,0.216,37,5,4,47,4,2,18,0,53.0
2,214.39,217.21,92.67,95.04,611.89,651.04,0.19,0.12,257.79,303.56,22.07,36.14,38.6,46.0,279.24,353.63,24.57,43.55,11.9,26.64,77.21,93.69,12.0,12.09,285.18,339.86,9.62,16.43,0,3,0,41,16,106,0.236,39,2,8,41,3,4,4,1,49.0
0,214.39,270.75,92.67,108.25,611.89,756.75,0.19,0.12,257.79,291.5,22.07,34.4,38.6,44.09,279.24,365.87,24.57,36.7,11.9,13.78,77.21,110.64,12.0,12.8,285.18,374.96,9.62,9.83,0,4,0,56,22,174,0.195,50,9,4,71,5,0,24,2,77.0
2,214.39,216.89,92.67,94.63,611.89,600.79,0.19,0.21,257.79,253.93,22.07,30.86,38.6,47.0,279.24,310.12,24.57,36.0,11.9,11.45,77.21,76.38,12.0,14.5,285.18,323.38,9.62,11.38,0,5,0,58,21,167,0.222,56,4,4,71,4,3,16,2,73.0
0,214.39,297.88,92.67,135.12,611.89,897.59,0.19,0.14,257.79,334.93,22.07,38.17,38.6,52.0,279.24,424.75,24.57,34.57,11.9,22.67,77.21,111.15,12.0,19.0,285.18,394.22,9.62,9.78,1,4,0,52,21,141,0.220,50,4,6,64,4,2,18,0,67.0
2,214.39,259.35,92.67,96.94,611.89,713.53,0.19,0.24,257.79,314.77,22.07,34.25,38.6,42.93,279.24,330.81,24.57,33.0,11.9,15.82,77.21,68.77,12.0,13.36,285.18,323.16,9.62,10.2,1,3,0,40,16,113,0.212,38,5,1,45,1,0,10,1,50.0
