Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,47,17,123,0.244,44,4,6,49,5,0,18,0,60.0,0,Florida St.,281.24,222.44,96.65,87.22,715.0,610.83,0.17,0.19,377.42,250.67,43.45,31.33,59.33,41.77,316.81,282.12,29.85,27.79,12.29,14.75,146.9,106.69,13.8,15.55,467.65,305.38,8.67,15.33
1,3,0,54,9,100,0.450,48,5,7,33,0,0,6,0,62.0,0,North Carolina,281.24,216.58,96.65,94.21,715.0,591.58,0.17,0.15,377.42,255.47,43.45,26.0,59.33,42.47,316.81,263.59,29.85,27.58,12.29,17.25,146.9,95.5,13.8,15.18,467.65,310.88,8.67,14.5
0,5,0,67,21,163,0.282,63,4,12,54,5,0,34/,2,88.0,1,Marquette,281.24,266.84,96.65,96.95,715.0,677.42,0.17,0.25,377.42,299.44,43.45,34.4,59.33,51.6,316.81,298.72,29.85,40.91,12.29,10.3,146.9,82.71,13.8,15.64,467.65,348.22,8.67,5.75
0,4,0,51,20,144,0.215,50,7,6,56,6,0,28,0,72.0,0,Baylor,281.24,265.25,96.65,101.38,715.0,659.81,0.17,0.24,377.42,331.17,43.45,33.2,59.33,50.38,316.81,304.64,29.85,35.11,12.29,13.38,146.9,116.73,13.8,15.11,467.65,367.79,8.67,8.55
1,3,0,40,11,85,0.341,38,11,7,34,6,0,12,0,57.0,0,South Carolina,281.24,208.38,96.65,77.9,715.0,535.38,0.17,0.18,377.42,311.38,43.45,37.0,59.33,56.5,316.81,248.0,29.85,43.55,12.29,15.17,146.9,97.67,13.8,16.36,467.65,328.71,8.67,11.11
1,3,0,46,11,102,0.343,44,5,5,42,0,2,8,2,57.0,0,Clemson,281.24,214.16,96.65,91.37,715.0,570.26,0.17,0.15,377.42,222.29,43.45,40.5,59.33,44.29,316.81,243.11,29.85,26.6,12.29,13.82,146.9,95.55,13.8,14.88,467.65,343.43,8.67,12.33
0,4,0,63,30,160,0.206,59,7,4,74,5,1,12,0,77.0,1,Washington,281.24,291.61,96.65,108.83,715.0,759.67,0.17,0.19,377.42,343.57,43.45,40.77,59.33,61.07,316.81,347.62,29.85,48.4,12.29,17.4,146.9,121.38,13.8,21.55,467.65,434.97,8.67,13.0
0,3,0,36,12,93,0.258,33,2,6,37,7,1,0,0,39.0,1,Washington,281.24,291.61,96.65,108.83,715.0,759.67,0.17,0.19,377.42,343.57,43.45,40.77,59.33,61.07,316.81,347.62,29.85,48.4,12.29,17.4,146.9,121.38,13.8,21.55,467.65,434.97,8.67,13.0
1,3,0,40,13,103,0.262,37,2,9,41,5,1,14,2,50.0,0,Purdue,281.24,260.61,96.65,105.61,715.0,687.61,0.17,0.18,377.42,311.36,43.45,43.73,59.33,49.38,316.81,294.65,29.85,29.36,12.29,18.6,146.9,119.5,13.8,12.91,467.65,390.6,8.67,7.7
1,4,0,58,24,158,0.215,55,11,7,84,3,1,12,0,76.0,1,Indiana,281.24,218.76,96.65,98.29,715.0,619.19,0.17,0.06,377.42,287.0,43.45,36.92,59.33,47.4,316.81,294.11,29.85,35.31,12.29,22.82,146.9,113.73,13.8,12.45,467.65,321.06,8.67,9.83
1,4,0,57,18,126,0.310,54,7,7,63,2,1,18,0,74.0,1,Penn St.,281.24,210.68,96.65,76.77,715.0,525.82,0.17,0.1,377.42,312.64,43.45,29.93,59.33,45.75,316.81,255.28,29.85,24.71,12.29,17.56,146.9,107.91,13.8,13.33,467.65,305.53,8.67,6.86
1,3,0,47,9,101,0.376,45,3,7,36,0,1,6,0,54.0,0,Nebraska,281.24,289.12,96.65,114.81,715.0,766.44,0.17,0.18,377.42,330.46,43.45,37.6,59.33,72.8,316.81,345.67,29.85,41.89,12.29,14.5,146.9,116.45,13.8,24.75,467.65,372.47,8.67,11.2
1,3,0,46,11,91,0.385,46,5,8,31,4,0,18,2,60.0,1,Northwestern,281.24,183.75,96.65,76.88,715.0,491.21,0.17,0.16,377.42,201.85,43.45,26.69,59.33,47.62,316.81,247.95,29.85,35.15,12.29,29.22,146.9,88.0,13.8,9.83,467.65,295.39,8.67,7.54
1,3,0,47,16,115,0.270,42,8,4,52,1,0,8,1,59.0,1,Minnesota,281.24,267.44,96.65,96.72,715.0,727.61,0.17,0.19,377.42,321.57,43.45,39.09,59.33,42.54,316.81,332.71,29.85,40.0,12.29,15.89,146.9,118.92,13.8,13.54,467.65,362.35,8.67,6.33
1,5,0,53,12,145,0.283,50,8,9,66,3,2,25,2,75.5,1,Illinois,281.24,221.48,96.65,89.24,715.0,586.33,0.17,0.05,377.42,288.0,43.45,38.58,59.33,49.93,316.81,269.33,29.85,31.75,12.29,13.78,146.9,102.17,13.8,13.6,467.65,317.36,8.67,7.0
1,3,0,40,15,109,0.229,38,8,8,44,0,1,14,4,56.0,0,Northwestern,281.24,183.75,96.65,76.88,715.0,491.21,0.17,0.16,377.42,201.85,43.45,26.69,59.33,47.62,316.81,247.95,29.85,35.15,12.29,29.22,146.9,88.0,13.8,9.83,467.65,295.39,8.67,7.54
1,3,0,41,11,99,0.303,38,8,6,46,2,1,8,2,54.0,1,Michigan St.,281.24,208.32,96.65,93.26,715.0,559.47,0.17,0.16,377.42,217.12,43.45,28.21,59.33,44.06,316.81,262.12,29.85,28.71,12.29,18.9,146.9,95.77,13.8,14.0,467.65,286.92,8.67,8.73
1,4,0,51,9,113,0.372,46,7,6,57,1,1,30,5,74.0,0,Michigan,281.24,221.67,96.65,83.57,715.0,560.43,0.17,0.31,377.42,306.93,43.45,42.83,59.33,56.64,316.81,289.06,29.85,56.11,12.29,11.9,146.9,91.38,13.8,13.8,467.65,278.7,8.67,9.17
1,3,0,47,9,103,0.369,44,6,11,48,4,1,8,3,58.0,1,Maryland,281.24,222.25,96.65,93.75,715.0,600.55,0.17,0.14,377.42,258.69,43.45,39.93,59.33,50.53,316.81,262.5,29.85,42.92,12.29,11.82,146.9,122.92,13.8,11.2,467.65,313.08,8.67,13.6
1,3,0,42,9,98,0.337,41,5,7,57,3,2,12,0,55.0,1,Indiana,281.24,218.76,96.65,98.29,715.0,619.19,0.17,0.06,377.42,287.0,43.45,36.92,59.33,47.4,316.81,294.11,29.85,35.31,12.29,22.82,146.9,113.73,13.8,12.45,467.65,321.06,8.67,9.83
0,4,0,60,27,163,0.202,59,3,9,80,10,1,18,0,73.0,1,Ohio St.,281.24,204.0,96.65,90.59,715.0,569.32,0.17,0.24,377.42,207.5,43.45,22.56,59.33,36.8,316.81,262.75,29.85,33.58,12.29,11.82,146.9,84.79,13.8,16.58,467.65,272.4,8.67,9.33
1,3,0,49,10,96,0.406,47,6,9,47,1,1,15,1,63.5,2,Maryland,281.24,222.25,96.65,93.75,715.0,600.55,0.17,0.14,377.42,258.69,43.45,39.93,59.33,50.53,316.81,262.5,29.85,42.92,12.29,11.82,146.9,122.92,13.8,11.2,467.65,313.08,8.67,13.6
1,4,0,82/,21,195,0.313,81/,3,13,76,4,0,20,0,95.0,0,Minnesota,281.24,267.44,96.65,96.72,715.0,727.61,0.17,0.19,377.42,321.57,43.45,39.09,59.33,42.54,316.81,332.71,29.85,40.0,12.29,15.89,146.9,118.92,13.8,13.54,467.65,362.35,8.67,6.33
1,3,0,40,17,108,0.213,38,4,8,37,2,0,20,1,54.0,0,Michigan St.,281.24,208.32,96.65,93.26,715.0,559.47,0.17,0.16,377.42,217.12,43.45,28.21,59.33,44.06,316.81,262.12,29.85,28.71,12.29,18.9,146.9,95.77,13.8,14.0,467.65,286.92,8.67,8.73
1,3,0,50,9,100,0.410,48,6,7,48,1,1,20,2,67.0,0,Iowa,281.24,233.89,96.65,87.47,715.0,622.53,0.17,0.15,377.42,224.33,43.45,32.54,59.33,50.87,316.81,261.28,29.85,32.79,12.29,9.8,146.9,89.92,13.8,8.38,467.65,306.15,8.67,9.5
1,3,0,54,13,123,0.333,53,4,8,48,0,2,12,1,66.0,0,Nebraska,281.24,289.12,96.65,114.81,715.0,766.44,0.17,0.18,377.42,330.46,43.45,37.6,59.33,72.8,316.81,345.67,29.85,41.89,12.29,14.5,146.9,116.45,13.8,24.75,467.65,372.47,8.67,11.2
0,5,0,60,26,154,0.221,58,1,4,62,6,2,26,2,76.0,0,Penn St.,281.24,210.68,96.65,76.77,715.0,525.82,0.17,0.1,377.42,312.64,43.45,29.93,59.33,45.75,316.81,255.28,29.85,24.71,12.29,17.56,146.9,107.91,13.8,13.33,467.65,305.53,8.67,6.86
1,3,0,37,8,79,0.367,35,10,6,45,1,1,12,0,54.0,0,Rutgers,281.24,227.06,96.65,105.5,715.0,630.25,0.17,0.18,377.42,260.77,43.45,39.08,59.33,42.93,316.81,280.5,29.85,40.77,12.29,12.27,146.9,97.58,13.8,13.42,467.65,318.75,8.67,9.89
1,3,0,42,15,109,0.248,40,4,3,46,2,1,20,1,57.0,0,Illinois St.,281.24,269.53,96.65,119.89,715.0,757.47,0.17,0.22,377.42,320.67,43.45,43.08,59.33,61.17,316.81,367.88,29.85,32.13,12.29,12.8,146.9,129.5,13.8,14.83,467.65,384.85,8.67,10.0
1,3,0,46,9,101,0.366,42,4,4,38,2,0,22,1,61.0,0,UCLA,281.24,261.81,96.65,95.56,715.0,677.56,0.17,0.33,377.42,280.07,43.45,29.75,59.33,54.31,316.81,298.8,29.85,28.5,12.29,18.56,146.9,96.0,13.8,16.4,467.65,337.6,8.67,6.75
1,3,0,50,9,104,0.394,50,3,7,43,2,1,16,1,62.0,0,Texas A&M,281.24,247.79,96.65,103.47,715.0,629.0,0.17,0.17,377.42,307.71,43.45,37.42,59.33,54.86,316.81,274.12,29.85,28.69,12.29,14.7,146.9,103.92,13.8,14.5,467.65,325.0,8.67,9.0
1,3,0,38,14,124,0.194,34,5,7,60,1,2,18,0,54.0,1,Nebraska,281.24,289.12,96.65,114.81,715.0,766.44,0.17,0.18,377.42,330.46,43.45,37.6,59.33,72.8,316.81,345.67,29.85,41.89,12.29,14.5,146.9,116.45,13.8,24.75,467.65,372.47,8.67,11.2
