BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,156.43,222.63,58.38,99.05,416.19,646.84,0.12,0.19,229.38,244.88,32.2,32.5,39.08,48.93,223.88,335.12,32.89,30.5,13.2,12.5,58.45,106.5,12.1,8.45,270.67,318.18,6.4,7.17,0,5,0,60,31,174,0.167,58,4,9,76,9,2,10,0,71.0
1,156.43,258.72,58.38,109.67,416.19,709.0,0.12,0.18,229.38,254.35,32.2,27.07,39.08,47.07,223.88,312.24,32.89,25.06,13.2,16.0,58.45,87.64,12.1,10.92,270.67,332.94,6.4,7.64,0,4,0,48,17,146,0.212,42,4,7,51,4,1,0,0,53.0
0,156.43,218.76,58.38,98.29,416.19,619.19,0.12,0.06,229.38,287.0,32.2,36.92,39.08,47.4,223.88,294.11,32.89,35.31,13.2,22.82,58.45,113.73,12.1,12.45,270.67,321.06,6.4,9.83,0,4,0,46,22,127,0.189,44,1,10,55,5,1,2,1,49.0
0,156.43,214.05,58.38,74.05,416.19,572.95,0.12,0.17,229.38,277.29,32.2,39.83,39.08,60.93,223.88,287.06,32.89,37.92,13.2,14.91,58.45,86.45,12.1,16.0,270.67,284.13,6.4,10.12,0,4,0,57,18,147,0.265,51,9,13,57,6,0,6,3,69.0
0,156.43,285.72,58.38,107.17,416.19,755.0,0.12,0.2,229.38,294.94,32.2,41.31,39.08,68.69,223.88,341.88,32.89,39.43,13.2,14.55,58.45,141.27,12.1,19.2,270.67,441.13,6.4,12.71,0,5,0,60,25,151,0.232,53,13,11,64,6,4,6,1,80.0
0,156.43,199.18,58.38,90.82,416.19,532.73,0.12,0.15,229.38,263.94,32.2,36.93,39.08,56.59,223.88,245.53,32.89,31.4,13.2,16.1,58.45,78.54,12.1,13.93,270.67,306.14,6.4,13.62,1,3,0,36,14,109,0.202,29,6,9,48,3,3,14,1,52.0
0,156.43,191.32,58.38,75.84,416.19,536.42,0.12,0.15,229.38,221.87,32.2,23.4,39.08,36.12,223.88,244.82,32.89,27.0,13.2,9.42,58.45,54.86,12.1,10.17,270.67,239.0,6.4,6.38,1,3,0,47,8,108,0.361,41,5,4,56,1,1,4,3,55.0
1,156.43,221.6,58.38,94.85,416.19,647.75,0.12,0.13,229.38,272.33,32.2,39.67,39.08,53.92,223.88,345.06,32.89,34.83,13.2,21.11,58.45,97.75,12.1,17.36,270.67,359.63,6.4,9.2,1,3,0,39,10,95,0.305,33,3,10,41,3,2,10,3,49.0
0,156.43,255.67,58.38,110.33,416.19,711.17,0.12,0.0,229.38,297.93,32.2,37.17,39.08,44.69,223.88,319.53,32.89,34.08,13.2,16.89,58.45,96.38,12.1,16.17,270.67,364.12,6.4,9.78,1,3,0,44,8,93,0.387,39,7,6,34,4,3,14,0,61.0
0,156.43,150.55,58.38,55.82,416.19,414.45,0.12,0.12,229.38,171.5,32.2,28.83,39.08,35.46,223.88,200.84,32.89,30.73,13.2,8.11,58.45,64.33,12.1,8.77,270.67,247.82,6.4,14.9,1,3,0,38,9,101,0.287,34,7,5,49,1,2,14,4,54.0
0,156.43,179.78,58.38,75.5,416.19,485.11,0.12,0.19,229.38,199.0,32.2,30.07,39.08,39.93,223.88,193.41,32.89,35.67,13.2,8.8,58.45,65.86,12.1,9.8,270.67,247.41,6.4,11.2,1,3,0,44,20,125,0.192,42,4,8,47,2,4,8,0,56.0
0,156.43,173.0,58.38,70.68,416.19,509.05,0.12,0.16,229.38,186.94,32.2,22.53,39.08,34.93,223.88,236.78,32.89,22.4,13.2,11.55,58.45,60.29,12.1,6.33,270.67,245.47,6.4,12.08,1,4,0,59,21,141,0.270,56,8,9,64,5,1,6,0,71.0
0,156.43,141.62,58.38,59.14,416.19,381.1,0.12,0.17,229.38,209.62,32.2,27.08,39.08,37.81,223.88,202.0,32.89,25.69,13.2,9.2,58.45,42.33,12.1,8.58,270.67,198.5,6.4,9.44,1,3,0,45,12,96,0.344,42,4,6,39,1,0,14,2,56.0
0,156.43,210.94,58.38,73.22,416.19,529.56,0.12,0.17,229.38,234.2,32.2,29.09,39.08,42.82,223.88,256.93,32.89,25.17,13.2,12.9,58.45,57.92,12.1,9.0,270.67,308.17,6.4,8.0,0,3,0,34,16,103,0.175,32,0,7,32,5,3,2,0,38.0
0,156.43,178.71,58.38,67.71,416.19,449.05,0.12,0.11,229.38,205.0,32.2,23.14,39.08,32.18,223.88,202.17,32.89,31.09,13.2,10.73,58.45,68.92,12.1,10.62,270.67,257.92,6.4,10.33,1,3,0,44,10,90,0.378,37,4,8,35,2,0,14,0,55.0
1,156.43,158.24,58.38,59.9,416.19,428.48,0.12,0.29,229.38,220.5,32.2,29.67,39.08,39.21,223.88,210.44,32.89,28.5,13.2,12.22,58.45,50.12,12.1,6.92,270.67,232.78,6.4,10.78,1,4,0,50,17,125,0.264,45,1,8,61,3,4,6,6/,58.0
0,156.43,150.55,58.38,55.82,416.19,414.45,0.12,0.12,229.38,171.5,32.2,28.83,39.08,35.46,223.88,200.84,32.89,30.73,13.2,8.11,58.45,64.33,12.1,8.77,270.67,247.82,6.4,14.9,1,3,0,40,15,118,0.212,38,4,3,62,2,4,6,1,51.0
0,156.43,173.0,58.38,70.68,416.19,509.05,0.12,0.16,229.38,186.94,32.2,22.53,39.08,34.93,223.88,236.78,32.89,22.4,13.2,11.55,58.45,60.29,12.1,6.33,270.67,245.47,6.4,12.08,1,3,0,41,9,100,0.320,31,5,7,47,2,1,10,1,52.0
0,156.43,179.78,58.38,75.5,416.19,485.11,0.12,0.19,229.38,199.0,32.2,30.07,39.08,39.93,223.88,193.41,32.89,35.67,13.2,8.8,58.45,65.86,12.1,9.8,270.67,247.41,6.4,11.2,0,4,0,59,29,171,0.175,53,7,4,57,5,0,10,0,71.0
0,156.43,158.24,58.38,59.9,416.19,428.48,0.12,0.29,229.38,220.5,32.2,29.67,39.08,39.21,223.88,210.44,32.89,28.5,13.2,12.22,58.45,50.12,12.1,6.92,270.67,232.78,6.4,10.78,1,4,0,58,23,169,0.207,54,3,6,65,4,1,10,2,67.0
2,156.43,178.71,58.38,67.71,416.19,449.05,0.12,0.11,229.38,205.0,32.2,23.14,39.08,32.18,223.88,202.17,32.89,31.09,13.2,10.73,58.45,68.92,12.1,10.62,270.67,257.92,6.4,10.33,1,3,0,35,15,99,0.202,32,6,5,31,3,3,6,1,47.0
0,156.43,210.94,58.38,73.22,416.19,529.56,0.12,0.17,229.38,234.2,32.2,29.09,39.08,42.82,223.88,256.93,32.89,25.17,13.2,12.9,58.45,57.92,12.1,9.0,270.67,308.17,6.4,8.0,1,5,0,59,19,161,0.248,54,5,5,60,8,6/,16,0,78.0
1,156.43,210.94,58.38,73.22,416.19,529.56,0.12,0.17,229.38,234.2,32.2,29.09,39.08,42.82,223.88,256.93,32.89,25.17,13.2,12.9,58.45,57.92,12.1,9.0,270.67,308.17,6.4,8.0,0,4,0,55,22,151,0.219,50,6,2,64,6,3,2,4,65.0
