Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
245.71,245.25,118.65,114.15,673.59,678.1,0.58,0.43,261.4,287.0,33.71,28.43,41.81,32.79,296.27,337.88,38.67,33.71,16.33,27.2,87.54,127.92,16.09,38.0,335.31,333.82,13.67,12.56,1,5,64,31,175,0.189,63,7,6,75,1,2,19,2,82.5,1,Jacksonville St.
245.71,183.89,118.65,84.61,673.59,525.67,0.58,0.48,261.4,194.81,33.71,26.92,41.81,31.21,296.27,233.06,38.67,24.5,16.33,7.22,87.54,83.64,16.09,13.85,335.31,277.2,13.67,11.2,1,5,66,30,174,0.207,62,6,12,90/,4,0,8,2,76.0,5/,Montana St.
245.71,258.88,118.65,109.82,673.59,745.0,0.58,0.6,261.4,313.85,33.71,37.0,41.81,53.2,296.27,351.25,38.67,36.38,16.33,17.33,87.54,66.33,16.09,18.5,335.31,365.87,13.67,19.5,1,5,56,19,143,0.259,53,5,9,59,6,5,8,5,70.0,1,Louisiana
245.71,232.94,118.65,93.39,673.59,715.78,0.58,0.56,261.4,228.76,33.71,33.6,41.81,47.25,296.27,350.12,38.67,38.36,16.33,12.73,87.54,65.62,16.09,16.3,335.31,309.62,13.67,18.78,1,4,52,30,161,0.137,46,6,11,77,4,0,20,1,68.0,1,Nicholls St.
245.71,176.95,118.65,100.68,673.59,504.21,0.58,-0.01,261.4,256.57,33.71,56.6,41.81,49.33,296.27,231.59,38.67,44.93,16.33,22.91,87.54,60.25,16.09,9.91,335.31,283.84,13.67,18.2,1,4,57,17,118,0.339,53,9,11,41,7,1,16,6,75.0,3,Alabama A&M
245.71,212.61,118.65,101.06,673.59,625.33,0.58,0.55,261.4,226.25,33.71,27.57,41.81,38.13,296.27,300.12,38.67,35.38,16.33,15.89,87.54,79.67,16.09,18.0,335.31,284.35,13.67,9.12,1,4,63,19,148,0.297,59,6,10,58,2,2,12,3,77.0,1,Cal St. Fullerton
245.71,214.56,118.65,90.78,673.59,598.11,0.58,0.49,261.4,261.71,33.71,31.42,41.81,38.46,296.27,284.88,38.67,32.55,16.33,15.36,87.54,102.08,16.09,14.62,335.31,338.1,13.67,28.6,0,3,28,24,101,0.040,26,2,6,32,7,1,4,5,33.0,0,Weber St.
245.71,207.35,118.65,77.35,673.59,575.2,0.58,0.51,261.4,276.0,33.71,37.33,41.81,37.21,296.27,283.17,38.67,30.62,16.33,18.3,87.54,65.4,16.09,12.36,335.31,292.69,13.67,11.56,1,5,72,37,195/,0.179,66,9,10,69,4,3,11,2,89.5,2,Colgate
245.71,237.32,118.65,110.95,673.59,723.68,0.58,0.41,261.4,283.0,33.71,36.69,41.81,50.92,296.27,339.33,38.67,35.14,16.33,13.78,87.54,77.0,16.09,15.33,335.31,332.29,13.67,16.5,1,4,54,17,125,0.296,53,9,11,63,4,2,14,2,72.0,0,The Citadel
245.71,224.47,118.65,88.79,673.59,626.74,0.58,0.47,261.4,220.5,33.71,26.29,41.81,39.06,296.27,286.33,38.67,24.5,16.33,18.78,87.54,66.0,16.09,13.92,335.31,305.76,13.67,8.11,0,3,35,21,96,0.146,32,1,8,33,3,2,8,2,42.0,3,Northern Colo.
245.71,227.58,118.65,102.0,673.59,622.47,0.58,0.58,261.4,271.6,33.71,38.0,41.81,44.8,296.27,263.17,38.67,36.38,16.33,12.67,87.54,80.58,16.09,14.82,335.31,298.75,13.67,8.0,0,3,40,16,105,0.229,38,2,12,31,4,4,12,1,52.0,1,Georgetown
245.71,269.14,118.65,127.14,673.59,809.14,0.58,0.74,261.4,255.21,33.71,38.11,41.81,41.55,296.27,366.08,38.67,40.89,16.33,11.67,87.54,127.1,16.09,17.7,335.31,404.29,13.67,10.0,1,4,66,35,183,0.169,64,6,7,88,5,0,10,0,77.0,3,Southern Utah
245.71,242.16,118.65,105.42,673.59,651.63,0.58,0.56,261.4,306.14,33.71,29.8,41.81,44.62,296.27,306.31,38.67,29.14,16.33,14.3,87.54,96.92,16.09,16.27,335.31,342.41,13.67,16.0,0,3,33,25,116,0.069,28,1,8,40,5,0,6,3,37.0,1,New Mexico
245.71,264.39,118.65,105.11,673.59,716.5,0.58,0.68,261.4,293.2,33.71,39.67,41.81,45.36,296.27,375.93,38.67,24.21,16.33,15.56,87.54,155.56,16.09,15.78,335.31,425.43,13.67,10.88,0,3,23,15,75,0.107,23,3,6,27,7,0,6,3,29.0,1,UNLV
245.71,253.88,118.65,104.18,673.59,641.53,0.58,0.43,261.4,307.23,33.71,35.27,41.81,57.36,296.27,313.08,38.67,32.27,16.33,15.8,87.54,100.92,16.09,18.67,335.31,364.5,13.67,10.17,0,4,51,27,142,0.169,48,0,9,51,4,2,4,1,55.0,4,Nevada
245.71,271.47,118.65,126.82,673.59,701.47,0.58,0.6,261.4,287.87,33.71,31.54,41.81,48.5,296.27,298.73,38.67,39.09,16.33,13.78,87.54,105.77,16.09,17.58,335.31,389.1,13.67,10.45,0,3,31,17,97,0.144,28,6,3,34,5,1,12,3,44.0,2,San Diego St.
245.71,335.71,118.65,129.0,673.59,886.43,0.58,0.69,261.4,397.91,33.71,38.64,41.81,52.0,296.27,399.38,38.67,33.08,16.33,20.43,87.54,119.45,16.09,18.36,335.31,455.77,13.67,15.4,0,3,41,22,123,0.154,40,4,5,43,1,1,4,0,48.0,0,Boise St.
245.71,277.31,118.65,108.12,673.59,718.75,0.58,0.63,261.4,280.73,33.71,34.64,41.81,49.91,296.27,308.67,38.67,39.9,16.33,11.75,87.54,114.18,16.09,18.67,335.31,369.33,13.67,11.33,0,4,56,30,149,0.174,53,5,11,51,2,0,14,1,68.0,0,Utah St.
245.71,249.88,118.65,115.38,673.59,645.69,0.58,0.62,261.4,263.86,33.71,41.42,41.81,52.33,296.27,258.6,38.67,32.43,16.33,16.2,87.54,90.33,16.09,9.0,335.31,346.6,13.67,8.56,0,5,57,32,165,0.152,50,9,8,61,9,5,14,0,78.0,3,Fresno St.
245.71,242.88,118.65,120.65,673.59,675.24,0.58,0.48,261.4,258.13,33.71,29.08,41.81,37.93,296.27,295.33,38.67,30.77,16.33,15.89,87.54,138.9,16.09,14.7,335.31,356.3,13.67,13.56,0,3,29,18,96,0.115,29,3,8,39,7,0,14,1,39.0,3,San Jose St.
245.71,264.39,118.65,105.11,673.59,716.5,0.58,0.68,261.4,293.2,33.71,39.67,41.81,45.36,296.27,375.93,38.67,24.21,16.33,15.56,87.54,155.56,16.09,15.78,335.31,425.43,13.67,10.88,0,3,29,17,108,0.111,26,5,6,51,4,1,8,1,39.0,2,UNLV
245.71,242.16,118.65,105.42,673.59,651.63,0.58,0.56,261.4,306.14,33.71,29.8,41.81,44.62,296.27,306.31,38.67,29.14,16.33,14.3,87.54,96.92,16.09,16.27,335.31,342.41,13.67,16.0,0,3,33,15,103,0.175,31,6,1,44,4,2,12,1,47.0,4,New Mexico
245.71,271.47,118.65,126.82,673.59,701.47,0.58,0.6,261.4,287.87,33.71,31.54,41.81,48.5,296.27,298.73,38.67,39.09,16.33,13.78,87.54,105.77,16.09,17.58,335.31,389.1,13.67,10.45,0,4,33,26,115,0.061,33,5,9,35,9,0,12,3,44.0,4,San Diego St.
245.71,253.88,118.65,104.18,673.59,641.53,0.58,0.43,261.4,307.23,33.71,35.27,41.81,57.36,296.27,313.08,38.67,32.27,16.33,15.8,87.54,100.92,16.09,18.67,335.31,364.5,13.67,10.17,0,3,37,25,102,0.118,34,1,7,38,6,2,10,1,45.0,0,Nevada
245.71,277.31,118.65,108.12,673.59,718.75,0.58,0.63,261.4,280.73,33.71,34.64,41.81,49.91,296.27,308.67,38.67,39.9,16.33,11.75,87.54,114.18,16.09,18.67,335.31,369.33,13.67,11.33,0,3,32,19,110,0.118,29,6,0,37,6,0,12,2,44.0,3,Utah St.
245.71,242.88,118.65,120.65,673.59,675.24,0.58,0.48,261.4,258.13,33.71,29.08,41.81,37.93,296.27,295.33,38.67,30.77,16.33,15.89,87.54,138.9,16.09,14.7,335.31,356.3,13.67,13.56,0,5,59,31,157,0.178,54,7,9,42,6,2,14,2,75.0,2,San Jose St.
245.71,249.88,118.65,115.38,673.59,645.69,0.58,0.62,261.4,263.86,33.71,41.42,41.81,52.33,296.27,258.6,38.67,32.43,16.33,16.2,87.54,90.33,16.09,9.0,335.31,346.6,13.67,8.56,1,3,37,13,91,0.264,35,11,8,40,5,6,8,3,58.0,3,Fresno St.
245.71,218.44,118.65,103.94,673.59,599.78,0.58,0.27,261.4,240.47,33.71,31.17,41.81,44.62,296.27,266.31,38.67,24.47,16.33,19.56,87.54,104.17,16.09,11.0,335.31,300.41,13.67,6.25,0,3,38,26,112,0.107,37,3,8,35,1,0,6,0,44.0,3,Wyoming
245.71,269.06,118.65,103.5,673.59,677.5,0.58,0.55,261.4,366.55,33.71,29.23,41.81,49.64,296.27,273.67,38.67,35.2,16.33,22.11,87.54,150.5,16.09,16.44,335.31,402.61,13.67,6.73,0,3,27,28,77,-0.013,26,4,8,7,6,3,6,1,37.0,2,Colorado St.
245.71,335.71,118.65,129.0,673.59,886.43,0.58,0.69,261.4,397.91,33.71,38.64,41.81,52.0,296.27,399.38,38.67,33.08,16.33,20.43,87.54,119.45,16.09,18.36,335.31,455.77,13.67,15.4,0,3,31,18,86,0.151,29,3,10,31,5,0,10,0,39.0,3,Boise St.
