Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
176.95,168.65,100.68,97.29,504.21,489.12,-0.01,0.31,256.57,202.38,56.6,31.67,49.33,41.46,231.59,209.31,44.93,34.92,22.91,16.11,60.25,59.73,9.91,9.36,283.84,265.75,18.2,15.22,1,5,39,31,105,0.076,36,13,11,31,13,4,8,0,60.0,1,N.C. A&T
176.95,242.71,100.68,103.36,504.21,644.36,-0.01,0.56,256.57,261.17,56.6,48.33,49.33,59.38,231.59,304.5,44.93,39.85,22.91,15.73,60.25,64.75,9.91,13.0,283.84,349.19,18.2,20.67,0,3,21,18,65,0.046,21,3,6,20,9,0,8,0,28.0,5,UMES
176.95,198.38,100.68,80.96,504.21,544.17,-0.01,0.49,256.57,223.35,56.6,35.86,49.33,46.38,231.59,285.95,44.93,34.58,22.91,12.3,60.25,80.57,9.91,15.33,283.84,283.33,18.2,14.92,0,3,10,16,48,-0.125,9,6,5,9,18/,0,2,0,17.0,0,Towson
176.95,301.27,100.68,132.0,504.21,830.0,-0.01,0.67,256.57,322.0,56.6,39.64,49.33,50.0,231.59,366.36,44.93,44.3,22.91,16.3,60.25,90.33,9.91,20.0,283.84,404.29,18.2,13.5,0,3,21,24,76,-0.039,17,1,3,18,7,0,2,0,23.0,2,Tennessee St.
176.95,232.94,100.68,93.39,504.21,715.78,-0.01,0.56,256.57,228.76,56.6,33.6,49.33,47.25,231.59,350.12,44.93,38.36,22.91,12.73,60.25,65.62,9.91,16.3,283.84,309.62,18.2,18.78,0,3,28,14,82,0.171,26,2,9,36,8,0,12,2,36.0,4,Nicholls St.
176.95,245.71,100.68,118.65,504.21,673.59,-0.01,0.58,256.57,261.4,56.6,33.71,49.33,41.81,231.59,296.27,44.93,38.67,22.91,16.33,60.25,87.54,9.91,16.09,283.84,335.31,18.2,13.67,0,4,32,20,96,0.125,30,7,4,37,9,0,17,5,47.5,3,Air Force
176.95,258.88,100.68,109.82,504.21,745.0,-0.01,0.6,256.57,313.85,56.6,37.0,49.33,53.2,231.59,351.25,44.93,36.38,22.91,17.33,60.25,66.33,9.91,18.5,283.84,365.87,18.2,19.5,0,3,27,17,86,0.116,24,0,7,28,6,1,8,1,32.0,3,Louisiana
176.95,271.13,100.68,126.8,504.21,760.07,-0.01,0.67,256.57,291.92,56.6,32.54,49.33,46.5,231.59,329.79,44.93,40.5,22.91,16.0,60.25,77.0,9.91,26.7,283.84,364.0,18.2,10.0,0,3,24,22,81,0.025,22,4,2,31,4,2,10,4,35.0,2,UT Martin
176.95,266.29,100.68,94.59,504.21,773.12,-0.01,0.62,256.57,307.29,56.6,52.0,49.33,69.09,231.59,411.07,44.93,51.67,22.91,12.6,60.25,122.7,9.91,16.27,283.84,364.91,18.2,8.67,0,3,27,16,72,0.153,26,1,3,27,10,0,2,4,29.0,1,Northern Ariz.
176.95,193.83,100.68,93.56,504.21,574.67,-0.01,0.48,256.57,219.4,56.6,31.08,49.33,36.19,231.59,233.0,44.93,32.07,22.91,10.09,60.25,69.71,9.91,9.07,283.84,280.75,18.2,20.5,0,3,26,16,76,0.132,26,3,5,29,8,2,18,2,40.0,5,Stetson
