Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,4,64,21,156,0.276,58,2,13,75,5,2,6,2,71.0,6,South Dakota
0,5,83/,28,214/,0.257,74,2,12,88,1,0,14,7,92.0/,1,Tulsa
1,3,42,18,108,0.222,37,5,9,46,1,1,8,1,52.0,2,Samford
1,5,56,27,151,0.192,48,5,7,57,5,5,8,1,70.0,7/,Virginia Tech
0,5,69,25,162,0.272,64,7,12,48,1,2,14,6,85.0,0,Florida St.
1,4,64,26,149,0.255,58,2,3,64,4,2,14,2,75.0,0,Temple
1,4,47,17,112,0.268,41,9,13,57,9,2,12,2,64.0,2,Northwestern St.
1,5,65,22,164,0.262,61,1,9,57,4,5,10,2,76.0,2,Southern Miss.
1,3,40,7,88,0.375,36,6,9,38,3,1,10,0,52.0,1,Lehigh
1,4,51,18,130,0.254,45,6,4,65,7,5,12,4,68.0,3,ETSU
1,5,66,32,169,0.201,64,6,8,81,8,5,12,4,83.0,4,Presbyterian
1,3,44,14,102,0.294,40,4,8,42,3,4,8,1,56.0,0,Ga. Southern
1,5,68,29,166,0.235,65,6,2,62,6,2,12,1,82.0,0,Texas A&M
0,3,36,17,97,0.196,33,0,4,32,5,0,6,3,39.0,0,Florida
1,4,68,22,150,0.307,62,3,9,55,7,1,18,2,81.0,1,Georgia
0,5,50,30,138,0.145,48,2,7,51,3,1,18,2,62.0,0,Mississippi St.
0,4,52,33,153,0.124,45,6,5,79,5,1,8,2,63.0,0,Auburn
1,4,62,16,146,0.315,60,5,5,70,8,8,2,1,76.0,1,Mississippi St.
0,5,66,26,168,0.238,60,3,10,67,3,5,6,4,77.0,2,Missouri
1,3,45,13,92,0.348,43,8,9,37,4,0,6,2,56.0,0,Arkansas
0,4,49,25,145,0.166,47,3,8,55,2,3,6,0,58.0,0,Ole Miss
0,3,40,28,120,0.100,38,1,8,47,3,1,4,1,44.0,1,Tennessee
0,3,30,22,112,0.071,28,3,3,45,7,1,4,1,36.0,0,Kentucky
0,4,53,22,157,0.197,52,4,6,62,2,2,6,3,62.0,2,Texas A&M
1,4,47,19,155,0.181,41,7,11,66,2,4,20,0,68.0,1,Arkansas
1,5,57,19,156,0.244,51,4,12,71,8,4,22,5,76.0,1,Auburn
0,3,21,21,90,0,21,5,7,31,3,2,8,1,32.0,2,Florida
1,3,45,12,112,0.295,38,7,9,43,3,1,10,0,58.0,1,South Carolina
1,5,66,17,156,0.314,61,7,11,67,10,3,8,0,80.0,0,Ole Miss
1,4,55,22,152,0.217,53,5,12,65,5,2,29,2,76.5,1,LSU
