Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,5,64,31,199,0.166,59,7,10,74,3,1,12,0,78.0,1,Virginia Tech
1,3,41,15,95,0.274,39,9,6,39,2,4,6,0,57.0,0,Siena
1,3,38,4,86,0.395,36,3,7,39,2,1,6,1,45.0,0,Norfolk St.
0,3,35,22,138,0.094,34,2,5,71,5,0,8,1,41.0,1,UNCW
0,3,36,16,105,0.190,35,4,6,37,7,3,4,1,45.0,2,Ohio
0,5,63,32,186,0.167,63,0,8,95,4,2,18,1,74.0,2,Wofford
0,5,58,22,169,0.213,56,6,9,72,4,2,8,3,70.0,1,Western Caro.
0,4,48,24,155,0.155,45,1,13,55,4,3,10,1,57.0,0,Northern Ky.
0,5,70,18,173,0.301,66,3,17/,74,6,0,12,0,79.0,3,Morehead St.
0,5,68,26,214/,0.196,67,3,5,82,6,2,6,0,76.0,0,Ball St.
0,5,52,27,181,0.138,51,5,8,79,5,2,14,3,66.0,1,Chattanooga
0,3,28,22,100,0.060,25,0,4,37,6,0,10,0,33.0,0,Ole Miss
0,4,52,27,152,0.164,49,4,6,68,3,0,8,5,60.0,1,Tennessee St.
0,3,24,11,87,0.149,23,0,8,23,8,2,2,0,27.0,0,Arkansas St.
0,3,38,19,98,0.194,37,2,8,38,4,0,0,0,40.0,3,Little Rock
0,3,21,23,92,-0.022,20,2,7,31,4,0,2,3,24.0,2,UT Arlington
0,5,46,30,147,0.109,44,6,11,66,6,5,12,0,63.0,0,Texas St.
0,5,58,25,150,0.220,57,4,9,67,10,3,8,4,69.0,3,Georgia St.
0,3,28,17,79,0.139,26,0,4,12,4,0,6,0,31.0,0,Coastal Carolina
0,4,40,14,128,0.203,37,2,6,50,10,3,4,0,47.0,0,Coastal Carolina
0,4,45,22,134,0.172,38,4,2,59,8,1,8,0,54.0,3,Louisiana
0,5,65,29,170,0.212,62,3,9,79,3,5,8,0,77.0,3,Troy
0,4,56,30,162,0.160,51,2,7,74,3,1,4,0,61.0,3,South Alabama
0,5,59,24,164,0.213,54,6,10,84,7,5,12,0,76.0,0,Georgia St.
1,3,45,19,119,0.218,39,2,3,51,1,1,0,0,48.0,1,Ga. Southern
0,5,53,34,180,0.106,48,1,4,76,3,3,16,1,65.0,1,Ga. Southern
0,5,58,28,194,0.155,49,5,5,74,6,1,6,0,67.0,0,South Alabama
0,5,55,35,163,0.123,49,4,8,71,6,4,8,0,67.0,0,Troy
