Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,21,23,90,-0.022,21,1,5,35,5,2,2,1,25.0,3,ETSU
1,5,63,22,160,0.256,60,6,13,67,11,1,8,2,74.0,1,USC Upstate
1,3,42,21,112,0.188,41,6,7,44,2,0,6,3,51.0,3,Troy
0,3,32,16,108,0.148,30,0,2,37,2,4,2,2,37.0,0,Western Ky.
0,4,45,28,142,0.120,39,2,7,53,8,2,10,0,54.0,3,New Mexico St.
1,3,47,11,96,0.375,38,2,14,41,2,1,8,0,54.0,0,Southern U.
0,4,56,26,154,0.195,46,1,9,59,3,0,18,3,66.0,1,Valparaiso
1,3,48,14,106,0.321,48,5,6,54,1,2,2,1,56.0,0,Evansville
0,3,30,19,102,0.108,25,1,4,29,5,0,6,3,34.0,0,Dayton
1,5,51,28,159,0.145,47,4,5,76,6,8,18,6,72.0,0,Kent St.
0,5,64,23,156,0.263,60,10,3,72,8,3,4,4,79.0,4,Saint Louis
1,3,49,19,117,0.256,44,4,5,60,4,0,12,1,59.0,1,Charleston So.
1,3,39,19,103,0.194,35,5,7,46,2,2,14,0,53.0,1,The Citadel
1,4,65,24,150,0.273,62,6,10,65,0,3,16,1,82.0,0,Elon
1,3,45,19,92,0.283,43,4,5,50,5,3,8,0,56.0,1,Savannah St.
1,3,50,14,110,0.327,47,7,6,48,2,1,0,2,58.0,1,Southeast Mo. St.
1,3,46,16,110,0.273,42,12,5,45,4,2,8,3,64.0,1,UT Martin
0,3,22,18,107,0.037,20,4,5,40,4,2,6,0,31.0,0,Murray St.
1,4,48,20,121,0.231,44,5,6,46,6,1,14,0,61.0,1,Eastern Ky.
1,3,46,20,132,0.197,41,11,9,61,2,0,4,2,59.0,1,Eastern Ill.
1,5,48,32,183,0.087,44,9,12,89,4,4,8,1,65.0,2,SIUE
1,3,56,13,114,0.377,49,5,5,38,0,1,8,3,66.0,0,Jacksonville St.
1,3,47,11,114,0.316,41,2,3,48,3,3,12,3,58.0,1,Tennessee Tech
1,5,63,22,156,0.263,59,8,8,64,4,4,6,2,78.0,3,Middle Tenn.
0,5,50,23,165,0.164,49,5,2,81,9,4,12,0,65.0,5,Belmont
1,3,45,8,99,0.374,43,7,2,48,3,4,4,1,58.0,2,Tennessee St.
1,3,50,10,95,0.421,49,11,4,44,4,0,2,2,62.0,0,Alabama A&M
1,3,44,18,99,0.263,39,5,5,44,1,3,12,6,58.0,2,UT Martin
1,5,76,34,205,0.205,73,3,7,109,2,5,12,2,90.0,2,Southeast Mo. St.
0,4,51,15,165,0.218,50,3,8,83,6,1,12,2,61.0,0,Murray St.
1,4,53,21,138,0.232,48,9,6,69,6,4,8,5,70.0,0,Morehead St.
0,3,39,25,141,0.099,36,5,3,65,2,2,6,1,49.0,0,SIUE
1,3,52,16,130,0.277,49,7,4,78,3,2,4,1,63.0,0,Eastern Ill.
1,4,58,18,156,0.256,57,6,8,78,4,3,16,1,75.0,0,Tennessee St.
0,4,57,21,147,0.245,57,4,5,54,8,3,6,3,67.0,4,SIUE
