Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,42,8,94,0.362,37,7,8,40,3,2,16,2,59.0,0,Western Ill.
0,5,55,27,171,0.164,53,2,10,78,3,1,28,3,72.0,0,Milwaukee
1,3,43,15,100,0.280,38,6,6,40,3,0,4,0,51.0,0,Akron
0,3,34,18,93,0.172,33,2,10,31,7,2,9,8,42.5,2,Northern Ill.
0,3,28,21,91,0.077,27,2,9,36,6,0,10,3,35.0,0,North Dakota St.
0,4,41,30,183,0.060,38,3,4,90,6,1,18,4,54.0,0,UTEP
1,3,47,12,100,0.350,43,3,5,42,2,0,2,0,51.0,1,South Dakota St.
1,3,43,9,94,0.362,38,3,3,46,2,0,11,1,51.5,0,Cornell
1,4,43,18,132,0.189,41,1,10,64,5,1,10,1,50.0,2,Omaha
0,3,34,19,117,0.128,33,2,2,45,5,3,0,0,39.0,2,Kansas City
0,4,68,16,168,0.310,61,4,17,75,4,5,2,0,78.0,0,Indiana St.
0,4,46,21,130,0.192,45,2,6,50,8,2,2,0,51.0,3,Western Mich.
0,3,36,16,134,0.149,33,1,2,72,4,1,11,0,43.5,3,Illinois St.
0,3,30,22,114,0.070,30,2,4,45,4,0,8,1,36.0,1,Southern Ill.
1,3,41,16,102,0.245,40,3,4,44,3,1,12,0,51.0,0,Evansville
0,3,28,27,117,0.009,27,0,4,49,2,1,6,1,32.0,0,Missouri St.
0,3,27,20,79,0.089,25,2,8,33,7,0,6,4,32.0,0,Wichita St.
0,3,23,13,108,0.093,23,1,5,47,4,0,6,1,27.0,1,UNI
0,4,51,23,151,0.185,47,1,2,68,2,0,20,3,62.0,5,Drake
0,4,44,21,137,0.168,44,6,9,62,5,3,12,3,59.0,1,Loyola Chicago
0,3,30,20,102,0.098,30,3,1,42,4,0,4,1,35.0,0,Illinois St.
1,4,50,25,153,0.163,48,5,3,68,5,0,16,0,63.0,2,Indiana St.
0,5,61,20,169,0.243,58,1,4,70,4,0,14,1,69.0,0,Evansville
0,3,27,17,106,0.094,26,0,1,40,2,1,2,1,29.0,3,Southern Ill.
0,3,32,16,126,0.127,30,2,0,57,3,0,6,3,37.0,2,Wichita St.
0,3,31,16,121,0.124,31,1,0,53,1,0,4,0,34.0,1,Missouri St.
0,4,50,20,159,0.189,47,2,6,74,6,0,12,3,58.0,5,Drake
0,3,27,14,116,0.112,27,2,4,54,5,1,6,0,33.0,2,UNI
0,3,36,17,96,0.198,34,2,4,44,4,2,4,2,42.0,0,Loyola Chicago
