Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,36,25,108,0.102,34,7,4,49,0,3,12,1,52.0,0,Fairleigh Dickinson
0,4,43,21,150,0.147,40,3,8,47,6,3,10,5,54.0,0,East Carolina
0,5,63,29,182,0.187,57,5,9,85,3,4,22,0,83.0,0,Canisius
1,4,70,21,175,0.280,69/,5,9,80,4,1,10,2,81.0,2,Coppin St.
0,5,65,29,216,0.167,62,4,10,101,5,3,16,0,80.0,4,Robert Morris
0,3,30,19,113,0.097,27,1,5,50,6,2,10,2,38.0,0,Duquesne
0,4,45,14,129,0.240,42,6,8,63,8,2,10,2,58.0,6,Penn
0,3,34,20,115,0.122,30,6,6,39,5,2,12,4,48.0,2,Howard
0,5,47,27,165,0.121,45,3,4,76,2,2,18,2,61.0,3,George Mason
0,3,34,21,104,0.125,28,3,3,45,7,0,8,1,41.0,0,Cornell
0,3,31,18,104,0.125,29,6,4,38,10,2,10,3,44.0,0,Oakland
0,5,61,23,149,0.255,57,7,10,40,3,4,14,0,79.0,0,Buffalo
0,3,32,20,107,0.112,28,3,5,49,9,0,4,1,37.0,2,American
0,3,34,20,106,0.132,33,0,5,43,5,2,6,1,39.0,2,Navy
0,4,49,19,147,0.204,46,2,8,61,7,5,8,3,60.0,1,Lehigh
1,3,41,16,98,0.255,36,4,6,47,5,0,10,1,50.0,0,Lafayette
1,4,39,20,139,0.137,38,10,4,66,2,1,22,1,61.0,5,Loyola Maryland
0,5,52,31,160,0.131,51,5,5,69,5,2,10,2,64.0,0,Colgate
0,3,29,17,100,0.120,28,5,3,32,5,0,8,2,38.0,0,Army West Point
0,3,42,18,120,0.200,40,4,6,62,4,0,12,1,52.0,0,Holy Cross
0,4,37,18,141,0.135,35,6,5,65,8,3,20,2,56.0,0,Navy
0,3,20,22,95,-0.021,18,3,5,31,7,1,2,2,25.0,0,American
1,4,47,24,135,0.170,44,4,5,56,3,2,22,2,64.0,0,Lehigh
0,4,53,22,138,0.225,48,4,6,55,9,0,6,1,60.0,7/,Lafayette
0,4,51,33,167,0.108,46,1,7,80,5,3,16,1,63.0,6,Colgate
0,4,45,30,149,0.101,42,2,8,49,3,1,12,1,54.0,0,Loyola Maryland
0,3,26,20,114,0.053,21,3,6,47,3,0,8,1,33.0,0,Holy Cross
0,3,38,21,137,0.124,37,2,2,69,3,2,4,0,44.0,1,Army West Point
