Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,30,18,86,0.140,30,1,5,24,3,3,8,1,38.0,1,Virginia
0,3,20,12,74,0.108,19,2,5,27,8,2,6,1,27.0,2,Northwestern
0,5,53,35,134,0.134,47,6,14,38,6,1,8,0,64.0,1,George Washington
0,3,27,21,96,0.062,27,2,8,31,7,5,4,2,36.0,1,Robert Morris
0,3,34,26,100,0.080,33,1,2,37,8,3,4,1,40.0,0,Duquesne
0,3,24,19,83,0.060,24,4,8,25,11,1,4,0,31.0,1,South Carolina
0,5,45,22,140,0.164,39,6,10,59,8,0,16,2,59.0,3,Ga. Southern
0,3,29,19,78,0.128,28,3,2,28,7,2,16,3,42.0,1,Wake Forest
0,4,42,19,132,0.174,39,2,7,53,10,1,10,7,50.0,0,Niagara
0,3,29,18,85,0.129,26,1,4,40,14/,5,8,0,39.0,0,Oakland
0,4,38,18,104,0.192,36,4,9,36,11,3,12,0,51.0,0,Cornell
1,5,52,26,129,0.202,45,3,6,53,7,1,20,2,66.0,0,Bucknell
0,3,29,10,106,0.179,28,3,1,55,8,4,14,3,43.0,2,Kent St.
0,3,30,12,79,0.228,27,3,2,35,13,2,16,0,43.0,3,Ohio
1,5,63,18,152,0.296,55,3,5,62,8,4,16,1,78.0,0,Akron
0,3,38,15,110,0.209,38,1,4,43,4,0,18,3,48.0,0,Ball St.
0,3,44,13,136,0.228,43,2,5,75,4,1,8,0,51.0,0,Bowling Green
0,3,25,22,86,0.035,25,0,4,36,5,4,4,2,31.0,0,Northern Ill.
0,4,51,19,146,0.219,47,5,6,74,6,6,2,0,63.0,0,Western Mich.
0,5,71,27,163,0.270,67,5,7,72,7,3,20,5,89.0,0,Central Mich.
1,5,63,24,164,0.238,58,7,6,62,9,4,14,3,81.0,2,Eastern Mich.
0,4,48,27,126,0.167,44,0,5,56,7,6,12,5,60.0,1,Ohio
0,4,49,28,130,0.162,47,4,5,45,4,7,4,3,62.0,1,Kent St.
0,5,70,24,174,0.264,68,2,7,86,5,2,10,3,79.0,1,Akron
1,5,62,28,162,0.210,61,3,7,69,8,2,10,2,72.0,1,Toledo
0,3,34,13,92,0.228,28,1,2,35,10,2,2,3,38.0,0,Bowling Green
