Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
273.68,229.67,106.84,91.17,743.11,637.06,0.52,0.6,348.64,245.12,27.93,23.54,46.88,33.29,327.22,300.38,34.45,24.92,12.0,13.91,114.92,77.47,16.91,11.64,357.14,304.35,12.83,7.12,0,5,75/,29,206,0.223,73/,2,9,86,3,1,10,5,83.0,0,Gonzaga
273.68,315.8,106.84,136.33,743.11,911.53,0.52,0.67,348.64,341.69,27.93,47.0,46.88,43.15,327.22,432.21,34.45,37.75,12.0,13.88,114.92,120.1,16.91,9.6,357.14,451.65,12.83,7.89,1,4,58,20,153,0.248,58,8,10,57,2,0,14,2,73.0,1,Idaho St.
273.68,293.17,106.84,112.67,743.11,754.39,0.52,0.64,348.64,311.12,27.93,29.23,46.88,54.42,327.22,346.94,34.45,24.77,12.0,14.22,114.92,100.14,16.91,16.83,357.14,381.53,12.83,10.6,0,4,45,17,145,0.193,41,2,8,49,7,0,12,4,53.0,1,Utah
273.68,267.07,106.84,122.8,743.11,836.87,0.52,0.55,348.64,288.38,27.93,43.9,46.88,49.08,327.22,400.14,34.45,41.92,12.0,13.9,114.92,125.2,16.91,17.1,357.14,372.14,12.83,11.1,1,5,64,22,143,0.294,62,9,18/,51,4,2,20,4,85.0,2,Eastern Ill.
273.68,253.11,106.84,118.33,743.11,691.72,0.52,0.46,348.64,285.07,27.93,46.17,46.88,57.42,327.22,359.07,34.45,38.08,12.0,15.5,114.92,143.2,16.91,23.88,357.14,396.67,12.83,12.43,0,5,60,33,169,0.160,55,8,15,66,8,1,22,2,80.0,0,Oakland
273.68,231.5,106.84,100.7,743.11,628.05,0.52,0.58,348.64,273.31,27.93,25.23,46.88,49.94,327.22,273.56,34.45,30.73,12.0,20.45,114.92,89.77,16.91,13.08,357.14,339.21,12.83,8.57,0,5,46,29,148,0.115,44,2,12,53,8,3,26,3,64.0,0,Arizona St.
273.68,223.74,106.84,90.47,743.11,561.47,0.52,0.21,348.64,284.07,27.93,25.2,46.88,44.06,327.22,231.83,34.45,26.07,12.0,14.44,114.92,104.3,16.91,13.67,357.14,310.62,12.83,4.33,1,3,53,12,124,0.331,48,2,4,43,4,2,14,2,64.0,0,Iowa
273.68,199.89,106.84,105.0,743.11,648.42,0.52,0.57,348.64,237.87,27.93,29.93,46.88,40.75,327.22,332.47,34.45,51.1,12.0,9.92,114.92,65.0,16.91,12.79,357.14,286.09,12.83,16.78,1,3,45,11,96,0.354,44,5,4,40,0,0,12,3,56.0,0,Western Ill.
273.68,236.8,106.84,102.35,743.11,685.25,0.52,0.49,348.64,261.18,27.93,26.69,46.88,34.88,327.22,322.05,34.45,26.24,12.0,18.91,114.92,90.67,16.91,14.54,357.14,328.61,12.83,11.8,1,3,40,19,104,0.202,37,11,5,40,3,0,15,0,58.5,0,Ball St.
273.68,316.2,106.84,138.6,743.11,903.87,0.52,0.61,348.64,344.92,27.93,40.55,46.88,44.75,327.22,431.07,34.45,38.55,12.0,15.2,114.92,82.17,16.91,17.56,357.14,416.71,12.83,16.55,1,4,59,20,153,0.255,54,4,7,58,5,2,19,0,74.5,2,Murray St.
273.68,301.27,106.84,132.0,743.11,830.0,0.52,0.67,348.64,322.0,27.93,39.64,46.88,50.0,327.22,366.36,34.45,44.3,12.0,16.3,114.92,90.33,16.91,20.0,357.14,404.29,12.83,13.5,1,3,50,11,93,0.419,48,0,7,48,1,1,6,0,54.0,2,Tennessee St.
273.68,234.0,106.84,109.0,743.11,703.94,0.52,0.54,348.64,254.21,27.93,36.67,46.88,40.18,327.22,358.43,34.45,33.0,12.0,14.86,114.92,83.92,16.91,16.09,357.14,314.9,12.83,20.5,1,3,44,7,91,0.407,39,3,6,42,1,2,14,4,56.0,0,Wright St.
273.68,265.12,106.84,110.31,743.11,765.44,0.52,0.6,348.64,279.36,27.93,32.58,46.88,38.71,327.22,352.33,34.45,36.45,12.0,17.44,114.92,106.7,16.91,15.2,357.14,354.9,12.83,10.33,1,4,57,22,148,0.236,52,5,13,66,5,0,12,3,68.0,0,Indiana St.
