Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
226.89,275.0,88.39,100.89,591.22,746.17,0.56,0.59,274.29,289.0,34.9,25.0,42.36,35.75,275.62,361.81,32.7,32.67,17.67,22.09,84.09,96.5,17.0,16.2,361.04,357.18,8.43,15.6,1,4,65,29,158,0.228,61,2,3,70,2,1,16,1,76.0,1,Rice
226.89,249.5,88.39,109.17,591.22,709.17,0.56,0.47,274.29,279.0,34.9,25.53,42.36,34.67,275.62,324.56,32.7,31.57,17.67,11.2,84.09,139.33,17.0,17.42,361.04,342.47,8.43,17.33,1,3,43,18,111,0.225,41,6,3,46,1,2,8,1,55.0,0,Utah Valley
226.89,222.71,88.39,79.76,591.22,575.05,0.56,0.53,274.29,257.06,34.9,30.54,42.36,44.38,275.62,286.41,32.7,26.0,17.67,13.9,84.09,98.33,17.0,17.27,361.04,313.18,8.43,8.5,0,3,35,17,97,0.186,35,1,8,30,3,1,2,3,38.0,1,BYU
226.89,317.8,88.39,106.2,591.22,791.93,0.56,0.57,274.29,374.67,34.9,46.0,42.36,75.9,275.62,374.54,32.7,50.88,17.67,28.11,84.09,91.8,17.0,18.11,361.04,424.21,8.43,13.38,1,4,58,18,141,0.284,57,7,3,62,1,1,12,2,72.0,1,Western Ky.
226.89,234.47,88.39,100.63,591.22,600.68,0.56,0.58,274.29,245.24,34.9,36.93,42.36,51.47,275.62,246.06,32.7,34.64,17.67,12.25,84.09,85.07,17.0,15.77,361.04,314.75,8.43,12.75,1,4,53,21,116,0.276,49,13,1,48,7,5,11,1,76.5,1,Saint Louis
226.89,243.47,88.39,98.21,591.22,658.63,0.56,0.43,274.29,270.25,34.9,32.45,42.36,41.0,275.62,339.38,32.7,29.7,17.67,19.64,84.09,71.82,17.0,11.1,361.04,310.78,8.43,12.12,0,5,54,22,163,0.196,54,3,6,69,4,1,14,4,65.0,1,Arkansas St.
226.89,336.87,88.39,136.33,591.22,827.13,0.56,0.75,274.29,336.86,34.9,44.11,42.36,62.17,275.62,343.14,32.7,41.3,17.67,23.56,84.09,132.56,17.0,24.22,361.04,481.42,8.43,8.38,0,4,56,23,140,0.236,50,4,6,51,2,3,10,3,68.0,0,Purdue
226.89,296.56,88.39,111.78,591.22,766.17,0.56,0.26,274.29,358.21,34.9,30.08,42.36,41.85,275.62,349.44,32.7,32.64,17.67,22.67,84.09,141.69,17.0,19.15,361.04,454.93,8.43,8.0,0,5,57,33,154,0.156,57,5,8,59,7,1,6,2,66.0,1,Stanford
226.89,264.33,88.39,104.11,591.22,775.72,0.56,0.53,274.29,276.94,34.9,30.92,42.36,42.29,275.62,395.25,32.7,38.4,17.67,15.4,84.09,108.09,17.0,15.8,361.04,369.28,8.43,8.1,1,3,45,12,110,0.300,43,8,4,51,0,0,8,4,57.0,0,Sacramento St.
226.89,253.88,88.39,104.18,591.22,641.53,0.56,0.43,274.29,307.23,34.9,35.27,42.36,57.36,275.62,313.08,32.7,32.27,17.67,15.8,84.09,100.92,17.0,18.67,361.04,364.5,8.43,10.17,1,4,67,24,161,0.267,67,4,3,67,3,4,18,1,84.0,2,Nevada
226.89,198.7,88.39,74.35,591.22,531.35,0.56,0.43,274.29,199.44,34.9,27.07,42.36,35.25,275.62,234.84,32.7,21.93,17.67,10.18,84.09,92.54,17.0,13.45,361.04,281.47,8.43,6.71,0,4,55,25,156,0.192,52,6,5,57,5,0,16,2,69.0,2,Hawaii
226.89,257.78,88.39,96.0,591.22,685.5,0.56,0.65,274.29,330.0,34.9,28.08,42.36,36.67,275.62,322.06,32.7,30.83,17.67,18.27,84.09,99.25,17.0,20.64,361.04,341.26,8.43,8.67,0,3,37,25,113,0.106,35,1,4,40,4,2,6,3,43.0,1,Long Beach St.
226.89,256.94,88.39,110.25,591.22,705.38,0.56,0.59,274.29,255.53,34.9,35.0,42.36,36.93,275.62,308.67,32.7,43.27,17.67,16.5,84.09,83.17,17.0,15.2,361.04,346.33,8.43,6.3,1,5,75,31,185,0.238,69,10,5,78,2,1,22,2,97.0/,0,CSUN
226.89,220.14,88.39,85.9,591.22,579.33,0.56,0.61,274.29,310.0,34.9,43.82,42.36,43.62,275.62,294.53,32.7,38.67,17.67,15.09,84.09,79.93,17.0,12.5,361.04,364.41,8.43,10.0,1,3,47,9,90,0.422,45,2,5,39,1,0,10,1,54.0,0,UC Irvine
226.89,231.11,88.39,90.28,591.22,624.94,0.56,0.54,274.29,242.94,34.9,29.07,42.36,43.31,275.62,279.65,32.7,27.85,17.67,16.15,84.09,76.08,17.0,9.42,361.04,311.79,8.43,7.88,1,3,45,11,117,0.291,41,4,6,56,2,2,4,0,53.0,0,UC Santa Barbara
226.89,212.61,88.39,101.06,591.22,625.33,0.56,0.55,274.29,226.25,34.9,27.57,42.36,38.13,275.62,300.12,32.7,35.38,17.67,15.89,84.09,79.67,17.0,18.0,361.04,284.35,8.43,9.12,1,3,48,14,109,0.312,45,6,7,48,2,2,4,1,58.0,0,Cal St. Fullerton
226.89,178.05,88.39,87.14,591.22,538.71,0.56,0.44,274.29,194.94,34.9,23.31,42.36,25.5,275.62,260.74,32.7,23.88,17.67,13.7,84.09,68.79,17.0,11.42,361.04,236.52,8.43,5.89,1,3,41,12,97,0.299,39,7,6,37,7,3,26,1,64.0,0,UC Riverside
226.89,256.94,88.39,110.25,591.22,705.38,0.56,0.59,274.29,255.53,34.9,35.0,42.36,36.93,275.62,308.67,32.7,43.27,17.67,16.5,84.09,83.17,17.0,15.2,361.04,346.33,8.43,6.3,1,4,61,17,149,0.295,58,5,6,65,4,4,10,1,75.0,0,CSUN
226.89,257.78,88.39,96.0,591.22,685.5,0.56,0.65,274.29,330.0,34.9,28.08,42.36,36.67,275.62,322.06,32.7,30.83,17.67,18.27,84.09,99.25,17.0,20.64,361.04,341.26,8.43,8.67,0,4,63,25,161,0.236,58,4,2,59,4,1,8,5,72.0,0,Long Beach St.
226.89,231.11,88.39,90.28,591.22,624.94,0.56,0.54,274.29,242.94,34.9,29.07,42.36,43.31,275.62,279.65,32.7,27.85,17.67,16.15,84.09,76.08,17.0,9.42,361.04,311.79,8.43,7.88,0,3,37,25,117,0.103,36,0,7,55,7,0,9,0,41.5,0,UC Santa Barbara
226.89,220.14,88.39,85.9,591.22,579.33,0.56,0.61,274.29,310.0,34.9,43.82,42.36,43.62,275.62,294.53,32.7,38.67,17.67,15.09,84.09,79.93,17.0,12.5,361.04,364.41,8.43,10.0,1,4,64,27,169,0.219,61,8,6,82,7,5,2,0,78.0,0,UC Irvine
226.89,236.78,88.39,99.94,591.22,662.11,0.56,0.54,274.29,250.56,34.9,25.67,42.36,48.5,275.62,297.59,32.7,33.11,17.67,9.18,84.09,91.07,17.0,12.21,361.04,331.78,8.43,9.22,1,5,73,30,187,0.230,67,2,6,84,7,0,10,0,80.0,0,UC Davis
226.89,178.05,88.39,87.14,591.22,538.71,0.56,0.44,274.29,194.94,34.9,23.31,42.36,25.5,275.62,260.74,32.7,23.88,17.67,13.7,84.09,68.79,17.0,11.42,361.04,236.52,8.43,5.89,1,3,43,10,112,0.295,39,3,6,50,2,2,6,2,51.0,1,UC Riverside
226.89,212.61,88.39,101.06,591.22,625.33,0.56,0.55,274.29,226.25,34.9,27.57,42.36,38.13,275.62,300.12,32.7,35.38,17.67,15.89,84.09,79.67,17.0,18.0,361.04,284.35,8.43,9.12,1,3,48,18,124,0.242,43,4,8,50,2,2,8,2,58.0,2,Cal St. Fullerton
226.89,198.7,88.39,74.35,591.22,531.35,0.56,0.43,274.29,199.44,34.9,27.07,42.36,35.25,275.62,234.84,32.7,21.93,17.67,10.18,84.09,92.54,17.0,13.45,361.04,281.47,8.43,6.71,0,3,31,22,107,0.084,30,1,5,44,9,1,12,2,39.0,1,Hawaii
226.89,236.78,88.39,99.94,591.22,662.11,0.56,0.54,274.29,250.56,34.9,25.67,42.36,48.5,275.62,297.59,32.7,33.11,17.67,9.18,84.09,91.07,17.0,12.21,361.04,331.78,8.43,9.22,1,3,48,12,114,0.316,46,5,4,63,3,0,12,0,59.0,0,UC Davis
