Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
303.53,233.78,139.2,93.0,919.0,672.44,0.15,0.55,325.85,303.0,41.5,54.11,56.33,57.73,450.14,331.94,43.64,30.12,19.12,15.8,104.5,92.5,12.0,15.5,440.5,338.0,11.33,26.67,1,4,59,25,154,0.221,55,12,7,70,2,1,12,0,78.0,1,Mercer
303.53,272.47,139.2,100.35,919.0,784.18,0.15,0.48,325.85,335.31,41.5,36.55,56.33,42.69,450.14,373.19,43.64,25.2,19.12,16.22,104.5,89.17,12.0,13.1,440.5,381.0,11.33,10.11,0,3,29,25,115,0.035,28,3,2,49,7,1,8,0,37.0,0,South Fla.
303.53,272.11,139.2,118.61,919.0,787.83,0.15,0.49,325.85,303.13,41.5,34.75,56.33,50.83,450.14,362.12,43.64,35.25,19.12,14.55,104.5,90.21,12.0,19.0,440.5,359.21,11.33,14.45,0,5,55,35,169,0.118,52,7,5,85,6,2,10,3,69.0,0,Elon
303.53,181.26,139.2,67.0,919.0,479.74,0.15,0.5,325.85,219.53,41.5,32.8,56.33,37.42,450.14,252.31,43.64,29.1,19.12,13.0,104.5,58.58,12.0,10.6,440.5,249.44,11.33,11.75,0,4,44,15,135,0.215,44,4,8,57,9,5,8,0,57.0,1,Princeton
303.53,234.33,139.2,99.44,919.0,559.61,0.15,0.2,325.85,256.53,41.5,36.46,56.33,69.5,450.14,202.76,43.64,36.0,19.12,15.38,104.5,66.86,12.0,9.09,440.5,315.29,11.33,11.71,0,5,42,24,131,0.137,39,2,12,41,10,2,22,0,57.0,0,Indiana
303.53,230.27,139.2,110.93,919.0,643.33,0.15,0.63,325.85,228.64,41.5,38.17,56.33,51.67,450.14,256.71,43.64,38.29,19.12,38.56,104.5,61.0,12.0,13.67,440.5,326.0,11.33,15.62,1,5,55,27,155,0.181,49,6,12,65,7,12/,4,0,75.0,1,San Francisco
303.53,168.58,139.2,69.11,919.0,486.63,0.15,0.27,325.85,186.44,41.5,27.58,56.33,32.29,450.14,258.31,43.64,24.62,19.12,14.82,104.5,64.0,12.0,13.7,440.5,240.06,11.33,12.5,1,3,36,17,93,0.204,30,4,8,34,2,2,0,0,42.0,2,Columbia
303.53,158.0,139.2,69.6,919.0,462.04,0.15,0.4,325.85,206.5,41.5,26.69,56.33,32.53,450.14,224.26,43.64,34.55,19.12,14.47,104.5,48.06,12.0,11.5,440.5,207.44,11.33,13.5,0,4,58,27,204,0.152,53,3,7,96,5,0,10,0,66.0,0,Navy
303.53,237.82,139.2,108.94,919.0,674.12,0.15,0.47,325.85,292.38,41.5,30.0,56.33,53.58,450.14,306.0,43.64,31.25,19.12,15.91,104.5,81.67,12.0,14.09,440.5,316.75,11.33,14.17,0,5,59,27,213,0.150,51,8,7,99,2,1,14,0,75.0,0,East Carolina
303.53,221.0,139.2,94.16,919.0,673.58,0.15,0.34,325.85,259.0,41.5,26.86,56.33,36.27,450.14,335.12,43.64,35.7,19.12,15.5,104.5,95.85,12.0,12.08,440.5,314.88,11.33,14.22,0,3,35,19,113,0.142,32,4,4,56,8,0,12,4,45.0,0,UNCW
