Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,5,47,19,116,0.241,45,5,12,51,5,1,14,2,60.0,0,Belmont
1,4,49,26,142,0.162,44,9,9,63,4,1,18,2,68.0,1,Memphis
1,4,60,26,145,0.234,53,6,7,47,4,1,16,4,75.0,1,Chicago St.
0,4,33,16,92,0.185,31,3,8,36,15/,0,17,0,44.5,0,Oral Roberts
1,3,33,15,83,0.217,28,15/,8,36,1,0,8,0,52.0,0,Alcorn
0,3,27,13,91,0.154,26,1,8,35,7,2,14,1,37.0,0,Arkansas St.
0,4,42,27,154,0.097,42,6,8,67,12,1,26,1,62.0,0,Tulsa
1,3,48,16,114,0.281,47,5,6,51,1,1,10,0,59.0,0,UT Martin
1,3,43,12,91,0.341,38,6,9,36,4,0,12,0,55.0,0,Central Mich.
0,4,48,33,147,0.102,40,0,5,62,3,0,14,3,55.0,0,UCF
1,4,55,27,142,0.197,49,5,5,55,5,5,18,0,74.0,0,UNC Asheville
1,4,57,19,160,0.237,54,9,4,82,5,0,20,2,76.0,0,Nicholls St.
1,4,56,18,140,0.271,52,2,11,55,4,3,10,2,66.0,0,McNeese
0,3,33,17,85,0.188,31,0,11,27,10,2,10,1,40.0,1,Northwestern St.
0,3,30,20,101,0.099,25,5,9,26,6,2,8,0,41.0,0,A&M-Corpus Christi
0,5,65,23,165,0.255,64,4,8,66,4,0,14,2,76.0,1,Lamar University
0,4,49,24,149,0.168,48,2,10,67,2,1,12,8/,58.0,0,Houston Baptist
1,3,43,10,82,0.402,38,6,4,34,3,1,14,0,57.0,1,Southeastern La.
1,3,46,6,104,0.385,38,4,4,43,2,3,16,2,61.0,1,New Orleans
0,3,34,28,129,0.047,30,3,5,59,8,0,12,3,43.0,0,SFA
0,3,36,23,106,0.123,36,3,3,32,1,0,13,0,45.5,0,Sam Houston St.
1,4,51,22,152,0.191,49,10,11,69,2,0,20,2,71.0,0,Southeastern La.
1,5,62,23,154,0.253,57,9,11,78,9,3,10,7,79.0,3,Northwestern St.
1,4,56,18,144,0.264,52,6,4,63,5,0,35/,0,79.5,0,Sam Houston St.
1,3,42,22,107,0.187,36,5,7,48,4,3,16,1,58.0,0,SFA
1,4,62,26,170,0.212,59,5,9,72,6,1,16,3,76.0,0,Houston Baptist
0,4,51,32,170,0.112,49,8,4,75,5,2,14,4,68.0,1,A&M-Corpus Christi
