Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,4,50,24,146,0.178,49,9,9,63,6,3,14,4,69.0,0,Iona
1,5,53,21,170,0.188,48,5,6,72,4,3,26,1,74.0,3,Lehigh
1,4,46,18,126,0.222,42,9,9,57,10,1,33,0,72.5,0,Fordham
1,4,53,19,143,0.238,48,11,8,62,1,5,14,5,76.0,0,Manhattan
0,5,55,33,168,0.131,50,10,6,63,9,1,12,2,72.0,1,Hartford
0,3,33,11,99,0.222,32,2,3,39,7,0,16,6,43.0,2,Rhode Island
1,5,54,23,153,0.203,51,8,4,72,6,1,18,2,72.0,0,Niagara
0,5,47,38,178,0.051,43,5,3,77,9,3,8,0,59.0,0,Dartmouth
0,3,45,13,110,0.291,44,1,2,54,4,0,6,0,49.0,3,Army West Point
0,3,26,9,97,0.175,26,2,3,40,5,1,17,3,37.5,1,New Mexico St.
0,5,48,28,169,0.118,43,6,7,85,5,2,17,3,64.5,1,Brown
0,3,27,27,118,0,24,5,4,51,5,0,6,2,35.0,1,Binghamton
1,5,49,32,192,0.089,45,3,3,92,5,5,16,3,65.0,2,Robert Morris
1,3,44,17,128,0.211,38,3,3,54,1,2,22,0,60.0,4,Bryant
1,4,56,17,139,0.281,54,7,6,59,3,1,12,1,70.0,2,Fairleigh Dickinson
1,5,59,13,127,0.362,57,2,7,51,5,1,40/,2,82.0,4,Sacred Heart
1,3,41,6,95,0.368,37,4,8,44,8,0,12,0,51.0,2,St. Francis Brooklyn
0,4,48,22,144,0.181,47,5,3,66,6,2,16,5,63.0,1,LIU
0,4,53,25,162,0.173,52,1,6,80,5,2,8,1,60.0,3,Robert Morris
0,4,44,22,145,0.152,41,8,3,55,6,3,30,1,70.0,3,Bryant
1,3,40,14,87,0.299,37,8,2,30,1,2,8,0,54.0,0,St. Francis Brooklyn
0,5,58,25,187,0.176,54,5,4,70,6,2,16,3,73.0,3,LIU
1,3,48,14,112,0.304,43,5,4,55,4,1,14,1,61.0,1,Fairleigh Dickinson
0,5,37,21,158,0.101,36,3,5,70,4,2,34,1,59.0,3,Sacred Heart
0,3,27,20,116,0.060,26,3,2,52,6,2,12,3,38.0,1,Sacred Heart
