Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,37,13,86,0.279,34,10,4,34,1,2,8,1,53.0,1,Presbyterian
1,3,38,7,75,0.413,35,8,4,41,0,2,4,0,50.0,1,Mississippi Val.
1,3,38,15,113,0.204,36,6,1,67,2,1,10,0,50.0,0,Cal St. Fullerton
0,3,29,18,106,0.104,27,1,4,44,3,0,4,1,32.0,2,Northwestern
0,3,43,17,120,0.217,38,2,5,52,7,0,2,3,46.0,1,Dayton
1,4,52,22,146,0.205,49,6,5,57,5,3,12,3,67.0,1,Xavier
0,4,36,24,153,0.078,34,1,7,60,7,1,14,4,45.0,2,Kansas
0,3,27,19,98,0.082,26,2,5,32,6,1,6,0,33.0,0,Creighton
0,3,27,24,106,0.028,26,3,2,44,5,0,6,3,33.0,1,TCU
0,4,42,22,133,0.150,40,5,2,53,8,1,10,4,53.0,0,Tennessee St.
1,5,58,32,172,0.151,54,7,8,76,4,3,10,3,73.0,1,Ole Miss
0,3,37,19,117,0.154,37,1,9,51,6,1,8,1,43.0,0,Samford
1,4,62,21,158,0.259,61,5,6,85,9,2,10,2,74.0,1,ETSU
1,3,47,8,95,0.411,44,4,3,43,1,0,12,2,57.0,0,Mercer
1,3,35,12,91,0.253,35,5,6,45,1,2,20,0,52.0,1,Wofford
1,4,56,26,166,0.181,50,7,4,85,5,1,12,0,70.0,0,Western Caro.
0,3,30,18,101,0.119,30,0,5,46,6,2,4,0,34.0,1,ETSU
0,5,57,21,180,0.200,54,7,10,83,6,4,18,4,77.0,1,UNC Greensboro
0,3,37,18,107,0.178,37,1,6,55,5,2,10,2,45.0,3,Samford
1,5,65,23,168,0.250,62,8,9,86,6,2,20,0,85.0,1,The Citadel
1,3,44,16,120,0.233,41,4,11,53,3,0,14,0,55.0,3,Mercer
1,3,39,12,110,0.245,36,6,6,37,2,2,10,1,52.0,0,Furman
1,5,63,26,206,0.180,60,4,7,98,8,2,18,1,78.0,1,The Citadel
0,4,34,27,117,0.060,28,4,6,28,10,5,4,0,45.0,0,Wofford
0,4,49,21,145,0.193,46,2,8,68,4,6,8,1,61.0,0,Western Caro.
1,4,50,20,140,0.214,46,7,4,62,5,1,8,1,62.0,1,Furman
1,3,39,15,103,0.233,37,8,8,37,3,1,8,2,52.0,0,UNC Greensboro
1,4,54,20,125,0.272,51,6,9,43,6,4,18,0,73.0,2,Mercer
1,5,64,23,199,0.206,62,8,8,97,3,2,16,0,82.0,2,UNC Greensboro
0,4,51,15,149,0.242,50,4,5,73,2,2,16,1,65.0,1,Samford
