Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
250.12,191.89,98.29,86.21,663.76,523.26,0.41,0.57,284.21,198.12,34.67,36.18,47.46,33.5,317.67,230.29,36.11,33.71,27.9,15.42,67.62,67.6,10.73,8.75,384.75,278.59,13.2,20.43,1,3,44,15,96,0.302,43,3,5,46,3,0,8,0,51.0,1,FIU
250.12,236.6,98.29,104.93,663.76,645.6,0.41,0.51,284.21,254.62,34.67,43.0,47.46,43.92,317.67,298.46,36.11,34.73,27.9,19.0,67.62,60.83,10.73,11.45,384.75,350.62,13.2,24.89,1,3,36,13,79,0.291,30,5,6,21,4,2,14,1,50.0,0,Florida A&M
250.12,226.16,98.29,90.32,663.76,671.42,0.41,0.47,284.21,272.47,34.67,38.0,47.46,43.07,317.67,334.06,36.11,29.38,27.9,13.67,67.62,103.62,10.73,16.3,384.75,328.68,13.2,12.3,1,3,48,17,113,0.274,47,3,8,54,0,1,14,0,59.0,0,Notre Dame
250.12,336.87,98.29,136.33,663.76,827.13,0.41,0.75,284.21,336.86,34.67,44.11,47.46,62.17,317.67,343.14,36.11,41.3,27.9,23.56,67.62,132.56,10.73,24.22,384.75,481.42,13.2,8.38,0,3,32,19,100,0.130,30,2,6,33,8,1,8,0,39.0,1,Purdue
250.12,209.37,98.29,95.16,663.76,582.47,0.41,0.4,284.21,245.73,34.67,30.77,47.46,53.33,317.67,264.22,36.11,33.8,27.9,13.78,67.62,76.5,10.73,18.08,384.75,279.86,13.2,12.5,1,3,43,13,88,0.341,39,1,4,30,2,1,12,2,51.0,0,Howard
250.12,278.28,98.29,110.11,663.76,712.44,0.41,0.29,284.21,360.23,34.67,46.92,47.46,51.87,317.67,319.75,36.11,39.77,27.9,15.5,67.62,118.85,10.73,13.92,384.75,382.32,13.2,13.83,1,4,41,19,119,0.185,40,8,7,46,5,1,22,3,61.0,2,Pittsburgh
250.12,296.56,98.29,112.33,663.76,767.22,0.41,0.7,284.21,331.4,34.67,31.54,47.46,42.8,317.67,323.53,36.11,29.15,27.9,23.09,67.62,119.58,10.73,15.09,384.75,419.97,13.2,13.86,0,3,34,22,101,0.119,33,1,8,38,4,2,8,4,41.0,1,Michigan
250.12,276.75,98.29,104.38,663.76,711.94,0.41,0.66,284.21,313.46,34.67,46.58,47.46,62.0,317.67,301.07,36.11,40.92,27.9,14.8,67.62,91.92,10.73,19.56,384.75,406.18,13.2,9.44,1,3,51,14,114,0.325,48,5,6,46,4,2,10,1,63.0,0,American
250.12,300.62,98.29,126.69,663.76,842.06,0.41,0.57,284.21,378.33,34.67,31.54,47.46,43.92,317.67,449.62,36.11,31.83,27.9,22.3,67.62,101.17,10.73,14.18,384.75,432.14,13.2,14.5,1,4,50,24,150,0.173,45,7,13,59,0,8,2,0,66.0,0,Georgia Tech
250.12,300.62,98.29,126.69,663.76,842.06,0.41,0.57,284.21,378.33,34.67,31.54,47.46,43.92,317.67,449.62,36.11,31.83,27.9,22.3,67.62,101.17,10.73,14.18,384.75,432.14,13.2,14.5,0,5,63,25,164,0.232,61,7,9,69,4,6,6,2,79.0,0,Georgia Tech
