Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,38,15,89,0.258,36,1,10,43,8,0,4,0,41.0,1,San Francisco
0,3,23,16,78,0.090,22,2,10,34,4,5,6,0,33.0,3,Campbell
0,3,22,11,72,0.153,21,0,6,26,6,8,0,0,30.0,0,Indiana
0,4,48,21,157,0.172,45,4,6,62,4,1,12,6,59.0,3,SIUE
1,3,43,21,125,0.176,38,7,7,50,1,4,16,2,62.0,1,Manhattan
1,4,58,20,151,0.252,51,9,7,53,4,3,8,2,74.0,1,Bryant
1,3,48,12,105,0.343,46,2,7,50,2,2,10,1,57.0,1,Providence
0,3,39,13,117,0.222,31,5,9,53,4,1,4,4,47.0,3,UMBC
1,3,38,8,98,0.306,36,3,7,49,3,3,24,3,56.0,3,Fordham
1,3,35,7,101,0.277,30,7,10,44,1,1,14,1,50.0,2,Hartford
1,5,61,29,169,0.189,58,7,12,78,3,2,4,1,72.0,0,Cornell
1,5,54,25,173,0.168,53,3,16,83,3,5,18,3,71.0,2,Yale
1,3,36,17,117,0.162,36,10,3,63,3,1,10,2,52.0,1,Brown
0,3,33,14,109,0.174,31,1,7,46,2,1,22,2,46.0,5/,Princeton
1,5,64,25,167,0.234,63,5,9,83,7,7,16,1,84.0,2,Penn
0,3,32,14,104,0.173,31,1,5,36,4,2,12,5,41.0,2,Harvard
1,4,62,26,192,0.188,55,6,8,93,5,3,10,0,76.0,0,Dartmouth
0,4,40,27,138,0.094,38,0,7,74,10,0,22,1,51.0,3,Cornell
1,3,42,17,122,0.205,37,5,6,62,4,2,18,1,58.0,2,Brown
0,4,41,28,145,0.090,38,5,7,56,4,5,8,1,55.0,5/,Yale
1,3,49,11,102,0.373,47,5,6,44,2,6,6,2,63.0,0,Dartmouth
1,4,70,27,157,0.274,65,16/,7,63,4,3,14,0,96.0/,0,Harvard
1,4,63,12,167,0.305,57,4,11,100,4,3,10,2,75.0,5/,Penn
0,3,30,9,84,0.250,30,6,4,43,11,0,6,5,39.0,0,Princeton
