Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,40,16,107,0.224,38,7,5,42,2,1,10,0,53.0,0,Milwaukee
1,3,41,15,95,0.274,39,3,4,32,6,1,14,1,52.0,0,Sacred Heart
1,3,35,16,91,0.209,34,5,8,31,7,1,8,1,45.0,1,George Mason
1,5,55,29,174,0.149,52,9,9,82,5,3,26,0,80.0,0,Central Conn. St.
0,3,33,22,119,0.092,30,7,3,48,5,0,6,3,43.0,0,Army West Point
1,3,46,23,130,0.177,41,2,8,62,0,1,16,0,57.0,0,Niagara
1,3,43,11,116,0.276,36,9,10,43,2,1,4,1,55.0,2,Hartford
0,4,33,18,145,0.103,30,2,7,75,8,1,18,0,45.0,4,Akron
0,3,30,21,114,0.079,29,3,3,43,2,1,8,0,38.0,4,West Virginia
0,4,42,26,136,0.118,36,6,10,49,8,1,16,4,57.0,3,Winthrop
0,3,38,15,110,0.209,32,3,8,42,4,3,10,0,49.0,0,Harvard
0,5,54,29,170,0.147,51,9,4,75,2,3,6,0,69.0,5/,Penn
0,3,35,9,111,0.234,34,4,4,47,3,3,4,8/,44.0,4,Princeton
0,3,25,12,95,0.137,23,5,9,29,7,1,6,2,34.0,3,Yale
0,4,35,25,146,0.068,31,3,7,57,5,1,14,2,46.0,4,Brown
1,5,65,25,189,0.212,57,5,7,92,5,1,10,0,76.0,0,Cornell
0,4,53,25,186,0.151,45,5,6,86,6,0,24,0,70.0,0,Columbia
1,4,51,19,181,0.177,48,5,5,95,6,2,14,0,65.0,0,Bryant
0,4,46,28,144,0.125,40,5,9,62,7,3,10,0,59.0,0,Harvard
0,3,23,19,112,0.036,23,2,3,48,2,1,14,0,33.0,0,Princeton
0,5,59,34,225/,0.111,56,7,7,120,6,3,14,0,76.0,1,Penn
0,3,38,16,104,0.212,34,2,4,37,5,0,8,1,44.0,1,Columbia
0,3,31,16,106,0.142,26,5,3,41,7,1,6,1,40.0,3,Cornell
1,5,55,24,201,0.154,47,4,7,96,3,4,22,0,74.0,2,Brown
0,5,49,22,172,0.157,45,7,5,78,6,3,16,0,67.0,3,Yale
