Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,4,45,25,155,0.129,43,5,10,70,7,4,19,1,63.5,1,Jacksonville
0,3,27,15,83,0.145,23,2,3,39,8,2,0,2,31.0,2,Winthrop
1,3,38,9,92,0.315,36,6,4,38,7,1,8,1,49.0,1,UNCW
1,4,50,16,133,0.256,45,5,6,49,2,3,20,4,68.0,1,Wake Forest
0,5,49,25,171,0.140,45,6,7,67,8,2,20,2,67.0,4,Loyola Chicago
0,3,30,15,112,0.134,28,1,4,50,8,4,24,0,47.0,3,Col. of Charleston
0,4,53,23,154,0.195,53,1,3,69,3,2,12,1,62.0,0,Elon
1,3,38,18,114,0.175,32,7,4,47,2,4,20,1,59.0,0,Furman
0,4,54,20,179,0.190,53,6,5,81,4,4,14,5,71.0,1,USC Upstate
1,4,49,22,124,0.218,47,8,5,43,10,3,18,0,69.0,2,Liberty
0,3,32,19,115,0.113,29,3,3,45,6,1,6,1,39.0,0,South Carolina
0,5,68,22,166,0.277,63,3,5,61,6,5,18,3,85.0,0,William & Mary
0,5,51,22,153,0.190,43,9,7,62,10,1,22,3,72.0,0,Gardner-Webb
0,4,40,31,140,0.064,39,7,5,56,5,2,18,3,58.0,0,VCU
1,5,54,23,173,0.179,49,10,3,80,11,3,20,4,77.0,0,La Salle
0,5,46,22,168,0.143,46,3,3,71,9,9,18,2,67.0,1,Duquesne
1,5,58,22,169,0.213,52,0,7,63,6,6,22,1,75.0,2,George Washington
1,5,64,21,221,0.195,60,6,8,95,8,1,27,2,84.5,1,George Mason
1,3,54,15,136,0.287,49,2,4,76,2,2,14,1,65.0,1,Charlotte
0,3,30,13,103,0.165,28,2,4,42,9,4,8,2,40.0,0,Saint Louis
0,3,24,17,95,0.074,24,2,5,35,8,4,12,1,36.0,1,Dayton
1,3,38,13,113,0.221,33,1,4,62,1,5,14,0,51.0,1,George Mason
0,3,28,15,98,0.133,27,3,2,35,7,3,6,3,37.0,1,George Washington
0,4,31,24,130,0.054,29,2,6,48,6,3,16,0,44.0,2,Rhode Island
1,3,26,12,96,0.146,26,6,4,42,4,3,18,1,44.0,4,Fordham
0,5,64,24,171,0.234,55,4,6,56,9,2,15,0,77.5,1,VCU
0,3,27,19,101,0.079,27,1,8,33,0,1,12,0,35.0,0,Dayton
0,4,33,15,103,0.175,32,5,5,43,11,3,12,2,47.0,5,Saint Louis
0,4,33,17,101,0.158,29,7,6,28,14/,1,28,6,55.0,2,Saint Louis
