Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
268.47,241.28,103.53,108.17,681.71,690.56,0.55,0.5,306.29,274.2,31.77,37.0,45.14,50.92,293.38,360.93,29.58,33.77,10.38,20.89,107.92,87.42,19.18,13.55,383.97,321.32,11.64,13.27,1,3,43,14,94,0.309,43,6,8,34,2,2,4,0,53.0,0,Toledo
268.47,234.0,103.53,109.0,681.71,703.94,0.55,0.54,306.29,254.21,31.77,36.67,45.14,40.18,293.38,358.43,29.58,33.0,10.38,14.86,107.92,83.92,19.18,16.09,383.97,314.9,11.64,20.5,1,3,56,18,135,0.281,53,2,3,66,3,1,10,3,64.0,0,Wright St.
268.47,245.94,103.53,114.56,681.71,729.72,0.55,0.39,306.29,277.0,31.77,36.55,45.14,35.43,293.38,372.88,29.58,28.07,10.38,16.6,107.92,88.38,19.18,14.33,383.97,327.62,11.64,11.33,1,4,57,20,142,0.261,53,7,7,56,3,1,21,1,75.5,5,SIUE
268.47,299.24,103.53,117.88,681.71,770.94,0.55,0.67,306.29,313.8,31.77,37.82,45.14,45.4,293.38,346.33,29.58,34.33,10.38,18.9,107.92,98.67,19.18,14.33,383.97,392.75,11.64,11.11,1,4,56,27,132,0.220,51,6,7,43,3,2,14,4,71.0,0,Xavier
268.47,255.41,103.53,110.76,681.71,737.12,0.55,0.55,306.29,290.36,31.77,35.62,45.14,46.08,293.38,346.12,29.58,29.93,10.38,17.78,107.92,86.75,19.18,12.82,383.97,342.84,11.64,13.12,1,3,45,10,109,0.321,43,7,9,51,2,2,10,3,59.0,1,Chattanooga
268.47,219.47,103.53,90.84,681.71,589.79,0.55,0.53,306.29,298.92,31.77,32.15,45.14,47.81,293.38,249.56,29.58,35.23,10.38,15.75,107.92,75.85,19.18,15.31,383.97,292.78,11.64,8.22,1,5,54,27,150,0.180,50,8,9,58,4,2,13,5,70.5,3,Northwestern
268.47,246.26,103.53,99.53,681.71,715.58,0.55,0.43,306.29,294.47,31.77,29.85,45.14,46.86,293.38,357.76,29.58,28.08,10.38,17.64,107.92,86.42,19.18,11.36,383.97,321.08,11.64,14.64,1,3,55,14,124,0.331,54,2,6,56,2,2,6,1,62.0,0,Kent St.
268.47,271.64,103.53,129.93,681.71,800.71,0.55,0.74,306.29,350.4,31.77,35.0,45.14,38.92,293.38,352.15,29.58,39.09,10.38,14.09,107.92,86.83,19.18,19.42,383.97,371.46,11.64,12.62,1,3,47,12,93,0.376,41,3,10,28,2,2,10,0,57.0,0,Evansville
268.47,305.31,103.53,127.88,681.71,846.62,0.55,0.57,306.29,322.57,31.77,39.31,45.14,53.0,293.38,392.73,29.58,38.83,10.38,24.1,107.92,79.58,19.18,21.7,383.97,407.63,11.64,10.54,1,3,46,10,91,0.396,43,5,8,43,1,2,22,2,64.0,0,Austin Peay
268.47,265.94,103.53,106.12,681.71,754.0,0.55,0.6,306.29,333.0,31.77,35.27,45.14,41.45,293.38,405.31,29.58,39.18,10.38,16.18,107.92,81.58,19.18,12.5,383.97,354.03,11.64,12.5,1,3,49,19,121,0.248,49,7,10,55,3,0,14,0,63.0,0,IUPUI
