Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,4,53,18,142,0.246,50,6,3,61,11,2,5,0,63.5,3,IUPUI
0,3,36,19,86,0.198,32,4,3,29,10,1,12,0,47.0,1,Southern Ill.
0,3,44,19,118,0.212,42,7,6,52,9,0,2,0,52.0,2,Central Mich.
1,5,68,24,184,0.239,62,6,10,87,7,1,12,3,81.0,3,Youngstown St.
1,3,37,8,82,0.354,36,3,6,40,2,3,12,2,49.0,1,Coppin St.
1,3,45,20,121,0.207,43,6,4,60,1,3,8,1,58.0,0,Bucknell
1,3,37,14,97,0.237,35,8,4,35,1,3,12,0,54.0,0,Buffalo
1,3,41,13,118,0.237,39,4,8,58,2,0,18,2,54.0,0,South Dakota St.
1,4,59,17,176,0.239,54,5,7,87,1,1,10,1,70.0,0,Valparaiso
1,5,56,27,195,0.149,56,5,8,85,4,0,9,5,65.5,2,Southeast Mo. St.
0,3,20,23,88,-0.034,20,1,6,31,3,2,4,1,25.0,0,Missouri
0,5,54,28,160,0.163,53,9,5,78,11,3,10,2,71.0,1,Delaware
0,3,18,13,76,0.066,18,1,2,34,9,4,8,3,27.0,3,Rhode Island
1,4,58,15,142,0.303,57,11,16,69,4,0,14,5,76.0,1,Fordham
1,3,43,14,125,0.232,40,7,1,63,2,0,10,2,55.0,1,Robert Morris
1,4,52,25,164,0.165,49,10,9,69,1,0,6,1,65.0,1,VCU
1,5,70,39/,194,0.160,67,9,5,90,3,0,12,0,85.0,1,Davidson
1,5,55,19,150,0.240,52,7,7,71,7,5,12,0,73.0,0,La Salle
1,3,42,15,104,0.260,41,2,3,43,3,2,6,0,49.0,0,Fordham
1,3,36,17,104,0.183,34,5,4,50,1,2,17,1,51.5,1,Rhode Island
0,4,39,21,134,0.134,37,3,6,55,7,1,8,3,47.0,1,Saint Louis
0,4,42,21,147,0.143,41,4,2,59,1,0,20,4,56.0,3,Dayton
0,5,44,23,157,0.134,41,6,13,73,7,1,10,0,56.0,0,George Mason
1,5,73,35,187,0.203,64,5,5,74,5,1,18,2,88.0,1,George Washington
0,4,44,26,152,0.118,44,3,7,65,8,1,10,1,53.0,2,Dayton
0,5,47,26,130,0.162,45,4,9,49,13,2,12,3,59.0,0,Saint Louis
1,3,34,21,99,0.131,32,4,2,48,7,0,12,1,44.0,0,La Salle
0,4,57,26,141,0.220,54,3,7,52,7,3,6,1,66.0,1,VCU
