Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,19,23,94,-0.043,17,1,5,35,10,1,6,1,24.0,0,Green Bay
0,4,34,31,152,0.020,32,2,11,54,6,2,20,0,48.0,0,SFA
0,3,29,14,86,0.174,29,4,8,42,7,2,8,2,39.0,0,South Dakota St.
0,5,44,21,120,0.192,40,4,7,55,9,2,12,1,56.0,2,Butler
0,3,30,16,114,0.123,29,1,6,59,6,0,16,1,39.0,0,Memphis
0,4,41,14,114,0.237,39,4,7,46,14,1,18,5,55.0,0,Louisiana Tech
1,3,38,9,111,0.261,35,5,7,51,6,1,18,2,53.0,2,Jackson St.
1,4,43,27,170,0.094,41,2,7,93,5,2,18,2,56.0,1,Western Ill.
0,4,36,24,139,0.086,32,4,6,52,13,0,20,0,50.0,1,Drake
0,5,46,28,163,0.110,45,6,8,71,15/,3,12,0,61.0,1,Louisiana Tech
0,5,43,14,148,0.196,39,7,9,59,9,0,24,4,62.0,1,Bowling Green
0,3,26,22,112,0.036,25,1,7,46,3,2,16,0,37.0,0,FIU
0,3,24,17,96,0.073,23,2,6,41,4,0,6,2,29.0,0,Mississippi St.
1,3,35,15,114,0.175,29,3,3,45,4,6,16,0,52.0,0,Troy
0,3,26,18,104,0.077,22,2,7,35,5,0,8,2,32.0,2,SIUE
0,4,28,13,107,0.140,27,8,6,42,9,1,16,1,45.0,2,Belmont
0,4,46,17,136,0.213,43,6,4,59,6,0,12,0,58.0,5,Indiana St.
0,3,29,13,112,0.143,29,5,6,48,2,0,22,4,45.0,3,Southeast Mo. St.
1,4,59,13,130,0.354,57,5,8,54,5,2,22,4,77.0,1,UT Martin
0,3,34,13,113,0.186,32,2,6,56,11,1,16,1,45.0,4,Austin Peay
0,3,27,12,98,0.153,26,4,2,37,8,1,12,4,38.0,1,Murray St.
0,5,52,20,171,0.187,49,2,5,80,7,1,17,0,63.5,1,Eastern Ky.
0,5,50,15,174,0.201,48,4,4,80,7,2,20,2,66.0,1,Morehead St.
1,5,66,22,171,0.257,62,2,10,69,2,7,8,3,79.0,0,Jacksonville St.
0,5,57,31,211,0.123,52,0,5,99,3,2,26,4,72.0,3,Tennessee Tech
0,3,24,18,102,0.059,24,2,3,38,4,0,6,2,29.0,3,SIUE
0,3,29,18,104,0.106,27,3,4,31,9,0,4,0,34.0,0,Tennessee St.
0,5,62,21,210,0.195,58,7,5,106,6,2,16,3,79.0,0,UT Martin
0,3,30,14,129,0.124,29,3,4,58,5,1,20,2,44.0,4,Southeast Mo. St.
0,4,44,15,139,0.209,41,7,4,53,10,0,24,6,63.0,1,Murray St.
0,3,23,11,121,0.099,19,3,4,53,7,2,2,1,29.0,1,Austin Peay
