Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,47,27,133,0.150,45,1,4,58,4,0,6,0,51.0,1,Howard
0,5,63,25,168,0.226,56,11,23/,60,5,1,18,3,84.0,0,American
0,4,45,27,121,0.149,45,3,12,36,6,3,2,1,52.0,0,Georgetown
0,3,26,21,84,0.060,25,2,3,27,6,2,6,2,33.0,0,Sacred Heart
0,3,28,22,88,0.068,27,7,10,36,5,0,10,0,40.0,1,Dartmouth
0,3,32,20,89,0.135,31,5,9,29,6,2,4,1,41.0,2,Milwaukee
0,4,43,28,129,0.116,39,1,6,48,4,0,6,7,47.0,1,Howard
1,4,52,24,130,0.215,50,4,7,62,3,2,10,3,63.0,0,Lafayette
1,5,62,38,187,0.128,55,2,9,84,3,1,20,4,75.0,0,Bucknell
0,4,56,29,158,0.171,52,6,6,71,9,1,12,2,69.0,1,Penn
0,4,43,29,148,0.095,41,3,9,62,2,2,8,0,52.0,0,Bryant
1,3,30,11,75,0.253,24,3,4,35,5,2,24,0,47.0,1,Loyola Maryland
1,3,34,11,82,0.280,33,10,9,34,1,1,18,0,54.0,0,Hampton
0,3,38,22,115,0.139,37,5,5,43,4,1,6,4,47.0,1,Saint Louis
0,4,49,22,126,0.214,47,0,10,50,12,1,10,3,55.0,6/,Dayton
0,3,26,27,89,-0.011,26,3,8,32,8,3,10,0,37.0,1,Rhode Island
0,4,48,19,141,0.206,46,5,6,63,7,3,14,0,63.0,0,Fordham
0,3,28,19,81,0.111,27,3,9,29,5,0,6,1,34.0,1,VCU
0,5,82/,34,232/,0.207,78/,8,11,123/,6,4,12,2,100.0/,4,Davidson
0,5,45,30,156,0.096,45,9,9,66,4,3,14,0,64.0,2,George Washington
0,3,35,29,134,0.045,35,1,5,54,1,2,4,0,40.0,1,Davidson
0,4,49,23,125,0.208,46,3,11,56,6,5,4,1,59.0,2,VCU
1,5,56,22,160,0.212,53,7,13,79,6,1,14,1,71.0,1,Duquesne
1,5,60,21,178,0.219,55,3,13,88,9,5,10,6,73.0,3,La Salle
1,5,45,21,148,0.162,42,2,14,78,6,0,18,3,56.0,1,Fordham
0,3,22,21,80,0.013,21,1,9,26,4,2,10,2,30.0,0,Rhode Island
0,5,54,28,153,0.170,53,3,8,63,6,1,19,1,67.5,1,George Washington
