Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,4,50,22,141,0.199,45,11,5,58,6,2,14,1,70.0,3,Duquesne
1,3,42,16,106,0.245,40,4,7,49,5,4,10,1,55.0,1,Central Mich.
0,4,54,25,145,0.200,53,5,4,75,10,2,14,2,68.0,1,Southern Ill.
1,4,50,19,135,0.230,48,7,7,48,3,2,16,0,67.0,3,Ball St.
0,3,28,20,101,0.079,27,2,2,37,2,0,2,0,31.0,1,Marquette
0,3,41,19,110,0.200,35,1,5,36,6,0,8,2,46.0,1,Cincinnati
0,3,23,14,94,0.096,21,0,3,36,4,2,6,6,28.0,0,Wichita St.
0,3,14,13,92,0.011,14,0,2,32,4,2,6,4,19.0,0,Ohio St.
1,5,58,30,195,0.144,52,5,4,90,3,3,16,3,74.0,0,Green Bay
0,4,48,18,150,0.200,45,2,6,78,4,1,24,5,63.0,1,Missouri St.
1,3,43,15,133,0.211,42,5,4,72,3,0,16,1,56.0,1,McNeese
0,3,34,20,111,0.126,30,3,1,47,7,1,12,0,44.0,0,Dayton
0,4,44,19,135,0.185,41,5,6,45,2,3,12,3,58.0,0,Cleveland St.
0,3,28,16,88,0.136,25,3,4,24,2,1,12,0,38.0,0,Arkansas St.
0,3,27,13,101,0.139,24,3,3,50,8,0,14,0,37.0,0,Indiana
1,3,46,13,114,0.289,41,3,3,54,4,1,14,1,57.0,0,South Dakota St.
0,3,33,18,111,0.135,30,3,3,36,6,4,4,1,42.0,3,North Dakota St.
1,3,39,14,109,0.229,36,8,6,50,4,1,4,0,50.0,2,Western Ill.
0,4,49,23,153,0.170,47,1,6,55,4,2,12,2,58.0,0,Denver
0,3,27,16,123,0.089,27,1,2,64,4,4,6,0,35.0,0,South Dakota
1,3,42,9,111,0.297,40,5,6,45,8,2,10,1,54.0,2,Omaha
1,4,55,14,132,0.311,53,6,4,53,9,4,18,0,74.0,2,Oral Roberts
1,5,67,25,177,0.237,67,4,7,82,4,6,8,1,81.0,0,Purdue Fort Wayne
1,3,44,18,112,0.232,40,5,4,50,1,2,4,0,53.0,1,Omaha
1,3,38,9,81,0.358,35,5,3,45,4,6,18,1,58.0,0,South Dakota St.
0,5,54,30,159,0.151,50,6,2,69,9,5,8,1,69.0,1,Denver
0,3,31,16,111,0.135,31,1,5,47,4,1,6,2,36.0,0,Purdue Fort Wayne
0,3,43,13,121,0.248,42,3,4,54,9,1,12,1,53.0,1,South Dakota
0,3,34,18,117,0.137,33,1,4,42,3,0,8,2,39.0,1,North Dakota St.
1,3,47,10,92,0.402,45,1,6,41,4,1,10,0,54.0,3,Western Ill.
0,3,46,11,122,0.287,41,2,7,53,5,3,10,3,56.0,0,Oral Roberts
0,4,50,21,167,0.174,46,4,6,68,7,4,6,1,61.0,0,North Dakota St.
