Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,4,39,27,140,0.086,38,6,10,61,9,5/,6,1,53.0,0,Central Conn. St.
0,4,35,26,114,0.079,31,5,11,48,7,0,8,2,44.0,3,Fordham
0,5,50,23,153,0.176,48,5,13,56,12,0,20,2,65.0,2,Lehigh
0,4,47,24,124,0.185,43,8,7,45,6,4,4,0,61.0,5,Rutgers
0,3,19,21,70,-0.029,18,3,2,27,11,1,6,0,26.0,2,Yale
0,4,43,18,129,0.194,43,9,9,51,5,2,10,2,59.0,1,Stony Brook
1,3,43,14,109,0.266,41,7,16,50,2,0,6,1,53.0,1,St. Francis Brooklyn
0,4,36,23,133,0.098,33,11,12,51,3,1,10,1,53.0,1,Manhattan
0,3,30,14,91,0.176,29,2,11,35,7,0,10,1,37.0,1,Navy
0,3,26,18,104,0.077,25,0,8,31,3,2,10,0,33.0,4,Eastern Ky.
0,3,30,24,102,0.059,30,1,8,39,5,0,4,0,33.0,2,Quinnipiac
0,3,28,26,108,0.019,27,2,7,42,4,3,8,3,37.0,0,Fairfield
1,3,45,14,107,0.290,43,9,13,51,1,2,4,3,58.0,0,NJIT
0,4,43,31,151,0.079,41,7,11,60,4,1,4,2,53.0,2,Marist
1,3,44,17,121,0.223,42,5,13,69,2,4,6,1,56.0,0,Siena
0,3,24,16,84,0.095,21,1,11,33,9,2,8,3,31.0,1,Niagara
0,5,59,34,182,0.137,50,7,14,67,8,1,18,2,76.0,4,Canisius
0,4,42,28,153,0.092,40,8,6,58,8,0,4,3,52.0,3,Rider
0,4,44,24,137,0.146,42,5,14,60,12,0,10,0,54.0,4,Quinnipiac
0,3,38,18,122,0.164,37,2,6,53,4,2,4,2,44.0,0,Fairfield
1,5,59,39/,205/,0.098,54,7,13,94,8,3,22,1,80.0,1,Manhattan
0,5,57,28,170,0.171,52,7,13,72,9,2,6,2,69.0,7,Rider
0,3,27,17,91,0.110,25,2,6,30,5,1,14,3,37.0,0,Siena
0,3,28,20,101,0.079,28,6,6,46,7,0,4,2,36.0,2,Marist
1,3,41,10,110,0.282,38,8,8,48,3,2,2,1,52.0,1,Canisius
0,5,50,32,199,0.090,47,11,14,94,6,0,10,0,66.0,6,Niagara
