Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
212.72,169.41,97.72,88.76,606.06,507.71,0.55,0.52,238.47,202.77,36.46,34.5,61.36,43.53,268.59,238.4,39.83,39.75,10.8,13.83,73.67,45.91,11.4,9.55,303.31,279.19,12.4,16.7,1,3,43,9,83,0.410,39,7,7,34,2,0,8,0,54.0,0,Morgan St.
212.72,243.0,97.72,100.0,606.06,654.05,0.55,0.44,238.47,286.0,36.46,46.67,61.36,53.21,268.59,291.83,39.83,38.43,10.8,27.86,73.67,95.92,11.4,16.82,303.31,346.58,12.4,17.0,1,3,43,15,101,0.277,41,8,11,43,5,0,4,1,53.0,1,Quinnipiac
212.72,233.76,97.72,120.59,606.06,706.29,0.55,0.54,238.47,283.69,36.46,47.36,61.36,58.23,268.59,337.4,39.83,49.73,10.8,13.0,73.67,93.73,11.4,15.42,303.31,341.83,12.4,19.5,1,3,42,11,103,0.301,38,2,11,43,3,1,12,2,51.0,1,NJIT
212.72,175.71,97.72,93.29,606.06,563.12,0.55,0.46,238.47,184.13,36.46,31.87,61.36,43.4,268.59,264.31,39.83,37.79,10.8,10.2,73.67,45.64,11.4,9.0,303.31,242.91,12.4,7.55,1,3,37,11,78,0.333,36,9,3,47,2,1,4,0,49.0,0,Lafayette
212.72,208.53,97.72,93.65,606.06,598.0,0.55,0.37,238.47,218.0,36.46,31.29,61.36,38.47,268.59,288.67,39.83,30.64,10.8,11.64,73.67,83.0,11.4,15.0,303.31,285.47,12.4,9.67,1,3,45,15,114,0.263,41,5,7,55,4,2,12,1,58.0,1,Binghamton
212.72,248.41,97.72,113.65,606.06,720.47,0.55,0.43,238.47,263.93,36.46,46.42,61.36,60.15,268.59,337.13,39.83,55.44,10.8,12.36,73.67,83.0,11.4,12.0,303.31,338.38,12.4,16.57,1,4,57,22,131,0.267,53,4,8,66,8,0,12,1,67.0,3,Niagara
212.72,243.0,97.72,100.0,606.06,654.05,0.55,0.44,238.47,286.0,36.46,46.67,61.36,53.21,268.59,291.83,39.83,38.43,10.8,27.86,73.67,95.92,11.4,16.82,303.31,346.58,12.4,17.0,0,5,60,28,160,0.200,60,8,16,65,5,1,16,0,77.0,0,Quinnipiac
212.72,235.8,97.72,102.4,606.06,718.07,0.55,0.69,238.47,255.08,36.46,38.45,61.36,48.86,268.59,343.79,39.83,31.93,10.8,13.3,73.67,69.64,11.4,9.92,303.31,344.31,12.4,17.17,0,3,37,25,106,0.113,35,2,14,35,6,1,12,2,46.0,0,Holy Cross
212.72,246.83,97.72,112.94,606.06,732.56,0.55,0.51,238.47,296.64,36.46,40.25,61.36,53.42,268.59,332.29,39.83,33.4,10.8,11.5,73.67,85.85,11.4,15.08,303.31,349.94,12.4,8.55,0,4,48,33,146,0.103,46,4,12,67,5,1,8,2,57.0,2,Providence
212.72,256.27,97.72,129.33,606.06,806.13,0.55,0.46,238.47,253.86,36.46,34.58,61.36,35.08,268.59,387.36,39.83,42.25,10.8,14.18,73.67,83.17,11.4,12.92,303.31,351.0,12.4,9.83,1,5,56,30,202,0.129,53,3,7,88,3,2,8,2,65.0,5,Fairleigh Dickinson
212.72,166.45,97.72,64.86,606.06,498.68,0.55,0.39,238.47,241.71,36.46,34.46,61.36,36.6,268.59,283.17,39.83,47.6,10.8,13.12,73.67,57.67,11.4,13.0,303.31,240.05,12.4,12.86,0,3,32,19,121,0.107,30,3,9,51,3,1,15,0,43.5,0,Penn
212.72,245.39,97.72,92.83,606.06,659.28,0.55,0.58,238.47,275.87,36.46,34.77,61.36,51.86,268.59,338.2,39.83,36.33,10.8,12.0,73.67,101.7,11.4,11.36,303.31,343.59,12.4,6.5,0,4,43,12,113,0.274,42,8,18,47,7,1,8,0,56.0,1,Villanova
212.72,312.4,97.72,121.33,606.06,822.93,0.55,0.6,238.47,314.07,36.46,34.25,61.36,55.17,268.59,364.93,39.83,42.67,10.8,12.5,73.67,87.92,11.4,11.08,303.31,415.61,12.4,10.78,0,4,40,24,135,0.119,37,3,16,58,4,2,6,1,48.0,1,Temple
212.72,223.76,97.72,110.29,606.06,637.06,0.55,0.47,238.47,236.6,36.46,40.14,61.36,51.67,268.59,278.25,39.83,42.85,10.8,10.78,73.67,72.77,11.4,13.08,303.31,308.5,12.4,16.75,0,4,41,23,120,0.150,35,2,22,39,6,2,8,0,49.0,1,Fordham
212.72,233.0,97.72,105.0,606.06,611.2,0.55,0.13,238.47,299.82,36.46,48.78,61.36,76.89,268.59,278.15,39.83,42.9,10.8,17.86,73.67,107.4,11.4,22.14,303.31,353.54,12.4,12.17,0,3,21,18,77,0.039,21,5,8,29,10,0,10,2,31.0,4,Rhode Island
212.72,212.32,97.72,97.05,606.06,626.32,0.55,0.5,238.47,251.0,36.46,36.42,61.36,38.15,268.59,296.71,39.83,38.85,10.8,22.7,73.67,84.86,11.4,12.92,303.31,311.29,12.4,15.5,0,5,59,33,186,0.140,56,11,7,90,10,3,0,3,73.0,2,Davidson
212.72,263.65,97.72,121.47,606.06,726.29,0.55,0.52,238.47,321.85,36.46,40.08,61.36,55.77,268.59,330.73,39.83,36.67,10.8,12.42,73.67,104.54,11.4,14.25,303.31,386.1,12.4,14.42,0,3,30,19,107,0.103,28,2,5,42,3,0,4,1,34.0,2,VCU
