Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
254.0,205.73,107.0,108.53,728.31,613.47,0.51,0.57,253.67,223.38,38.25,28.45,42.46,38.5,320.87,319.67,37.85,29.92,19.78,7.33,139.7,68.91,31.22,13.27,415.35,274.57,12.0,14.12,0,5,51,23,151,0.185,50,7,15,60,9,1,28,3,73.0,2,Montana
254.0,242.18,107.0,94.82,728.31,649.76,0.51,0.46,253.67,258.93,38.25,35.29,42.46,54.27,320.87,291.94,37.85,30.71,19.78,12.5,139.7,97.36,31.22,15.36,415.35,329.47,12.0,18.0,0,3,16,22,78,-0.077,14,5,4,24,12,2,16,5,31.0,0,UTSA
254.0,313.2,107.0,125.47,728.31,894.87,0.51,0.56,253.67,339.31,38.25,38.2,42.46,52.25,320.87,431.57,37.85,29.17,19.78,14.12,139.7,125.0,31.22,16.12,415.35,415.57,12.0,13.22,0,3,19,15,79,0.051,18,0,8,32,3,4,26,4,36.0,2,SMU
254.0,219.2,107.0,82.65,728.31,557.55,0.51,0.6,253.67,241.53,38.25,20.86,42.46,31.93,320.87,249.22,37.85,23.92,19.78,13.3,139.7,83.07,31.22,15.0,415.35,283.71,12.0,6.0,0,4,40,26,135,0.104,37,6,1,40,7,6,14,0,59.0,1,Oklahoma
254.0,179.87,107.0,110.67,728.31,569.13,0.51,0.05,253.67,176.64,38.25,35.42,42.46,37.42,320.87,238.27,37.85,33.86,19.78,25.38,139.7,50.0,31.22,8.89,415.35,257.21,12.0,12.6,1,3,35,6,76,0.382,32,16/,3,24,3,0,22,4,62.0,1,Ark.-Pine Bluff
254.0,301.75,107.0,130.62,728.31,776.88,0.51,0.6,253.67,324.07,38.25,41.64,42.46,60.0,320.87,314.67,37.85,33.54,19.78,19.0,139.7,106.42,31.22,14.82,415.35,406.37,12.0,4.0,0,4,44,15,110,0.264,42,4,7,40,8,0,12,2,54.0,0,Mississippi St.
254.0,271.13,107.0,126.8,728.31,760.07,0.51,0.67,253.67,291.92,38.25,32.54,42.46,46.5,320.87,329.79,37.85,40.5,19.78,16.0,139.7,77.0,31.22,26.7,415.35,364.0,12.0,10.0,1,3,49,7,92,0.457,45,4,6,22,2,3,10,0,61.0,0,UT Martin
254.0,236.6,107.0,104.93,728.31,645.6,0.51,0.51,253.67,254.62,38.25,43.0,42.46,43.92,320.87,298.46,37.85,34.73,19.78,19.0,139.7,60.83,31.22,11.45,415.35,350.62,12.0,24.89,1,4,43,24,126,0.151,42,5,8,49,4,11/,19,2,68.5,0,Florida A&M
254.0,276.56,107.0,117.28,728.31,775.61,0.51,0.53,253.67,331.71,38.25,35.67,42.46,47.87,320.87,348.0,37.85,35.17,19.78,12.7,139.7,138.42,31.22,14.75,415.35,397.72,12.0,7.0,0,3,31,16,102,0.147,28,4,5,37,9,3,16,3,46.0,1,Baylor
254.0,327.0,107.0,130.73,728.31,871.53,0.51,0.51,253.67,329.21,38.25,28.23,42.46,40.38,320.87,390.64,37.85,36.1,19.78,19.1,139.7,134.64,31.22,12.23,415.35,443.11,12.0,13.8,0,3,23,17,103,0.058,23,1,5,34,4,2,18,4,35.0,1,Florida St.
