Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
272.12,236.6,112.88,104.93,711.47,645.6,0.67,0.51,290.47,254.62,36.43,43.0,54.0,43.92,295.38,298.46,42.75,34.73,14.44,19.0,104.17,60.83,11.2,11.45,392.73,350.62,11.78,24.89,1,3,45,12,99,0.333,44,4,2,46,1,2,19,1,60.5,2,Florida A&M
272.12,191.89,112.88,86.21,711.47,523.26,0.67,0.57,290.47,198.12,36.43,36.18,54.0,33.5,295.38,230.29,42.75,33.71,14.44,15.42,104.17,67.6,11.2,8.75,392.73,278.59,11.78,20.43,1,3,43,11,85,0.376,41,10,9,41,1,1,10,2,59.0,1,FIU
272.12,250.12,112.88,98.29,711.47,663.76,0.67,0.41,290.47,284.21,36.43,34.67,54.0,47.46,295.38,317.67,42.75,36.11,14.44,27.9,104.17,67.62,11.2,10.73,392.73,384.75,11.78,13.2,0,3,31,19,93,0.129,31,3,6,32,11,0,6,1,37.0,0,Coastal Carolina
272.12,273.94,112.88,110.25,711.47,677.06,0.67,0.65,290.47,294.14,36.43,37.58,54.0,57.21,295.38,278.67,42.75,38.11,14.44,16.56,104.17,87.45,11.2,22.18,392.73,364.27,11.78,18.5,0,4,37,27,106,0.094,36,2,4,37,10,0,14,2,46.0,2,Lipscomb
272.12,242.18,112.88,94.82,711.47,649.76,0.67,0.46,290.47,258.93,36.43,35.29,54.0,54.27,295.38,291.94,42.75,30.71,14.44,12.5,104.17,97.36,11.2,15.36,392.73,329.47,11.78,18.0,1,5,63,25,144,0.264,55,8,15,59,10,0,12,4,77.0,0,UTSA
272.12,260.21,112.88,84.42,711.47,648.79,0.67,0.27,290.47,357.38,36.43,28.75,54.0,56.93,295.38,320.12,42.75,26.08,14.44,12.55,104.17,110.08,11.2,19.9,392.73,405.83,11.78,8.5,0,3,25,13,79,0.152,24,3,6,31,4,0,2,1,29.0,2,Texas
272.12,255.63,112.88,98.42,711.47,676.63,0.67,0.74,290.47,328.86,36.43,30.08,54.0,44.31,295.38,311.65,42.75,23.0,14.44,13.7,104.17,129.45,11.2,16.5,392.73,404.47,11.78,7.8,0,3,39,15,102,0.235,38,3,7,26,5,2,8,3,48.0,0,Kansas St.
272.12,242.21,112.88,108.32,711.47,663.21,0.67,0.52,290.47,290.27,36.43,33.15,54.0,53.27,295.38,284.44,42.75,44.5,14.44,18.46,104.17,80.77,11.2,19.08,392.73,341.06,11.78,8.62,1,5,57,30,145,0.186,52,2,4,67,7,2,29,1,75.5,0,Loyola Chicago
272.12,301.75,112.88,130.62,711.47,776.88,0.67,0.6,290.47,324.07,36.43,41.64,54.0,60.0,295.38,314.67,42.75,33.54,14.44,19.0,104.17,106.42,11.2,14.82,392.73,406.37,11.78,4.0,1,4,50,23,128,0.211,46,12,8,56,6,0,24,1,74.0,0,Mississippi St.
272.12,240.84,112.88,103.95,711.47,719.89,0.67,0.47,290.47,326.62,36.43,32.93,54.0,48.21,295.38,401.13,42.75,39.58,14.44,18.4,104.17,83.29,11.2,9.62,392.73,341.41,11.78,20.4,0,5,50,33,164,0.104,48,3,7,71,6,2,16,1,63.0,3,Delaware
272.12,284.47,112.88,103.94,711.47,724.76,0.67,0.61,290.47,342.46,36.43,42.9,54.0,58.75,295.38,339.0,42.75,38.7,14.44,30.44,104.17,101.91,11.2,12.0,392.73,435.68,11.78,9.33,0,4,50,17,155,0.213,48,3,9,62,5,2,10,1,60.0,3,Missouri
272.12,248.71,112.88,111.12,711.47,716.94,0.67,0.43,290.47,265.87,36.43,33.29,54.0,38.0,295.38,351.73,42.75,43.0,14.44,14.3,104.17,81.15,11.2,15.45,392.73,335.28,11.78,10.2,1,4,60,18,160,0.263,53,10,9,66,3,0,14,0,77.0,1,Duquesne
272.12,327.0,112.88,130.73,711.47,871.53,0.67,0.51,290.47,329.21,36.43,28.23,54.0,40.38,295.38,390.64,42.75,36.1,14.44,19.1,104.17,134.64,11.2,12.23,392.73,443.11,11.78,13.8,0,3,31,21,105,0.095,28,4,6,26,3,1,4,1,38.0,0,Florida St.
272.12,226.16,112.88,90.32,711.47,671.42,0.67,0.47,290.47,272.47,36.43,38.0,54.0,43.07,295.38,334.06,42.75,29.38,14.44,13.67,104.17,103.62,11.2,16.3,392.73,328.68,11.78,12.3,0,3,34,12,102,0.216,34,3,9,40,8,1,8,0,42.0,2,Notre Dame
272.12,234.61,112.88,105.72,711.47,659.17,0.67,0.52,290.47,247.25,36.43,29.57,54.0,37.53,295.38,285.59,42.75,28.33,14.44,10.3,104.17,96.08,11.2,13.58,392.73,332.28,11.78,15.89,1,3,30,13,86,0.198,28,6,7,37,5,1,22,0,48.0,1,Boston College
272.12,260.44,112.88,115.94,711.47,758.06,0.67,0.52,290.47,278.43,36.43,25.54,54.0,47.46,295.38,348.47,42.75,26.27,14.44,16.9,104.17,111.67,11.2,17.08,392.73,355.87,11.78,10.5,0,4,63,24,163,0.239,56,7,10,63,4,0,8,1,74.0,1,Syracuse
272.12,279.53,112.88,115.18,711.47,762.12,0.67,0.58,290.47,281.88,36.43,36.18,54.0,54.38,295.38,346.38,42.75,30.83,14.44,9.0,104.17,115.92,11.2,14.0,392.73,372.09,11.78,13.62,0,4,44,21,150,0.153,40,4,9,61,4,3,10,0,56.0,0,NC State
272.12,245.55,112.88,91.95,711.47,650.25,0.67,0.58,290.47,285.5,36.43,30.85,54.0,42.0,295.38,307.06,42.75,26.0,14.44,10.75,104.17,119.21,11.2,13.17,392.73,330.29,11.78,15.5,0,3,32,26,109,0.055,30,3,8,37,6,0,2,1,36.0,1,North Carolina
272.12,278.28,112.88,110.11,711.47,712.44,0.67,0.29,290.47,360.23,36.43,46.92,54.0,51.87,295.38,319.75,42.75,39.77,14.44,15.5,104.17,118.85,11.2,13.92,392.73,382.32,11.78,13.83,0,4,48,23,123,0.203,45,7,13,39,5,4,16,0,67.0,1,Pittsburgh
272.12,214.1,112.88,88.65,711.47,596.9,0.67,0.55,290.47,233.47,36.43,27.29,54.0,43.18,295.38,273.37,42.75,39.0,14.44,13.15,104.17,77.14,11.2,13.0,392.73,298.61,11.78,15.3,1,3,38,10,89,0.315,38,4,10,35,5,5,18,0,56.0,0,Virginia Tech
272.12,327.0,112.88,130.73,711.47,871.53,0.67,0.51,290.47,329.21,36.43,28.23,54.0,40.38,295.38,390.64,42.75,36.1,14.44,19.1,104.17,134.64,11.2,12.23,392.73,443.11,11.78,13.8,0,3,27,26,103,0.010,26,1,7,25,2,0,10,0,33.0,0,Florida St.
272.12,233.11,112.88,97.84,711.47,639.74,0.67,0.59,290.47,275.67,36.43,38.08,54.0,52.54,295.38,282.24,42.75,49.1,14.44,17.0,104.17,93.71,11.2,18.22,392.73,358.06,11.78,16.0,1,3,48,11,94,0.394,45,3,8,37,3,2,12,2,59.0,0,Virginia
272.12,226.16,112.88,90.32,711.47,671.42,0.67,0.47,290.47,272.47,36.43,38.0,54.0,43.07,295.38,334.06,42.75,29.38,14.44,13.67,104.17,103.62,11.2,16.3,392.73,328.68,11.78,12.3,1,5,73,30,191,0.225,70,4,13,91,9,0,11,0,82.5,2,Notre Dame
272.12,233.28,112.88,104.22,711.47,646.94,0.67,0.49,290.47,260.73,36.43,29.79,54.0,54.29,295.38,280.65,42.75,32.31,14.44,11.11,104.17,108.64,11.2,14.5,392.73,312.56,11.78,16.43,1,5,71,28,161,0.267,68,6,11,67,6,2,12,0,85.0,1,Louisville
272.12,245.55,112.88,91.95,711.47,650.25,0.67,0.58,290.47,285.5,36.43,30.85,54.0,42.0,295.38,307.06,42.75,26.0,14.44,10.75,104.17,119.21,11.2,13.17,392.73,330.29,11.78,15.5,0,4,53,25,141,0.199,50,3,10,55,7,1,8,2,61.0,3,North Carolina
272.12,279.53,112.88,115.18,711.47,762.12,0.67,0.58,290.47,281.88,36.43,36.18,54.0,54.38,295.38,346.38,42.75,30.83,14.44,9.0,104.17,115.92,11.2,14.0,392.73,372.09,11.78,13.62,0,4,51,15,106,0.340,47,6,16,26,12/,0,4,0,59.0,2,NC State
272.12,260.44,112.88,115.94,711.47,758.06,0.67,0.52,290.47,278.43,36.43,25.54,54.0,47.46,295.38,348.47,42.75,26.27,14.44,16.9,104.17,111.67,11.2,17.08,392.73,355.87,11.78,10.5,1,4,55,23,128,0.250,53,10,9,49,2,0,12,1,71.0,0,Syracuse
272.12,234.61,112.88,105.72,711.47,659.17,0.67,0.52,290.47,247.25,36.43,29.57,54.0,37.53,295.38,285.59,42.75,28.33,14.44,10.3,104.17,96.08,11.2,13.58,392.73,332.28,11.78,15.89,1,4,49,15,113,0.301,49,8,8,43,5,1,28,1,72.0,1,Boston College
272.12,311.67,112.88,145.6,711.47,839.33,0.67,0.58,290.47,363.17,36.43,36.42,54.0,51.62,295.38,359.79,42.75,45.5,14.44,30.38,104.17,119.2,11.2,27.89,392.73,425.07,11.78,19.38,1,4,57,24,138,0.239,52,9,8,46,6,1,19,0,76.5,0,Wake Forest
272.12,267.39,112.88,104.89,711.47,759.33,0.67,0.51,290.47,282.88,36.43,29.6,54.0,36.07,295.38,366.76,42.75,23.08,14.44,13.55,104.17,101.77,11.2,13.8,392.73,369.97,11.78,17.14,0,5,69,25,176,0.250,66,4,9,61,3,1,10,0,79.0,0,Duke
272.12,300.62,112.88,126.69,711.47,842.06,0.67,0.57,290.47,378.33,36.43,31.54,54.0,43.92,295.38,449.62,42.75,31.83,14.44,22.3,104.17,101.17,11.2,14.18,392.73,432.14,11.78,14.5,0,5,68,31,202,0.183,65,5,13,90,4,3,4,0,78.0,2,Georgia Tech
272.12,249.65,112.88,111.0,711.47,686.35,0.67,0.72,290.47,284.43,36.43,34.0,54.0,56.07,295.38,287.06,42.75,33.57,14.44,12.73,104.17,92.58,11.2,14.55,392.73,358.77,11.78,10.58,1,4,61,21,136,0.294,60,9,12,62,4,0,8,0,74.0,0,Clemson
