Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
284.47,228.78,103.94,96.5,724.76,651.0,0.61,0.49,342.46,259.47,42.9,33.77,58.75,51.27,339.0,301.47,38.7,29.71,30.44,16.3,101.91,88.91,12.0,20.18,435.68,325.56,9.33,12.25,1,5,55,24,148,0.209,53,6,15,62,3,5,20,1,76.0,1,Kennesaw St.
284.47,278.28,103.94,110.11,724.76,712.44,0.61,0.29,342.46,360.23,42.9,46.92,58.75,51.87,339.0,319.75,38.7,39.77,30.44,15.5,101.91,118.85,12.0,13.92,435.68,382.32,9.33,13.83,1,4,50,19,129,0.240,42,11,5,50,1,3,20,0,74.0,4,Pittsburgh
284.47,272.47,103.94,129.0,724.76,782.0,0.61,0.48,342.46,272.57,42.9,32.0,58.75,38.14,339.0,358.93,38.7,37.3,30.44,14.82,101.91,96.67,12.0,7.73,435.68,374.71,9.33,11.56,1,3,45,18,123,0.220,39,2,7,50,1,1,12,3,54.0,1,Liberty
284.47,293.17,103.94,112.67,724.76,754.39,0.61,0.64,342.46,311.12,42.9,29.23,58.75,54.42,339.0,346.94,38.7,24.77,30.44,14.22,101.91,100.14,12.0,16.83,435.68,381.53,9.33,10.6,0,5,58,21,147,0.252,54,4,4,55,5,2,18,0,73.0,2,Utah
284.47,275.0,103.94,100.89,724.76,746.17,0.61,0.59,342.46,289.0,42.9,25.0,58.75,35.75,339.0,361.81,38.7,32.67,30.44,22.09,101.91,96.5,12.0,16.2,435.68,357.18,9.33,15.6,1,4,73,14,137,0.431,59,3,7,38,6,2,4,0,80.0,3,Rice
284.47,315.8,103.94,136.33,724.76,911.53,0.61,0.67,342.46,341.69,42.9,47.0,58.75,43.15,339.0,432.21,38.7,37.75,30.44,13.88,101.91,120.1,12.0,9.6,435.68,451.65,9.33,7.89,1,4,58,23,144,0.243,51,5,10,55,7,3,10,0,71.0,0,Idaho St.
284.47,335.71,103.94,129.0,724.76,886.43,0.61,0.69,342.46,397.91,42.9,38.64,58.75,52.0,339.0,399.38,38.7,33.08,30.44,20.43,101.91,119.45,12.0,18.36,435.68,455.77,9.33,15.4,1,4,59,22,143,0.259,56,6,6,52,5,6,10,1,76.0,0,Boise St.
284.47,222.71,103.94,79.76,724.76,575.05,0.61,0.53,342.46,257.06,42.9,30.54,58.75,44.38,339.0,286.41,38.7,26.0,30.44,13.9,101.91,98.33,12.0,17.27,435.68,313.18,9.33,8.5,0,3,37,14,95,0.242,36,2,7,32,8,2,18,0,50.0,0,BYU
284.47,248.71,103.94,111.12,724.76,716.94,0.61,0.43,342.46,265.87,42.9,33.29,58.75,38.0,339.0,351.73,38.7,43.0,30.44,14.3,101.91,81.15,12.0,15.45,435.68,335.28,9.33,10.2,1,3,43,8,85,0.412,39,3,7,41,1,1,18,2,56.0,1,Duquesne
284.47,240.84,103.94,103.95,724.76,719.89,0.61,0.47,342.46,326.62,42.9,32.93,58.75,48.21,339.0,401.13,38.7,39.58,30.44,18.4,101.91,83.29,12.0,9.62,435.68,341.41,9.33,20.4,1,3,41,13,89,0.315,37,5,6,44,5,2,14,1,55.0,0,Delaware
284.47,206.6,103.94,79.45,724.76,529.2,0.61,0.51,342.46,255.07,42.9,26.2,58.75,41.33,339.0,236.39,38.7,30.0,30.44,15.64,101.91,76.77,12.0,12.08,435.68,273.47,9.33,5.33,1,3,45,9,98,0.367,44,8,4,54,1,3,10,0,61.0,2,South Carolina
284.47,281.29,103.94,119.12,724.76,769.0,0.61,0.54,342.46,317.86,42.9,29.0,58.75,51.85,339.0,373.2,38.7,32.55,30.44,20.8,101.91,96.64,12.0,16.22,435.68,393.23,9.33,15.67,1,3,44,14,105,0.286,39,4,6,46,4,3,6,0,54.0,0,Ole Miss
284.47,277.6,103.94,121.07,724.76,755.47,0.61,0.14,342.46,327.5,42.9,31.36,58.75,59.69,339.0,351.38,38.7,37.8,30.44,14.11,101.91,113.82,12.0,17.18,435.68,375.86,9.33,14.25,1,3,48,11,85,0.435,40,5,2,36,3,1,6,1,57.0,2,Arkansas
284.47,225.5,103.94,96.44,724.76,638.11,0.61,0.56,342.46,267.71,42.9,26.15,58.75,48.29,339.0,302.25,38.7,34.4,30.44,13.08,101.91,70.93,12.0,11.25,435.68,297.21,9.33,10.25,1,3,41,12,96,0.302,38,2,5,47,4,2,20,0,55.0,0,LSU
284.47,252.84,103.94,105.79,724.76,704.47,0.61,0.49,342.46,280.56,42.9,38.92,58.75,60.73,339.0,315.61,38.7,31.92,30.44,17.9,101.91,83.75,12.0,18.08,435.68,350.15,9.33,6.67,1,3,40,11,99,0.293,37,7,5,49,4,3,4,1,52.0,0,Auburn
284.47,277.6,103.94,121.07,724.76,755.47,0.61,0.14,342.46,327.5,42.9,31.36,58.75,59.69,339.0,351.38,38.7,37.8,30.44,14.11,101.91,113.82,12.0,17.18,435.68,375.86,9.33,14.25,1,3,34,15,90,0.211,29,6,5,35,2,7,12,0,53.0,0,Arkansas
284.47,255.32,103.94,104.68,724.76,673.42,0.61,0.53,342.46,344.54,42.9,37.91,58.75,55.36,339.0,309.53,38.7,29.79,30.44,19.18,101.91,74.0,12.0,15.0,435.68,374.81,9.33,11.91,1,5,65,26,165,0.236,61,3,11,64,3,4,16,2,80.0,0,Alabama
284.47,225.5,103.94,96.44,724.76,638.11,0.61,0.56,342.46,267.71,42.9,26.15,58.75,48.29,339.0,302.25,38.7,34.4,30.44,13.08,101.91,70.93,12.0,11.25,435.68,297.21,9.33,10.25,1,3,34,16,82,0.220,26,5,8,35,2,4,22,0,54.0,1,LSU
284.47,268.69,103.94,107.94,724.76,699.56,0.61,0.54,342.46,332.0,42.9,33.9,58.75,52.92,339.0,299.4,38.7,29.4,30.44,19.75,101.91,110.17,12.0,18.42,435.68,363.8,9.33,5.78,1,5,63,29,179,0.190,58,2,8,79,2,8,16,0,81.0,3,Kentucky
284.47,235.47,103.94,95.95,724.76,603.95,0.61,0.51,342.46,260.94,42.9,21.4,58.75,34.29,339.0,267.12,38.7,24.86,30.44,16.33,101.91,118.33,12.0,16.1,435.68,314.0,9.33,8.57,0,4,55,24,165,0.188,50,3,5,72,5,3,12,2,67.0,1,Texas A&M
284.47,301.75,103.94,130.62,724.76,776.88,0.61,0.6,342.46,324.07,42.9,41.64,58.75,60.0,339.0,314.67,38.7,33.54,30.44,19.0,101.91,106.42,12.0,14.82,435.68,406.37,9.33,4.0,1,3,38,13,87,0.287,35,6,9,40,0,6,18,0,59.0,1,Mississippi St.
284.47,198.27,103.94,78.59,724.76,513.23,0.61,0.45,342.46,214.16,42.9,24.44,58.75,44.33,339.0,226.3,38.7,25.07,30.44,14.0,101.91,82.93,12.0,15.0,435.68,275.75,9.33,8.0,1,4,50,13,129,0.287,45,5,9,48,5,3,16,2,66.0,0,Tennessee
284.47,268.69,103.94,107.94,724.76,699.56,0.61,0.54,342.46,332.0,42.9,33.9,58.75,52.92,339.0,299.4,38.7,29.4,30.44,19.75,101.91,110.17,12.0,18.42,435.68,363.8,9.33,5.78,1,3,46,7,102,0.382,45,3,5,38,3,2,8,1,55.0,0,Kentucky
284.47,206.6,103.94,79.45,724.76,529.2,0.61,0.51,342.46,255.07,42.9,26.2,58.75,41.33,339.0,236.39,38.7,30.0,30.44,15.64,101.91,76.77,12.0,12.08,435.68,273.47,9.33,5.33,0,4,56,29,152,0.178,52,6,8,65,2,3,12,3,71.0,0,South Carolina
284.47,252.84,103.94,105.79,724.76,704.47,0.61,0.49,342.46,280.56,42.9,38.92,58.75,60.73,339.0,315.61,38.7,31.92,30.44,17.9,101.91,83.75,12.0,18.08,435.68,350.15,9.33,6.67,1,4,53,15,136,0.279,50,3,9,57,5,4,12,0,66.0,0,Auburn
284.47,213.2,103.94,69.95,724.76,515.1,0.61,0.61,342.46,337.08,42.9,24.62,58.75,41.43,339.0,237.06,38.7,25.6,30.44,13.4,101.91,89.08,12.0,13.75,435.68,311.59,9.33,19.4,1,5,71,16,166,0.331,67,3,9,65,4,0,22,1,85.0,2,Florida
284.47,251.76,103.94,102.29,724.76,670.18,0.61,0.63,342.46,266.33,42.9,34.46,58.75,47.53,339.0,286.06,38.7,37.17,30.44,9.82,101.91,94.75,12.0,14.92,435.68,337.78,9.33,8.88,1,3,45,9,85,0.424,43,3,4,42,3,1,2,1,50.0,0,Georgia
284.47,198.27,103.94,78.59,724.76,513.23,0.61,0.45,342.46,214.16,42.9,24.44,58.75,44.33,339.0,226.3,38.7,25.07,30.44,14.0,101.91,82.93,12.0,15.0,435.68,275.75,9.33,8.0,1,3,40,13,98,0.276,38,8,2,52,4,1,14,1,56.0,0,Tennessee
284.47,236.5,103.94,91.17,724.76,623.61,0.61,0.51,342.46,281.5,42.9,46.8,58.75,54.5,339.0,274.06,38.7,36.5,30.44,22.89,101.91,118.1,12.0,18.18,435.68,345.09,9.33,9.0,1,3,50,8,104,0.404,48,8,4,42,1,2,8,2,64.0,1,Northern Ill.
284.47,336.87,103.94,136.33,724.76,827.13,0.61,0.75,342.46,336.86,42.9,44.11,58.75,62.17,339.0,343.14,38.7,41.3,30.44,23.56,101.91,132.56,12.0,24.22,435.68,481.42,9.33,8.38,1,4,59,14,130,0.346,57,7,6,50,0,4,14,3,77.0,1,Purdue
284.47,275.26,103.94,96.32,724.76,703.63,0.61,0.24,342.46,352.07,42.9,41.67,58.75,42.4,339.0,394.14,38.7,31.36,30.44,13.11,101.91,159.4,12.0,19.0,435.68,383.53,9.33,7.62,0,4,48,20,148,0.189,44,5,3,56,4,5,6,4,61.0,2,Minnesota
