Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,4,67,12,143,0.385,64,5,9,68,1,2,15,3,81.5,0,Florida
1,3,48,14,112,0.304,42,7,4,48,0,1,12,1,62.0,1,Texas
1,3,43,8,90,0.389,36,5,13,35,1,2,21,2,60.5,0,Iowa St.
1,3,41,10,82,0.378,35,4,4,43,2,1,16,3,54.0,0,Oregon St.
1,3,40,15,98,0.255,37,5,8,34,2,1,6,0,49.0,0,Arkansas
1,3,48,15,106,0.311,46,5,8,43,1,1,16,2,62.0,1,New Mexico
1,3,48,6,95,0.442,44,6,6,47,1,2,9,0,60.5,0,Gonzaga
1,3,42,5,68,0.544,40,5,6,33,3,1,10,1,53.0,0,Montana St.
1,4,56,21,143,0.245,53,2,7,66,5,4,20,4,72.0,0,Creighton
1,3,43,17,111,0.234,37,3,4,43,0,3,20,2,59.0,1,Michigan
1,5,68,22,152,0.303,62,7,4,68,6,3,20,5,88.0,0,Michigan St.
1,3,49,17,106,0.302,46,3,5,47,2,1,16,1,61.0,0,Illinois
0,4,45,21,137,0.175,42,3,12,53,4,1,22,2,60.0,0,Ohio St.
1,3,31,13,72,0.250,29,5,3,32,2,0,14,3,43.0,2,Indiana
1,3,42,15,99,0.273,39,2,5,38,1,2,18,2,55.0,0,Purdue
1,4,60,22,159,0.239,57,5,6,83,3,0,14,4,72.0,2,Ohio St.
1,3,40,7,77,0.429,38,4,7,37,1,1,22,2,56.0,1,Maryland
1,3,46,11,106,0.330,44,2,5,48,3,1,18,0,58.0,0,Wisconsin
1,5,76,25,191,0.267,73,2,10,77,5,5,24,5,95.0/,0,Minnesota
1,3,43,21,118,0.186,42,5,4,51,1,1,10,0,54.0,2,Illinois
1,3,42,14,91,0.308,37,4,5,37,2,1,12,1,53.0,0,Northwestern
1,5,73,27,193,0.238,68,2,11,81,1,2,22,0,88.0,2,Penn St.
1,3,41,7,86,0.395,37,6,8,38,1,4,14,0,58.0,1,Rutgers
1,3,49,16,116,0.284,42,2,5,46,1,1,18,3,61.0,1,Iowa
1,3,39,8,85,0.365,31,3,5,33,1,2,14,2,51.0,0,Indiana
1,3,44,13,107,0.290,42,2,8,54,2,2,14,0,55.0,0,Penn St.
1,3,47,15,102,0.314,46,6,2,48,1,1,14,0,61.0,0,Iowa
0,5,66,27,213/,0.183,61,7,11,86,2,2,26,4,88.0,1,Minnesota
1,4,58,24,153,0.222,56,2,5,83,4,1,22,1,72.0,1,Michigan
1,3,50,13,105,0.352,48,4,4,51,1,1,10,1,60.0,0,New Hampshire
1,3,40,15,122,0.205,35,3,2,61,1,1,18,1,53.0,1,TCU
1,5,71,25,180,0.256,60,9,5,78,5,5,19,1,94.5,0,Penn St.
1,3,49,11,87,0.437,48,5,6,43,2,0,14,1,61.0,1,Washington
0,3,43,21,121,0.182,41,2,8,52,1,1,6,2,49.0,1,Texas
