Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,4,42,34,151,0.053,41,5,15,53,6,2,4,0,51.0,1,Navy
0,3,33,21,118,0.102,30,7,7,47,2,0,2,1,41.0,1,Delaware
1,3,47,14,103,0.320,47,3,12,43,1,1,4,0,53.0,0,Coppin St.
0,3,35,19,111,0.144,30,4,9,43,8,0,4,2,41.0,0,Fresno St.
1,5,58,20,169,0.225,57,5,5,82,4,2,10,2,70.0,1,Siena
1,5,69,26,185,0.232,61,6,7,87,5,2,12,2,83.0,3,Boston College
0,3,42,15,120,0.225,39,1,3,52,6,0,10,2,48.0,0,Bryant
1,4,48,24,154,0.156,42,12,5,67,4,1,8,2,65.0,0,Rutgers
0,4,43,20,148,0.155,39,4,9,63,7,4,4,0,53.0,2,Temple
0,4,43,23,144,0.139,40,4,3,56,8,1,10,1,53.0,2,Cleveland St.
1,3,47,13,103,0.330,43,9,9,48,3,0,4,2,58.0,0,Harvard
1,3,45,20,128,0.195,43,7,3,76,3,0,10,1,57.0,2,Holy Cross
1,4,55,23,152,0.211,52,6,3,64,4,1,8,1,66.0,1,Idaho St.
0,4,53,28,165,0.152,49,2,3,76,6,1,24,0,68.0,1,Sacred Heart
0,4,58,25,167,0.198,53,6,9,66,5,2,16,4,74.0,1,Northeastern
1,3,41,12,105,0.276,40,6,4,55,3,1,20,0,58.0,0,UMBC
1,3,38,15,89,0.258,35,5,7,33,2,2,22,2,56.0,0,Stony Brook
1,4,59,15,128,0.344,58,4,12,66,3,1,10,1,69.0,1,Hartford
0,4,41,22,168,0.113,38,7,10,69,5,0,16,0,56.0,1,Binghamton
1,3,39,7,82,0.390,37,8,7,46,8,2,8,2,53.0,1,Delaware St.
1,4,63,20,135,0.319,60,7,13,58,12/,3,12,0,79.0,0,UMES
1,4,61,19,151,0.278,54,8,4,60,4,2,12,1,77.0,4,Stony Brook
1,4,56,23,160,0.206,52,6,3,75,4,2,8,4,68.0,0,UMBC
1,3,40,5,101,0.347,39,4,8,43,2,0,8,2,48.0,0,Hartford
1,4,52,19,143,0.231,48,7,10,66,6,0,6,2,62.0,1,Binghamton
1,3,42,17,132,0.189,39,6,4,54,0,3,4,3,53.0,1,Binghamton
0,3,32,14,103,0.175,32,1,6,39,4,0,4,2,35.0,0,Nebraska
