Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
265.84,261.31,103.32,117.5,773.74,793.69,0.49,0.61,263.56,278.71,31.83,33.46,44.75,51.47,394.71,381.87,24.13,37.5,22.78,11.9,132.0,68.77,15.33,17.31,349.89,345.47,6.5,11.55,1,3,34,6,91,0.308,32,4,5,47,1,3,8,2,45.0,0,Omaha
265.84,281.29,103.32,119.12,773.74,769.0,0.49,0.54,263.56,317.86,31.83,29.0,44.75,51.85,394.71,373.2,24.13,32.55,22.78,20.8,132.0,96.64,15.33,16.22,349.89,393.23,6.5,15.67,0,5,59,15,171,0.257,56,4,10,69,6,5,16,2,76.0,0,Ole Miss
265.84,236.78,103.32,99.94,773.74,662.11,0.49,0.54,263.56,250.56,31.83,25.67,44.75,48.5,394.71,297.59,24.13,33.11,22.78,9.18,132.0,91.07,15.33,12.21,349.89,331.78,6.5,9.22,0,3,33,16,119,0.143,32,1,4,53,3,2,14,0,43.0,0,UC Davis
265.84,257.53,103.32,97.12,773.74,728.53,0.49,0.53,263.56,275.6,31.83,34.5,44.75,48.82,394.71,389.93,24.13,35.5,22.78,11.1,132.0,76.75,15.33,18.3,349.89,335.22,6.5,15.88,0,4,39,22,148,0.115,39,4,2,69,7,0,16,1,51.0,6,South Dakota
265.84,250.69,103.32,119.0,773.74,764.62,0.49,0.62,263.56,266.0,31.83,28.77,44.75,43.69,394.71,353.27,24.13,33.75,22.78,20.44,132.0,95.91,15.33,13.64,349.89,339.77,6.5,12.33,1,3,39,18,111,0.189,38,5,2,59,1,5,4,1,51.0,0,UTEP
265.84,184.0,103.32,76.17,773.74,510.0,0.49,0.45,263.56,220.94,31.83,26.62,44.75,31.84,394.71,234.76,24.13,23.94,22.78,11.67,132.0,82.15,15.33,13.25,349.89,262.6,6.5,11.0,0,3,40,17,116,0.198,37,2,6,43,5,1,8,1,47.0,0,Texas Tech
265.84,245.25,103.32,114.15,773.74,678.1,0.49,0.43,263.56,287.0,31.83,28.43,44.75,32.79,394.71,337.88,24.13,33.71,22.78,27.2,132.0,127.92,15.33,38.0,349.89,333.82,6.5,12.56,1,3,46,17,113,0.257,42,2,4,48,4,2,18,3,59.0,0,Jacksonville St.
265.84,146.19,103.32,100.5,773.74,493.25,0.49,0.48,263.56,141.46,31.83,36.54,44.75,38.5,394.71,216.73,24.13,35.12,22.78,10.9,132.0,32.6,15.33,8.09,349.89,205.73,6.5,12.58,1,3,40,6,78,0.436,37,11,3,44,1,3,4,1,56.0,0,Alcorn
265.84,249.65,103.32,111.0,773.74,686.35,0.49,0.72,263.56,284.43,31.83,34.0,44.75,56.07,394.71,287.06,24.13,33.57,22.78,12.73,132.0,92.58,15.33,14.55,349.89,358.77,6.5,10.58,1,4,52,21,149,0.208,49,5,8,68,4,0,25,1,69.5,0,Clemson
265.84,285.61,103.32,103.72,773.74,798.56,0.49,0.6,263.56,298.56,31.83,30.0,44.75,55.71,394.71,373.76,24.13,32.69,22.78,17.55,132.0,95.73,15.33,12.73,349.89,369.44,6.5,10.75,0,5,60,19,179,0.229,54,3,2,63,6,1,12,0,70.0,1,Tulane
265.84,267.75,103.32,106.5,773.74,729.38,0.49,0.61,263.56,267.13,31.83,31.58,44.75,47.5,394.71,330.27,24.13,25.54,22.78,15.44,132.0,87.5,15.33,18.82,349.89,355.13,6.5,14.67,1,5,58,20,156,0.244,55,4,3,63,3,0,16,2,70.0,0,ETSU
265.84,222.5,103.32,102.5,773.74,651.94,0.49,0.69,263.56,242.71,31.83,34.45,44.75,42.83,394.71,322.36,24.13,30.64,22.78,11.22,132.0,68.36,15.33,17.0,349.89,339.69,6.5,13.4,1,4,51,13,170,0.224,48,4,5,81,3,1,30,0,71.0,3,South Dakota St.
265.84,275.26,103.32,96.32,773.74,703.63,0.49,0.24,263.56,352.07,31.83,41.67,44.75,42.4,394.71,394.14,24.13,31.36,22.78,13.11,132.0,159.4,15.33,19.0,349.89,383.53,6.5,7.62,0,4,42,20,132,0.167,40,4,5,48,4,1,8,4,51.0,1,Minnesota
265.84,252.56,103.32,112.88,773.74,703.88,0.49,0.43,263.56,316.15,31.83,29.67,44.75,45.31,394.71,356.64,24.13,29.08,22.78,16.0,132.0,109.91,15.33,16.33,349.89,340.9,6.5,3.57,0,3,38,17,115,0.183,36,4,4,40,3,0,13,1,48.5,0,Green Bay
265.84,241.28,103.32,108.17,773.74,690.56,0.49,0.5,263.56,274.2,31.83,37.0,44.75,50.92,394.71,360.93,24.13,33.77,22.78,20.89,132.0,87.42,15.33,13.55,349.89,321.32,6.5,13.27,1,3,43,13,112,0.268,40,5,5,56,2,1,18,3,58.0,0,Toledo
