Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,4,54,23,137,0.226,49,6,9,50,4,12/,6,0,75.0,0,DePaul
1,4,50,13,119,0.311,49,5,8,54,8,8,6,2,66.0,0,Loyola Chicago
0,3,34,15,108,0.176,32,2,5,43,3,3,16,3,47.0,0,Iowa
1,3,41,11,89,0.337,40,7,9,26,2,0,8,5,52.0,1,Bradley
1,3,44,19,109,0.229,40,4,3,38,4,1,6,0,52.0,2,South Dakota St.
1,4,51,23,116,0.241,47,7,7,56,7,2,20,2,70.0,1,North Dakota St.
0,3,26,16,81,0.123,26,4,7,24,8,2,10,1,37.0,1,Hawaii
0,5,61,29,180,0.178,56,5,7,67,6,2,21,5,78.5,0,Utah Valley
0,3,28,17,97,0.113,26,1,5,33,4,0,6,4,32.0,0,Washington
1,3,37,16,105,0.200,35,5,6,37,2,3,14,1,52.0,1,Tennessee
1,3,37,8,93,0.312,35,6,3,44,3,0,16,1,51.0,2,James Madison
1,4,54,16,114,0.333,47,8,6,37,3,1,15,2,70.5,0,George Washington
1,4,55,10,129,0.349,46,10,8,52,4,6,8,4,75.0,0,Western Mich.
1,4,47,14,124,0.266,42,3,6,62,3,2,26,2,65.0,0,Bowling Green
1,3,36,13,105,0.219,34,5,2,43,4,3,18,0,53.0,0,Central Mich.
1,3,41,9,90,0.356,37,4,4,42,3,1,10,1,51.0,1,Eastern Mich.
1,3,40,7,82,0.402,35,12,2,37,2,0,12,5,58.0,0,Ball St.
1,5,60,19,160,0.256,55,7,9,73,2,2,22,4,80.0,0,Toledo
1,3,42,12,92,0.326,36,5,9,33,0,1,14,0,55.0,0,Buffalo
1,5,57,19,149,0.255,50,6,10,56,9,0,18,10/,72.0,0,Akron
1,5,63,17,158,0.291,60,2,1,77,10,1,17,0,74.5,0,Ohio
1,5,68,17,165,0.309,60,5,3,86,4,6,14,4,86.0,3,Kent St.
1,4,56,19,133,0.278,53,6,4,65,6,0,18,0,71.0,0,Western Mich.
1,3,37,8,86,0.337,34,8,4,47,4,0,18,2,54.0,0,Eastern Mich.
1,4,44,16,126,0.222,38,8,6,58,3,2,20,3,64.0,0,Central Mich.
1,3,42,13,105,0.276,40,4,6,43,5,3,8,0,53.0,0,Toledo
1,5,63,23,189,0.212,60,7,4,101,8,2,37/,1,90.5,3,Ball St.
1,3,37,10,91,0.297,37,3,7,39,1,2,22,0,53.0,2,Ohio
0,3,34,13,95,0.221,31,1,2,37,8,0,2,3,36.0,0,Missouri
