Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,26,18,81,0.099,21,3,6,24,9,2,2,2,32.0,0,Indiana
1,4,57,24,142,0.232,53,7,2,58,12,2,22,2,77.0,1,Marshall
1,3,43,13,90,0.333,39,7,4,40,3,0,16,0,58.0,0,Evansville
0,3,33,27,112,0.054,32,2,4,42,6,0,4,0,37.0,1,Bowling Green
1,3,46,15,108,0.287,43,3,3,51,4,0,6,1,52.0,2,Purdue Fort Wayne
1,4,56,28,148,0.189,55,6,4,63,5,0,10,1,67.0,0,Ball St.
1,4,56,21,145,0.241,46,10,5,67,4,0,8,0,70.0,0,Morehead St.
0,3,28,25,103,0.029,25,1,6,35,4,0,6,1,32.0,1,Butler
0,3,26,15,79,0.139,22,3,5,29,13/,0,2,0,30.0,0,Arizona
0,5,51,31,145,0.138,49,7,9,48,6,1,6,2,62.0,1,Loyola Chicago
0,5,54,29,171,0.146,51,6,4,72,2,3,16,2,71.0,0,Milwaukee
0,3,37,18,105,0.181,35,0,8,43,5,1,8,2,42.0,0,Green Bay
0,5,63,28,162,0.216,60,5,7,67,4,4,10,2,77.0,0,Cleveland St.
1,3,38,15,82,0.280,36,7,4,38,2,1,14,0,53.0,2,Oakland
1,3,52,13,97,0.402,46,3,9,47,1,1,8,0,60.0,0,Valparaiso
1,3,45,18,124,0.218,44,3,6,63,6,1,14,1,56.0,2,Wright St.
1,3,42,11,92,0.337,39,7,5,49,3,0,2,0,50.0,0,Youngstown St.
1,3,53,14,111,0.351,49,3,5,50,5,1,6,2,60.0,2,UIC
1,3,46,17,120,0.242,43,6,2,62,0,0,10,4,57.0,1,Valparaiso
1,3,48,8,93,0.430,46,3,3,35,0,0,12,2,57.0,0,Wright St.
0,4,50,33,156,0.109,47,6,4,62,5,0,12,1,62.0,0,Oakland
0,3,34,24,109,0.092,32,4,6,44,6,1,10,1,44.0,0,Cleveland St.
1,5,67,25,190,0.221,64,6,7,98,8,0,14,3,80.0,0,Green Bay
1,3,52,12,109,0.367,48,6,6,56,1,1,8,0,63.0,0,Milwaukee
1,4,58,19,151,0.258,57,7,2,70,7,0,6,2,68.0,3,Youngstown St.
1,5,75,25,192,0.260,71,4,6,90,6,1,16,1,88.0,4,UIC
1,5,78/,40/,258,0.147,78/,3,4,133,3,1,20,4,92.0/,0,Valparaiso
0,3,48,26,127,0.173,46,0,2,55,4,1,10,2,54.0,0,Green Bay
