Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,5,55,28,183,0.148,52,5,12,75,3,2,16,3,70.0,0,Rhode Island
0,4,52,17,138,0.254,51,3,5,63,10,0,14,2,62.0,4,Lipscomb
1,5,70,17,188,0.282,58,6,4,83,8,2,14,2,85.0,3,CSUN
1,4,50,28,155,0.142,45,5,11,74,3,2,16,0,65.0,3,SMU
1,3,42,13,93,0.312,36,9,5,40,2,0,6,0,54.0,2,Alabama St.
0,3,24,28,109,-0.037,23,1,7,47,2,4,8,0,33.0,3,Arizona
1,3,41,16,102,0.245,37,2,8,38,1,2,4,0,47.0,0,Arizona St.
1,5,57,23,162,0.210,52,7,11,77,7,1,34/,2,82.0,3,Harvard
0,5,54,22,174,0.184,50,7,12,66,4,4,14,6,72.0,1,Long Beach St.
0,4,36,24,158,0.076,31,3,4,73,2,2,28,3,55.0,2,UCLA
0,3,36,13,102,0.225,33,1,8,36,11,0,8,1,41.0,0,Hawaii
0,4,36,23,123,0.106,35,4,6,43,11,0,10,1,45.0,1,Hawaii
0,4,51,21,139,0.216,51,3,6,70,9,1,18,2,64.0,6,BYU
1,3,40,13,98,0.276,31,7,7,44,4,0,18,1,56.0,1,Pacific
0,4,55,20,176,0.199,55,4,7,79,2,0,22,1,70.0,1,Gonzaga
0,5,60,27,193,0.171,58,5,8,90,5,1,20,0,76.0,0,Portland
1,3,43,13,100,0.300,41,5,7,52,5,5,0,0,53.0,0,San Francisco
0,4,43,23,151,0.132,36,5,9,55,12,2,10,1,55.0,2,Santa Clara
0,3,32,21,94,0.117,32,0,5,37,5,0,6,1,35.0,3,BYU
0,4,50,29,141,0.149,47,3,9,49,5,2,21,2,65.5,0,San Diego
1,5,65,24,183,0.224,61,3,8,74,8,2,34/,3,87.0,1,Pacific
0,4,61,34,201,0.134,54,1,5,104,6,2,10,4,69.0,3,Portland
0,5,66,21,173,0.260,62,4,10,68,6,2,12,3,78.0,0,Gonzaga
1,4,52,18,147,0.231,44,6,7,77,6,4,16,3,70.0,1,Santa Clara
1,4,55,16,141,0.277,51,7,10,62,3,1,18,3,72.0,0,San Francisco
1,4,57,19,155,0.245,53,4,5,63,4,0,30,1,76.0,0,San Diego
