Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,34,16,89,0.202,31,3,8,29,6,0,26,1,50.0,1,Liberty
1,3,40,15,97,0.258,37,6,12,43,4,2,4,0,50.0,0,Kennesaw St.
0,4,54,23,135,0.230,50,1,14,52,11,2,10,1,62.0,1,Missouri
1,3,36,16,90,0.222,34,8,7,33,1,0,20,2,54.0,0,CSU Bakersfield
1,5,58,27,151,0.205,52,5,8,50,3,1,26,0,77.0,2,Colorado St.
1,4,51,14,120,0.308,48,7,12,58,8,0,22,3,69.0,3,UC Santa Barbara
0,4,49,28,137,0.153,46,5,6,51,8,0,24,4,66.0,3,Coastal Carolina
1,4,68,14,145,0.372,63,5,7,60,5,1,8,2,78.0,0,American
1,5,65,24,190,0.216,63,6,7,86,2,2,24,2,85.0,3,Michigan
0,5,63,29,172,0.198,60,12,8,80,8,5,14,2,87.0,5,Western Ky.
1,3,42,11,89,0.348,38,10,9,33,3,1,13,3,59.5,0,Lehigh
1,3,48,7,80,0.512,45,5,10,36,2,2,12,0,61.0,2,Robert Morris
1,4,68,23,153,0.294,64,8,6,66,5,0,12,0,82.0,2,Georgia Tech
1,3,47,9,85,0.447,42,6,7,42,2,1,8,0,58.0,1,Clemson
1,4,53,24,139,0.209,47,9,7,69,4,1,10,0,68.0,1,Virginia Tech
1,3,44,12,100,0.320,43,9,7,43,3,0,11,1,58.5,2,Virginia
0,4,51,23,139,0.201,48,4,12,54,8,2,16,1,65.0,2,Duke
0,4,48,33,145,0.103,43,7,4,49,2,1,14,4,63.0,1,Wake Forest
0,4,62,32,155,0.194,58,3,11,71,7,1,8,3,70.0,2,Florida St.
0,3,41,22,114,0.167,40,1,10,43,6,3,8,1,49.0,1,Notre Dame
1,3,41,14,100,0.270,35,4,7,42,3,0,21,1,55.5,0,Louisville
1,5,68,32,179,0.201,65,7,8,58,7,1,14,3,83.0,2,NC State
1,5,69,25,162,0.272,62,6,11,62,5,3,21,1,88.5,2,North Carolina
1,3,48,15,94,0.351,44,2,7,39,2,1,10,0,56.0,1,Clemson
1,4,64,26,149,0.255,64,12,10,53,5,0,14,0,83.0,0,Georgia Tech
1,3,49,17,110,0.291,44,7,4,41,4,0,10,1,61.0,1,Wake Forest
0,3,52,22,132,0.227,51,2,7,53,2,1,14,1,62.0,0,Duke
1,4,62,23,170,0.229,57,5,13,74,4,2,12,0,75.0,2,Syracuse
1,3,49,7,102,0.412,49,8,8,40,5,1,10,1,63.0,1,Boston College
1,3,47,14,107,0.308,43,7,3,40,1,1,14,3,62.0,3,Virginia Tech
1,4,58,10,119,0.403,54,10,7,52,5,1,10,0,74.0,4,Virginia
1,4,58,21,150,0.247,52,6,13,66,4,3,12,1,73.0,4,Dayton
0,4,48,28,136,0.147,48,2,5,55,5,1,9,2,55.5,1,Penn St.
