Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,24,18,109,0.055,23,3,4,37,6,0,4,1,29.0,0,A&M-Corpus Christi
0,3,25,19,95,0.063,23,2,3,28,10,0,2,1,28.0,0,Baylor
0,3,23,18,95,0.053,18,1,5,36,7,0,0,0,24.0,0,UTRGV
0,3,21,17,94,0.043,20,4,5,40,10,0,8,3,29.0,2,Houston Baptist
0,3,13,17,71,-0.056,13,3,4,22,15,0,10,0,21.0,0,Fresno St.
0,4,44,25,121,0.157,44,2,5,55,8,1,14,0,54.0,0,Texas Southern
0,5,52,42,163,0.061,44,7,9,57,5,1,8,0,64.0,0,Grambling
1,3,31,17,86,0.163,28,5,9,44,6,5,0,1,41.0,2,Ark.-Pine Bluff
0,3,20,25,100,-0.050,19,1,4,32,4,0,4,5,23.0,1,UTRGV
1,4,41,21,117,0.171,41,4,7,40,5,7,22,1,63.0,0,Jackson St.
1,3,39,17,94,0.234,37,7,6,38,1,1,8,1,51.0,0,Mississippi Val.
0,3,22,23,104,-0.010,22,3,4,38,4,1,4,1,28.0,0,Texas Southern
1,4,53,24,124,0.234,47,7,8,51,7,2,8,0,66.0,7,Alabama A&M
0,3,24,27,98,-0.031,23,2,3,36,8,0,6,1,29.0,3,Alabama St.
0,5,66/,40,192/,0.135,62/,4,10,91/,3,3,14,0,80.0/,5,Southern U.
1,3,32,6,71,0.366,29,5,4,42,1,2,6,0,42.0,0,Alcorn
1,3,45,15,90,0.333,38,6,4,42,1,0,12,0,57.0,2,Mississippi Val.
1,3,38,16,93,0.237,36,8,5,43,4,0,10,0,51.0,3,Jackson St.
0,4,60,34,170,0.153,58,6,5,76,4,0,4,0,68.0,4,Texas Southern
0,3,34,18,90,0.178,31,4,4,21,10,0,0,0,38.0,0,Alabama St.
0,4,29,32,105,-0.029,27,13,11,36,12,6,0,0,48.0,0,Alabama A&M
1,3,43,16,95,0.284,39,7,7,46,7,2,12,3,58.0,3,Alcorn
0,4,41,24,124,0.137,37,4,9,34,7,1,12,4,52.0,2,Southern U.
0,5,60,44/,175,0.091,59,6,10,73,8,0,15,0,73.5,7,Ark.-Pine Bluff
1,3,52,20,120,0.267,52,4,2,40,1,0,6,1,59.0,1,Grambling
0,4,48,26,124,0.177,43,6,6,41,8,2,9,0,60.5,0,Alabama A&M
