Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,4,51,20,159,0.195,46,1,12,75,5,1,18,2,62.0,0,Murray St.
1,3,45,9,105,0.343,45,3,10,50,3,0,16,1,56.0,1,Youngstown St.
1,5,58,20,157,0.242,55,8,13,66,7,2,22,0,79.0,5,Ball St.
0,5,62,26,166,0.217,54,3,12,70,2,1,8,1,70.0,1,Western Mich.
0,3,41,21,114,0.175,39,5,4,50,2,0,8,1,50.0,0,Bowling Green
0,3,38,11,105,0.257,35,4,10,42,3,0,8,0,46.0,4,Northern Ky.
1,3,41,17,106,0.226,39,6,9,49,4,1,10,0,53.0,0,Eastern Mich.
0,4,47,29,143,0.126,45,7,13,45,2,2,8,2,60.0,5,Toledo
0,3,37,20,112,0.152,34,2,3,45,4,1,8,1,44.0,1,Marshall
0,4,60,21,141,0.277,53,7,11,54,8,0,10,3,72.0,4,American
0,5,63,23,156,0.256,58,6,15,60,4,2,10,4,76.0,5,Hofstra
0,5,55,21,164,0.207,53,8,9,54,6,1,24,5,76.0,1,Stony Brook
1,5,72,20,205,0.254,69,1,9,111,5,3,2,2,77.0,2,Omaha
1,3,45,13,117,0.274,41,3,7,61,1,3,10,0,56.0,1,Western Ill.
1,3,39,13,98,0.265,37,7,10,41,3,7/,6,1,56.0,0,Denver
1,5,69,24,190,0.237,65,3,5,99,4,7/,8,1,83.0,2,North Dakota St.
0,5,67,31,197,0.183,66,5,7,87,3,2,14,0,81.0,1,South Dakota
1,4,57,22,140,0.250,53,7,7,54,4,1,4,0,67.0,1,South Dakota St.
0,3,41,18,98,0.235,37,3,12,32,7,1,2,1,46.0,0,Oral Roberts
0,5,68,27,195,0.210,64,4,8,79,4,2,12,0,80.0,2,IUPUI
1,3,47,11,101,0.356,39,8,9,43,4,2,6,1,60.0,0,Western Ill.
1,4,60,17,138,0.312,57,6,5,69,1,1,12,0,73.0,0,Omaha
0,4,61,29,186,0.172,59,2,8,85,6,1,12,2,70.0,0,Valparaiso
0,4,45,26,140,0.136,42,2,3,57,10,2,14,1,56.0,1,Denver
0,4,50,23,131,0.206,47,3,5,53,5,0,10,2,58.0,1,South Dakota St.
1,3,48,10,112,0.339,42,4,4,56,1,0,8,2,56.0,0,IUPUI
0,5,72,21,227/,0.225,65,4,10,111,6,2,18,0,87.0,0,North Dakota St.
1,3,46,13,123,0.268,45,7,6,71,3,2,10,1,60.0,0,South Dakota
0,3,36,11,92,0.272,35,3,4,36,11,1,4,0,42.0,0,Oral Roberts
0,3,20,26,84,-0.071,19,3,7,30,4,0,10,0,28.0,0,Oral Roberts
