Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
336.87,218.44,136.33,103.94,827.13,599.78,0.75,0.27,336.86,240.47,44.11,31.17,62.17,44.62,343.14,266.31,41.3,24.47,23.56,19.56,132.56,104.17,24.22,11.0,481.42,300.41,8.38,6.25,1,3,47,16,112,0.277,44,1,4,51,3,2,16,4,58.0,1,Wyoming
336.87,266.5,136.33,122.33,827.13,713.44,0.75,0.52,336.86,319.29,44.11,35.82,62.17,58.75,343.14,353.71,41.3,36.1,23.56,25.56,132.56,172.8,24.22,20.45,481.42,392.81,8.38,13.17,1,4,62,23,138,0.283,59,5,6,56,1,3,14,6,77.0,1,Washington St.
336.87,268.69,136.33,107.94,827.13,699.56,0.75,0.54,336.86,332.0,44.11,33.9,62.17,52.92,343.14,299.4,41.3,29.4,23.56,19.75,132.56,110.17,24.22,18.42,481.42,363.8,8.38,5.78,0,5,60,32,151,0.185,55,4,5,51,8,3,12,2,73.0,1,Kentucky
336.87,209.37,136.33,95.16,827.13,582.47,0.75,0.4,336.86,245.73,44.11,30.77,62.17,53.33,343.14,264.22,41.3,33.8,23.56,13.78,132.56,76.5,24.22,18.08,481.42,279.86,8.38,12.5,1,3,45,10,97,0.361,43,2,7,53,1,1,10,3,53.0,0,Howard
336.87,226.16,136.33,90.32,827.13,671.42,0.75,0.47,336.86,272.47,44.11,38.0,62.17,43.07,343.14,334.06,41.3,29.38,23.56,13.67,132.56,103.62,24.22,16.3,481.42,328.68,8.38,12.3,1,4,62,20,133,0.316,59,3,12,65,4,4,27,0,82.5,0,Notre Dame
336.87,250.12,136.33,98.29,827.13,663.76,0.75,0.41,336.86,284.21,44.11,34.67,62.17,47.46,343.14,317.67,41.3,36.11,23.56,27.9,132.56,67.62,24.22,10.73,481.42,384.75,8.38,13.2,1,3,39,10,93,0.312,38,8,7,42,2,2,16,0,57.0,2,Coastal Carolina
336.87,296.56,136.33,111.78,827.13,766.17,0.75,0.26,336.86,358.21,44.11,30.08,62.17,41.85,343.14,349.44,41.3,32.64,23.56,22.67,132.56,141.69,24.22,19.15,481.42,454.93,8.38,8.0,1,5,71,31,180,0.222,67,5,6,73,7,3,16,5,87.0,1,Stanford
336.87,226.89,136.33,88.39,827.13,591.22,0.75,0.56,336.86,274.29,44.11,34.9,62.17,42.36,343.14,275.62,41.3,32.7,23.56,17.67,132.56,84.09,24.22,17.0,481.42,361.04,8.38,8.43,1,4,59,23,137,0.263,57,2,7,53,4,2,18,3,72.0,0,Cal Poly
336.87,265.53,136.33,132.33,827.13,812.67,0.75,0.09,336.86,217.57,44.11,47.7,62.17,64.6,343.14,372.29,41.3,53.27,23.56,10.0,132.56,97.7,24.22,7.1,481.42,389.12,8.38,29.62,1,3,39,13,76,0.342,31,10,6,38,1,1,8,2,54.0,1,Southeastern La.
336.87,241.17,136.33,97.94,827.13,684.78,0.75,0.32,336.86,271.87,44.11,33.64,62.17,63.25,343.14,337.88,41.3,23.83,23.56,9.25,132.56,117.92,24.22,13.91,481.42,343.28,8.38,9.62,1,4,59,18,124,0.331,55,7,7,67,4,3,11,0,74.5,1,Kansas
336.87,299.24,136.33,117.88,827.13,770.94,0.75,0.67,336.86,313.8,44.11,37.82,62.17,45.4,343.14,346.33,41.3,34.33,23.56,18.9,132.56,98.67,24.22,14.33,481.42,392.75,8.38,11.11,1,3,40,13,96,0.281,33,4,3,36,0,3,4,0,49.0,0,Xavier
336.87,225.21,136.33,91.11,827.13,583.47,0.75,0.53,336.86,336.83,44.11,25.5,62.17,40.67,343.14,255.76,41.3,25.6,23.56,12.11,132.56,115.69,24.22,16.27,481.42,305.39,8.38,10.0,0,5,64,32,155,0.206,62,4,9,53,7,2,18,2,79.0,2,Illinois
336.87,234.33,136.33,99.44,827.13,559.61,0.75,0.2,336.86,256.53,44.11,36.46,62.17,69.5,343.14,202.76,41.3,36.0,23.56,15.38,132.56,66.86,24.22,9.09,481.42,315.29,8.38,11.71,1,3,37,6,60,0.517,37,4,4,21,1,3,12,2,50.0,1,Indiana
336.87,289.29,136.33,109.53,827.13,754.76,0.75,0.15,336.86,331.57,44.11,35.5,62.17,62.91,343.14,415.0,41.3,25.55,23.56,15.89,132.56,140.09,24.22,17.78,481.42,386.66,8.38,7.12,0,5,57,29,145,0.193,53,3,8,47,4,3,12,3,69.0,1,Wisconsin
336.87,275.26,136.33,96.32,827.13,703.63,0.75,0.24,336.86,352.07,44.11,41.67,62.17,42.4,343.14,394.14,41.3,31.36,23.56,13.11,132.56,159.4,24.22,19.0,481.42,383.53,8.38,7.62,0,3,47,15,99,0.323,45,2,5,34,4,3,4,3,54.0,3,Minnesota
336.87,223.74,136.33,90.47,827.13,561.47,0.75,0.21,336.86,284.07,44.11,25.2,62.17,44.06,343.14,231.83,41.3,26.07,23.56,14.44,132.56,104.3,24.22,13.67,481.42,310.62,8.38,4.33,0,5,60,27,140,0.236,52,5,13,53,7,3,18,1,77.0,0,Iowa
336.87,292.81,136.33,110.88,827.13,759.62,0.75,0.45,336.86,335.31,44.11,32.09,62.17,60.55,343.14,342.87,41.3,25.45,23.56,19.25,132.56,144.7,24.22,19.67,481.42,394.37,8.38,8.57,0,3,26,23,96,0.031,25,1,8,35,2,3,7,3,33.5,0,Nebraska
336.87,211.18,136.33,77.41,827.13,534.32,0.75,0.24,336.86,311.64,44.11,26.13,62.17,48.13,343.14,225.38,41.3,28.58,23.56,28.38,132.56,126.0,24.22,15.2,481.42,294.75,8.38,8.86,0,3,34,21,95,0.137,32,3,7,29,4,2,4,1,41.0,2,Penn St.
336.87,227.06,136.33,107.62,827.13,606.69,0.75,0.76,336.86,239.07,44.11,33.62,62.17,45.08,343.14,229.87,41.3,43.69,23.56,11.5,132.56,106.25,24.22,14.2,481.42,319.97,8.38,12.38,1,3,45,16,86,0.337,43,5,3,31,5,1,6,5,54.0,0,Rutgers
