Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,45,7,91,0.418,44,8,4,41,4,0,12,0,59.0,0,South Dakota St.
1,4,49,35,148,0.095,49,6,8,74,2,1,26,1,69.0,0,Eastern Ill.
0,3,27,17,106,0.094,26,1,5,51,5,0,8,1,32.0,0,Green Bay
0,4,41,20,148,0.142,38,6,2,64,7,1,6,4,51.0,0,Texas St.
0,4,31,22,168,0.054,30,0,1,86,6,2,8,3,37.0,2,Tulsa
1,4,52,21,161,0.193,46,1,4,77,2,2,12,1,61.0,1,Kennesaw St.
0,4,33,27,153,0.039,32,5,6,76,6,1,18,0,48.0,1,Texas Tech
1,5,42,20,161,0.137,40,2,6,81,12,0,12,2,50.0,1,Oral Roberts
0,3,28,20,110,0.073,25,1,1,39,1,0,20,5,39.0,0,UTRGV
1,3,42,8,98,0.347,39,3,3,59,0,1,16,0,54.0,3,North Texas
1,3,44,10,115,0.296,43,4,0,56,3,2,20,2,60.0,2,Little Rock
0,4,48,22,166,0.157,42,4,7,62,6,0,14,0,59.0,1,Baylor
1,3,44,14,130,0.231,42,5,6,61,3,2,16,0,59.0,1,Sam Houston St.
1,3,47,15,139,0.230,43,2,7,70,0,2,19,0,60.5,1,McNeese
1,4,53,21,183,0.175,49,4,6,87,3,0,20,1,67.0,0,Nicholls St.
0,3,41,19,123,0.179,37,1,3,52,3,1,12,1,49.0,1,A&M-Corpus Christi
1,3,33,8,113,0.221,33,8,1,61,3,1,20,2,52.0,1,Central Ark.
1,3,35,10,100,0.250,29,6,3,56,6,3,16,1,52.0,0,Northwestern St.
1,3,41,13,129,0.217,39,6,3,59,3,1,16,0,56.0,2,Lamar University
1,3,35,20,138,0.109,31,3,2,63,2,2,20,4,50.0,0,Houston Baptist
0,4,52,16,157,0.229,48,5,2,63,3,2,10,0,64.0,0,Sam Houston St.
1,4,51,13,149,0.255,46,8,1,79,3,1,30,1,75.0,2,New Orleans
1,3,45,13,138,0.232,42,5,3,66,0,1,8,0,55.0,1,Southeastern La.
1,3,38,11,117,0.231,34,4,2,63,2,1,14,3,50.0,1,Northwestern St.
0,3,18,17,87,0.011,16,4,5,33,5,0,12,2,28.0,4,Central Ark.
1,3,38,9,99,0.293,34,5,4,48,2,2,22,5,56.0,2,Southeastern La.
0,3,28,11,102,0.167,27,1,1,37,5,1,4,0,32.0,0,Sam Houston St.
