Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
264.33,179.87,104.11,110.67,775.72,569.13,0.53,0.05,276.94,176.64,30.92,35.42,42.29,37.42,395.25,238.27,38.4,33.86,15.4,25.38,108.09,50.0,15.8,8.89,369.28,257.21,8.1,12.6,1,3,43,7,83,0.434,39,7,2,48,2,0,10,1,55.0,1,Ark.-Pine Bluff
264.33,280.06,104.11,126.76,775.72,834.88,0.53,0.38,276.94,271.56,30.92,28.92,42.29,38.64,395.25,418.67,38.4,32.17,15.4,13.78,108.09,124.0,15.8,13.36,369.28,371.44,8.1,12.78,1,4,67,24,183,0.235,60,3,10,82,5,2,8,3,76.0,1,UT Arlington
264.33,249.84,104.11,105.53,775.72,715.58,0.53,0.55,276.94,320.21,30.92,35.08,42.29,44.21,395.25,393.8,38.4,34.83,15.4,13.38,108.09,94.0,15.8,11.7,369.28,348.29,8.1,8.08,1,5,64,27,188,0.197,63,8,11,83,4,3,17,2,83.5,0,Sam Houston St.
264.33,256.94,104.11,110.25,775.72,705.38,0.53,0.59,276.94,255.53,30.92,35.0,42.29,36.93,395.25,308.67,38.4,43.27,15.4,16.5,108.09,83.17,15.8,15.2,369.28,346.33,8.1,6.3,0,3,34,25,123,0.073,29,5,4,47,4,4,8,1,47.0,0,CSUN
264.33,264.39,104.11,105.11,775.72,716.5,0.53,0.68,276.94,293.2,30.92,39.67,42.29,45.36,395.25,375.93,38.4,24.21,15.4,15.56,108.09,155.56,15.8,15.78,369.28,425.43,8.1,10.88,0,4,64,28,162,0.222,62,5,6,68,3,3,2,0,73.0,3,UNLV
264.33,264.71,104.11,106.59,775.72,703.06,0.53,0.56,276.94,301.07,30.92,40.91,42.29,49.31,395.25,313.87,38.4,43.2,15.4,12.7,108.09,96.08,15.8,12.09,369.28,356.34,8.1,14.78,0,4,64,17,163,0.288,60,4,9,67,6,0,18,0,77.0,0,Hofstra
264.33,226.28,104.11,108.61,775.72,648.61,0.53,0.46,276.94,239.75,30.92,37.31,42.29,48.4,395.25,304.88,38.4,41.27,15.4,13.56,108.09,81.0,15.8,17.1,369.28,308.65,8.1,11.67,1,3,39,11,113,0.248,38,8,5,59,1,0,12,3,53.0,0,CSU Bakersfield
264.33,239.0,104.11,111.21,775.72,651.84,0.53,0.39,276.94,276.93,30.92,41.55,42.29,51.62,395.25,300.12,38.4,31.5,15.4,14.0,108.09,93.85,15.8,15.38,369.28,359.25,8.1,14.88,0,5,72,28,189,0.233,61,1,11,72,5,1,26,2,87.0,0,New Mexico St.
264.33,293.06,104.11,118.56,775.72,797.72,0.53,0.7,276.94,309.19,30.92,30.21,42.29,50.69,395.25,383.44,38.4,27.43,15.4,26.0,108.09,116.2,15.8,16.6,369.28,408.69,8.1,8.55,0,3,28,24,116,0.034,27,1,2,42,5,0,2,0,30.0,1,Arizona
264.33,250.69,104.11,119.0,775.72,764.62,0.53,0.62,276.94,266.0,30.92,28.77,42.29,43.69,395.25,353.27,38.4,33.75,15.4,20.44,108.09,95.91,15.8,13.64,369.28,339.77,8.1,12.33,1,3,48,14,128,0.266,42,6,4,52,2,2,16,0,64.0,0,UTEP
264.33,236.78,104.11,99.94,775.72,662.11,0.53,0.54,276.94,250.56,30.92,25.67,42.29,48.5,395.25,297.59,38.4,33.11,15.4,9.18,108.09,91.07,15.8,12.21,369.28,331.78,8.1,9.22,0,3,39,23,134,0.119,33,2,8,52,3,2,12,1,49.0,0,UC Davis
