Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
209.55,174.4,96.65,104.53,568.35,533.0,0.49,0.56,281.86,183.38,38.58,35.08,53.58,46.79,304.93,218.21,31.17,47.17,10.89,10.1,108.27,54.15,12.62,14.18,314.56,249.29,17.0,13.4,1,3,47,18,99,0.293,41,7,10,37,0,0,5,1,56.5,3,Delaware St.
209.55,240.18,96.65,108.18,568.35,683.0,0.49,0.59,281.86,253.6,38.58,42.8,53.58,44.15,304.93,310.81,31.17,45.36,10.89,13.33,108.27,71.58,12.62,11.22,314.56,364.32,17.0,14.43,0,4,52,26,151,0.172,47,9,9,56,3,0,15,3,68.5,2,Eastern Mich.
209.55,231.72,96.65,106.89,568.35,644.44,0.49,0.48,281.86,278.71,38.58,34.75,53.58,54.29,304.93,285.94,31.17,43.67,10.89,15.67,108.27,125.27,12.62,17.6,314.56,361.2,17.0,12.89,0,3,27,26,88,0.011,27,2,6,24,6,3,13,3,38.5,1,Maryland
209.55,191.74,96.65,98.0,568.35,553.63,0.49,0.38,281.86,228.87,38.58,26.14,53.58,50.86,304.93,245.22,31.17,30.54,10.89,11.45,108.27,78.46,12.62,10.69,314.56,273.24,17.0,15.83,1,3,44,22,104,0.212,43,6,13,28,2,0,14,0,57.0,0,George Mason
209.55,137.54,96.65,67.08,568.35,436.62,0.49,0.3,281.86,167.44,38.58,26.29,53.58,29.25,304.93,214.27,31.17,22.62,10.89,17.25,108.27,52.62,12.62,5.17,314.56,201.33,17.0,12.25,0,3,45,21,102,0.235,43,6,12,31,3,2,2,1,54.0,0,Dartmouth
209.55,225.61,96.65,105.56,568.35,633.94,0.49,0.48,281.86,292.46,38.58,34.6,53.58,39.25,304.93,277.76,31.17,26.21,10.89,15.92,108.27,90.5,12.62,14.5,314.56,326.97,17.0,8.5,0,5,65,38,175,0.154,63,8,7,57,6,2,16,2,83.0,1,Milwaukee
209.55,245.39,96.65,92.83,568.35,659.28,0.49,0.58,281.86,275.87,38.58,34.77,53.58,51.86,304.93,338.2,31.17,36.33,10.89,12.0,108.27,101.7,12.62,11.36,314.56,343.59,17.0,6.5,0,3,47,18,91,0.319,46,3,14,23,8,0,14,3,57.0,0,Villanova
209.55,258.33,96.65,107.5,568.35,703.22,0.49,0.41,281.86,258.35,38.58,30.08,53.58,40.79,304.93,313.12,31.17,28.17,10.89,12.75,108.27,80.46,12.62,13.57,314.56,355.44,17.0,11.8,1,3,37,18,96,0.198,34,11,4,46,4,1,10,1,54.0,0,Fairfield
209.55,247.0,96.65,96.63,568.35,689.74,0.49,0.6,281.86,275.81,38.58,28.79,53.58,52.0,304.93,321.83,31.17,27.57,10.89,11.0,108.27,107.85,12.62,12.38,314.56,347.47,17.0,22.78,0,4,62,29,167,0.198,59,8,14,56,6,1,10,6,76.0,2,James Madison
209.55,315.8,96.65,136.33,568.35,911.53,0.49,0.67,281.86,341.69,38.58,47.0,53.58,43.15,304.93,432.21,31.17,37.75,10.89,13.88,108.27,120.1,12.62,9.6,314.56,451.65,17.0,7.89,1,4,60,21,139,0.281,59,3,14,60,6,0,10,5,68.0,3,Idaho St.
209.55,235.8,96.65,102.4,568.35,718.07,0.49,0.69,281.86,255.08,38.58,38.45,53.58,48.86,304.93,343.79,31.17,31.93,10.89,13.3,108.27,69.64,12.62,9.92,314.56,344.31,17.0,17.17,1,4,58,24,139,0.245,53,7,13,59,1,1,12,2,72.0,1,Holy Cross
209.55,233.63,96.65,97.11,568.35,672.68,0.49,0.45,281.86,277.33,38.58,36.43,53.58,41.27,304.93,332.0,31.17,34.07,10.89,12.55,108.27,69.36,12.62,12.83,314.56,327.79,17.0,12.75,1,4,55,28,170,0.159,55,6,13,75,2,1,26,2,75.0,1,New Hampshire
209.55,236.25,96.65,119.31,568.35,708.38,0.49,0.43,281.86,229.87,38.58,44.75,53.58,63.67,304.93,310.6,31.17,40.86,10.89,14.2,108.27,77.31,12.62,10.92,314.56,330.77,17.0,13.7,1,4,47,26,132,0.159,43,7,10,48,6,0,15,1,61.5,2,St. Francis Brooklyn
209.55,277.33,96.65,119.87,568.35,819.87,0.49,0.67,281.86,276.07,38.58,35.15,53.58,45.15,304.93,391.5,31.17,39.17,10.89,15.8,108.27,86.17,12.62,14.17,314.56,378.0,17.0,13.23,1,4,65,29,178,0.202,62,6,9,80,3,0,10,1,76.0,2,LIU
209.55,257.0,96.65,113.06,568.35,691.44,0.49,0.6,281.86,252.4,38.58,35.21,53.58,48.4,304.93,285.6,31.17,33.88,10.89,12.11,108.27,67.83,12.62,12.5,314.56,365.79,17.0,7.7,1,3,39,12,97,0.278,32,6,5,42,1,3,22,1,59.0,1,Stony Brook
209.55,276.33,96.65,125.27,568.35,859.6,0.49,0.54,281.86,321.5,38.58,34.58,53.58,43.0,304.93,459.23,31.17,32.64,10.89,15.9,108.27,95.82,12.62,17.55,314.56,374.71,17.0,28.0,1,3,43,13,97,0.309,40,6,2,36,2,1,6,0,53.0,2,Robert Morris
209.55,235.85,96.65,107.25,568.35,663.45,0.49,0.42,281.86,275.25,38.58,32.07,53.58,34.12,304.93,296.26,31.17,26.61,10.89,11.09,108.27,83.79,12.62,13.73,314.56,310.87,17.0,13.42,1,3,45,11,91,0.374,42,8,4,32,1,2,13,1,61.5,1,Bryant
209.55,227.35,96.65,104.65,568.35,675.12,0.49,0.42,281.86,258.14,38.58,42.3,53.58,33.14,304.93,295.18,31.17,30.43,10.89,14.9,108.27,105.17,12.62,13.67,314.56,337.87,17.0,17.12,0,5,63,35,158,0.177,62,5,10,49,2,0,14,9/,75.0,4,Central Conn. St.
209.55,256.27,96.65,129.33,568.35,806.13,0.49,0.46,281.86,253.86,38.58,34.58,53.58,35.08,304.93,387.36,31.17,42.25,10.89,14.18,108.27,83.17,12.62,12.92,314.56,351.0,17.0,9.83,1,4,63,33,189,0.159,60,4,4,85,3,0,18,1,76.0,1,Fairleigh Dickinson
209.55,236.25,96.65,119.31,568.35,708.38,0.49,0.43,281.86,229.87,38.58,44.75,53.58,63.67,304.93,310.6,31.17,40.86,10.89,14.2,108.27,77.31,12.62,10.92,314.56,330.77,17.0,13.7,1,3,43,18,102,0.245,36,9,5,43,3,0,8,2,56.0,0,St. Francis Brooklyn
209.55,277.33,96.65,119.87,568.35,819.87,0.49,0.67,281.86,276.07,38.58,35.15,53.58,45.15,304.93,391.5,31.17,39.17,10.89,15.8,108.27,86.17,12.62,14.17,314.56,378.0,17.0,13.23,1,3,46,24,127,0.173,44,4,6,49,3,0,8,0,54.0,4,LIU
209.55,276.33,96.65,125.27,568.35,859.6,0.49,0.54,281.86,321.5,38.58,34.58,53.58,43.0,304.93,459.23,31.17,32.64,10.89,15.9,108.27,95.82,12.62,17.55,314.56,374.71,17.0,28.0,1,4,58,28,178,0.169,54,3,8,77,5,1,16,3,70.0,1,Robert Morris
209.55,256.27,96.65,129.33,568.35,806.13,0.49,0.46,281.86,253.86,38.58,34.58,53.58,35.08,304.93,387.36,31.17,42.25,10.89,14.18,108.27,83.17,12.62,12.92,314.56,351.0,17.0,9.83,1,3,44,12,86,0.372,41,10,5,42,0,0,8,1,58.0,0,Fairleigh Dickinson
