Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
218.41,224.47,94.71,88.79,620.53,626.74,0.65,0.47,228.0,220.5,30.23,26.29,44.86,39.06,286.13,286.33,40.2,24.5,13.56,18.78,81.77,66.0,16.67,13.92,317.3,305.76,11.25,8.11,1,4,53,26,144,0.188,49,7,5,69,1,2,14,1,69.0,0,Northern Colo.
218.41,269.06,94.71,103.5,620.53,677.5,0.65,0.55,228.0,366.55,30.23,29.23,44.86,49.64,286.13,273.67,40.2,35.2,13.56,22.11,81.77,150.5,16.67,16.44,317.3,402.61,11.25,6.73,0,3,35,19,122,0.131,33,1,4,40,6,3,15,4,46.5,3,Colorado St.
218.41,248.63,94.71,93.89,620.53,717.68,0.65,0.67,228.0,292.4,30.23,29.43,44.86,35.62,286.13,372.41,40.2,31.86,13.56,23.89,81.77,73.73,16.67,19.2,317.3,338.62,11.25,18.29,1,4,67,18,164,0.299,63,2,7,68,3,3,8,4,76.0,3,North Dakota St.
218.41,178.05,94.71,87.14,620.53,538.71,0.65,0.44,228.0,194.94,30.23,23.31,44.86,25.5,286.13,260.74,40.2,23.88,13.56,13.7,81.77,68.79,16.67,11.42,317.3,236.52,11.25,5.89,1,4,59,20,135,0.289,55,10,12,55,5,1,12,3,76.0,0,UC Riverside
218.41,223.81,94.71,107.38,620.53,637.81,0.65,0.56,228.0,218.4,30.23,30.64,44.86,49.29,286.13,277.27,40.2,37.17,13.56,10.6,81.77,72.33,16.67,17.22,317.3,303.33,11.25,16.5,1,4,47,7,114,0.351,39,5,10,48,7,0,20,2,62.0,0,Middle Tenn.
218.41,253.88,94.71,104.18,620.53,641.53,0.65,0.43,228.0,307.23,30.23,35.27,44.86,57.36,286.13,313.08,40.2,32.27,13.56,15.8,81.77,100.92,16.67,18.67,317.3,364.5,11.25,10.17,0,4,51,28,140,0.164,46,5,5,49,5,3,20,3,69.0,1,Nevada
218.41,259.2,94.71,127.27,620.53,754.13,0.65,0.41,228.0,261.29,30.23,45.82,44.86,78.64,286.13,336.29,40.2,35.27,13.56,9.11,81.77,106.0,16.67,16.45,317.3,361.21,11.25,23.57,1,3,37,9,88,0.318,33,2,4,40,9,1,8,3,44.0,0,Belmont
218.41,225.21,94.71,91.11,620.53,583.47,0.65,0.53,228.0,336.83,30.23,25.5,44.86,40.67,286.13,255.76,40.2,25.6,13.56,12.11,81.77,115.69,16.67,16.27,317.3,305.39,11.25,10.0,0,3,27,21,95,0.063,25,2,8,27,4,3,8,1,36.0,2,Illinois
218.41,281.71,94.71,100.24,620.53,732.24,0.65,0.56,228.0,300.8,30.23,28.08,44.86,46.86,286.13,328.06,40.2,27.33,13.56,14.36,81.77,95.46,16.67,13.75,317.3,370.78,11.25,10.11,0,3,25,13,96,0.125,23,3,4,32,2,1,12,8/,35.0,1,Oregon
218.41,296.56,94.71,111.78,620.53,766.17,0.65,0.26,228.0,358.21,30.23,30.08,44.86,41.85,286.13,349.44,40.2,32.64,13.56,22.67,81.77,141.69,16.67,19.15,317.3,454.93,11.25,8.0,0,3,32,23,123,0.073,28,3,5,39,6,1,6,0,39.0,2,Stanford
218.41,218.15,94.71,95.0,620.53,582.0,0.65,0.53,228.0,275.87,30.23,22.92,44.86,30.24,286.13,238.68,40.2,29.27,13.56,15.38,81.77,64.13,16.67,13.09,317.3,295.5,11.25,10.0,0,4,59,25,170,0.200,56,5,11,67,2,2,8,4,70.0,0,California
218.41,229.67,94.71,91.17,620.53,637.06,0.65,0.6,228.0,245.12,30.23,23.54,44.86,33.29,286.13,300.38,40.2,24.92,13.56,13.91,81.77,77.47,16.67,11.64,317.3,304.35,11.25,7.12,1,4,58,24,150,0.227,54,6,11,64,3,1,18,3,74.0,3,Gonzaga
218.41,273.81,94.71,110.06,620.53,779.12,0.65,0.71,228.0,259.88,30.23,42.17,44.86,45.8,286.13,356.07,40.2,37.58,13.56,15.89,81.77,105.0,16.67,16.3,317.3,373.83,11.25,7.75,0,4,51,23,150,0.187,48,3,8,61,6,0,10,2,59.0,2,Portland
218.41,230.27,94.71,110.93,620.53,643.33,0.65,0.63,228.0,228.64,30.23,38.17,44.86,51.67,286.13,256.71,40.2,38.29,13.56,38.56,81.77,61.0,16.67,13.67,317.3,326.0,11.25,15.62,1,3,41,15,103,0.252,38,7,5,45,5,5,4,0,55.0,0,San Francisco
218.41,233.42,94.71,102.0,620.53,687.74,0.65,0.49,228.0,274.47,30.23,29.5,44.86,50.31,286.13,355.19,40.2,31.07,13.56,14.0,81.77,117.0,16.67,14.82,317.3,316.11,11.25,18.0,1,4,53,27,181,0.144,50,9,7,87,2,1,8,3,67.0,1,Pepperdine
218.41,222.71,94.71,79.76,620.53,575.05,0.65,0.53,228.0,257.06,30.23,30.54,44.86,44.38,286.13,286.41,40.2,26.0,13.56,13.9,81.77,98.33,16.67,17.27,317.3,313.18,11.25,8.5,0,3,29,23,94,0.064,29,2,3,31,8,0,10,1,36.0,1,BYU
218.41,221.85,94.71,85.7,620.53,548.15,0.65,0.62,228.0,276.33,30.23,30.75,44.86,47.83,286.13,262.69,40.2,24.93,13.56,16.2,81.77,91.17,16.67,13.27,317.3,324.41,11.25,4.5,0,3,32,19,114,0.114,28,5,8,33,4,0,14,1,44.0,0,San Diego
218.41,240.22,94.71,97.72,620.53,668.11,0.65,0.68,228.0,311.15,30.23,32.17,44.86,52.0,286.13,316.75,40.2,38.0,13.56,11.18,81.77,107.17,16.67,15.09,317.3,342.25,11.25,14.0,0,3,26,9,104,0.163,23,0,14,41,2,2,4,2,30.0,0,Pacific
