Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,5,68,37,202,0.153,65,6,13,86,2,0,14,1,81.0,0,UT Arlington
1,3,49,18,104,0.298,48,8,7,47,2,0,6,1,60.0,0,Ark.-Pine Bluff
0,5,50,30,190,0.105,46,4,5,85,8,3,12,3,63.0,2,Sacramento St.
1,3,40,18,113,0.195,38,3,3,57,4,3,6,0,49.0,0,Bethune-Cookman
1,5,51,21,166,0.181,45,6,12,73,0,1,14,3,65.0,0,UTRGV
1,4,61,18,159,0.270,60,3,10,69,1,1,10,0,70.0,0,Tulane
0,4,47,21,147,0.177,44,5,9,55,6,1,4,0,55.0,2,Texas St.
0,3,36,19,114,0.149,34,2,3,47,8,1,4,1,41.0,0,Southern California
1,5,54,27,160,0.169,49,4,4,73,9,1,14,3,66.0,2,Oakland
1,5,73,27,208,0.221,69,6,9,109/,1,1,12,3,86.0,7,Rice
0,3,34,20,104,0.135,34,2,9,41,4,0,4,1,38.0,0,TCU
0,3,29,24,115,0.043,28,4,4,41,6,1,9,0,38.5,1,North Carolina
0,3,31,23,124,0.065,27,6,8,38,1,0,10,1,42.0,1,SMU
0,3,30,22,99,0.081,28,4,5,28,4,0,6,0,37.0,0,A&M-Corpus Christi
0,3,36,18,126,0.143,36,3,5,65,5,0,8,2,43.0,2,SFA
1,3,45,11,98,0.347,45,6,7,42,3,1,8,1,56.0,1,Nicholls St.
1,4,70,30,199,0.201,69,7,12,98,5,4,24,1,93.0,0,McNeese
0,5,53,30,178,0.129,50,4,6,73,6,1,20,1,68.0,1,A&M-Corpus Christi
1,5,54,29,168,0.149,53,8,10,65,6,1,19,5,72.5,0,Northwestern St.
1,3,46,11,99,0.354,44,1,7,35,3,1,18,0,57.0,0,Central Ark.
0,3,34,22,124,0.097,31,3,3,53,2,2,12,1,45.0,1,Houston Baptist
1,4,58,17,141,0.291,56,9,6,62,1,2,16,0,77.0,3,Lamar University
1,4,70,22,177,0.271,61,3,7,77,5,1,6,0,77.0,0,SFA
1,4,58,20,136,0.279,55,12,3,60,5,0,8,0,74.0,3,Southeastern La.
1,3,43,17,116,0.224,41,6,4,62,1,2,14,0,58.0,0,New Orleans
0,4,57,31,159,0.164,53,5,3,64,6,0,16,1,70.0,0,Central Ark.
1,4,59,14,134,0.336,49,6,6,66,4,1,18,3,75.0,1,Northwestern St.
1,4,50,17,119,0.277,43,8,6,54,6,0,6,0,61.0,0,Northwestern St.
1,3,57,13,117,0.376,55,5,3,58,1,0,6,1,65.0,3,SFA
0,4,60,23,178,0.208,55,8,4,71,5,3,14,0,78.0,0,A&M-Corpus Christi
