Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
271.47,232.12,126.82,104.53,701.47,653.12,0.6,0.54,287.87,247.8,31.54,33.36,48.5,55.23,298.73,294.06,39.09,33.5,13.78,11.1,105.77,72.15,17.58,12.36,389.1,312.06,10.45,20.17,1,3,44,15,90,0.322,37,4,9,39,1,2,17,1,58.5,0,Marist
271.47,247.89,126.82,104.67,701.47,635.61,0.6,0.62,287.87,275.53,31.54,35.56,48.5,52.13,298.73,276.25,39.09,46.9,13.78,13.27,105.77,111.58,17.58,18.5,389.1,343.91,10.45,6.0,0,4,47,27,141,0.142,44,8,7,62,4,0,12,4,61.0,1,Michigan St.
271.47,261.76,126.82,99.88,701.47,697.24,0.6,0.55,287.87,262.38,31.54,30.14,48.5,44.67,298.73,315.81,39.09,32.09,13.78,17.0,105.77,110.91,17.58,15.3,389.1,375.67,10.45,8.58,0,5,55,23,137,0.234,52,4,12,48,15/,1,16,2,68.0,1,Denver
271.47,281.71,126.82,100.24,701.47,732.24,0.6,0.56,287.87,300.8,31.54,28.08,48.5,46.86,298.73,328.06,39.09,27.33,13.78,14.36,105.77,95.46,17.58,13.75,389.1,370.78,10.45,10.11,0,3,27,25,100,0.020,27,1,3,37,4,1,8,1,33.0,1,Oregon
271.47,236.78,126.82,99.94,701.47,662.11,0.6,0.54,287.87,250.56,31.54,25.67,48.5,48.5,298.73,297.59,39.09,33.11,13.78,9.18,105.77,91.07,17.58,12.21,389.1,331.78,10.45,9.22,1,3,44,20,119,0.202,40,2,5,57,4,1,20,5,57.0,1,UC Davis
271.47,316.2,126.82,138.6,701.47,903.87,0.6,0.61,287.87,344.92,31.54,40.55,48.5,44.75,298.73,431.07,39.09,38.55,13.78,15.2,105.77,82.17,17.58,17.56,389.1,416.71,10.45,16.55,1,4,61,28,179,0.184,59,8,5,78,4,0,20,4,79.0,2,Murray St.
271.47,220.14,126.82,85.9,701.47,579.33,0.6,0.61,287.87,310.0,31.54,43.82,48.5,43.62,298.73,294.53,39.09,38.67,13.78,15.09,105.77,79.93,17.58,12.5,389.1,364.41,10.45,10.0,0,5,74,32,171,0.246,70,3,9,54,4,0,8,5,81.0,4,UC Irvine
271.47,233.0,126.82,105.0,701.47,611.2,0.6,0.13,287.87,299.82,31.54,48.78,48.5,76.89,298.73,278.15,39.09,42.9,13.78,17.86,105.77,107.4,17.58,22.14,389.1,353.54,10.45,12.17,1,5,61,24,151,0.245,59,5,11,60,10,1,20,5,77.0,0,Rhode Island
271.47,226.16,126.82,90.32,701.47,671.42,0.6,0.47,287.87,272.47,31.54,38.0,48.5,43.07,298.73,334.06,39.09,29.38,13.78,13.67,105.77,103.62,17.58,16.3,389.1,328.68,10.45,12.3,0,3,36,25,96,0.115,35,2,6,42,7,1,6,2,42.0,2,Notre Dame
271.47,257.0,126.82,113.06,701.47,691.44,0.6,0.6,287.87,252.4,31.54,35.21,48.5,48.4,298.73,285.6,39.09,33.88,13.78,12.11,105.77,67.83,17.58,12.5,389.1,365.79,10.45,7.7,1,5,66,19,127,0.370,58,5,11,44,10,0,10,3,76.0,1,Stony Brook
