Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,34,11,81,0.284,33,13/,8,41,2,3,8,1,54.0,5,Savannah St.
0,4,43,25,131,0.137,37,3,9,50,5,1,12,1,53.0,8/,Georgia
1,4,55,14,124,0.331,49,8,10,49,10,1,12,4,70.0,3,UNC Asheville
0,4,41,18,102,0.225,37,5,14,27,7,7,14,0,60.0,2,Indiana
1,3,39,10,100,0.290,37,8,8,29,1,1,14,2,55.0,5,Columbia
0,5,53,33,168,0.119,47,7,13,59,6,10,0,0,70.0,1,Campbell
0,3,31,14,87,0.195,25,6,5,26,6,4,2,0,42.0,3,Princeton
1,4,62,21,145,0.283,58,9,16,54,7,10,2,0,82.0,1,Brown
0,3,25,18,90,0.078,24,3,10,24,8,7,0,0,35.0,0,UC Santa Barbara
0,3,26,14,67,0.179,25,5,6,19,15/,1,8,7,36.0,0,UC Irvine
0,3,26,15,91,0.121,24,5,3,33,9,0,2,7,32.0,0,Northern Ariz.
0,5,55,26,162,0.179,52,10,8,68,9,1,20,8/,76.0,2,UC Riverside
0,3,24,16,81,0.099,24,1,8,22,6,1,4,3,28.0,0,San Diego
0,3,26,23,81,0.037,26,2,3,19,5,0,6,1,31.0,2,BYU
0,3,24,18,81,0.074,22,2,0,28,9,4,6,2,33.0,2,Portland
0,3,36,17,106,0.179,34,2,5,36,5,2,6,2,43.0,1,Gonzaga
0,3,32,21,99,0.111,28,1,4,29,4,5,2,0,39.0,0,Santa Clara
0,3,27,19,106,0.075,26,5,5,41,5,5,2,1,38.0,0,Pepperdine
0,3,25,16,93,0.097,25,1,3,34,2,0,16,4,34.0,6,Pacific
0,3,33,21,124,0.097,32,1,6,55,4,5,2,1,40.0,0,Gonzaga
0,5,60,23,148,0.250,56,4,5,60,13,13,0,1,77.0,0,Portland
0,3,29,16,85,0.153,26,1,6,33,11,0,8,1,34.0,3,Santa Clara
0,4,54,30,155,0.155,52,3,8,59,7,0,12,1,63.0,4,Pepperdine
0,4,33,27,130,0.046,32,4,2,48,8,8,2,1,46.0,0,BYU
0,3,26,22,99,0.040,24,1,2,28,4,5,4,0,34.0,0,San Diego
0,3,19,19,84,0,17,1,3,20,5,4,18,0,33.0,5,Pacific
