Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,3,43,22,129,0.163,42,0,8,64,5,2,8,1,49.0,0,Notre Dame
0,3,36,18,124,0.145,34,3,3,49,9,3,10,0,47.0,1,Western Mich.
0,3,39,20,111,0.171,37,2,9,43,5,2,8,4,47.0,0,Cleveland St.
0,4,54,19,125,0.280,51,3,9,44,6,1,10,1,63.0,0,George Washington
1,3,48,16,115,0.278,43,6,4,58,3,0,8,2,58.0,1,Canisius
1,4,49,12,161,0.230,45,5,4,78,2,0,12,2,60.0,1,Towson
1,3,44,14,120,0.250,40,4,2,51,3,1,10,1,54.0,1,Tennessee Tech
1,4,50,20,133,0.226,46,6,5,50,3,1,12,2,63.0,0,Illinois St.
1,3,32,13,90,0.211,29,4,4,39,4,1,12,0,43.0,1,Middle Tenn.
0,5,64,24,154,0.260,58,7,6,53,4,1,14,1,79.0,1,Hofstra
0,4,63,17,155,0.297,56,0,7,57,5,2,8,0,69.0,0,Princeton
0,3,44,21,123,0.187,39,3,5,54,4,0,12,1,53.0,1,Seattle U
1,5,73,23,152,0.329,69,9,3,62,9,1,26,0,96.0/,5,Rutgers
0,3,27,12,127,0.118,25,2,2,52,3,0,22,5,40.0,1,Villanova
1,5,59,28,180,0.172,54,2,5,72,2,3,20,1,74.0,0,Butler
1,4,55,19,148,0.243,53,6,6,61,3,1,8,3,66.0,0,Xavier
1,3,40,17,104,0.221,39,3,7,36,6,1,12,0,50.0,1,Georgetown
0,5,65,16,147,0.333,60,6,7,52,13,1,8,0,76.0,2,DePaul
0,4,39,25,152,0.092,38,0,8,62,6,0,6,0,42.0,0,Marquette
1,4,66,15,149,0.342,63,4,7,66,3,0,12,1,76.0,0,Providence
0,3,31,21,107,0.093,31,1,2,36,3,2,2,2,35.0,1,Creighton
0,4,52,20,140,0.229,50,3,6,47,5,0,16,1,63.0,1,Xavier
1,3,52,21,146,0.212,47,2,6,65,2,1,8,0,59.0,1,Butler
0,3,25,21,113,0.035,24,1,3,40,5,1,2,0,28.0,0,Creighton
1,3,43,15,105,0.267,40,8,7,54,5,0,8,1,55.0,0,Providence
1,4,54,15,126,0.310,52,6,7,55,3,1,8,1,65.0,0,Georgetown
1,5,61,24,172,0.215,57,9,8,68,5,0,20,1,80.0,1,Villanova
0,4,42,20,114,0.193,40,4,8,33,4,1,8,1,51.0,1,Marquette
1,4,70,17,147,0.361,60,5,5,59,3,0,12,3,81.0,0,DePaul
0,3,33,21,100,0.120,30,0,6,42,6,2,4,0,37.0,3,Creighton
